	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	&	Conjunction	tr	abbreviation of and	cat	&
eng	&	Conjunction	tr	abbreviation of and	deu	u.
eng	&	Conjunction	tr	abbreviation of and	ell	ϗ
eng	&	Conjunction	tr	abbreviation of and	fra	&
eng	&	Conjunction	tr	abbreviation of and	gle	⁊
eng	&	Conjunction	tr	abbreviation of and	hye	և
eng	&	Conjunction	tr	abbreviation of and	ita	&
eng	&	Conjunction	tr	abbreviation of and	msa	&
eng	&	Conjunction	tr	abbreviation of and	por	&
eng	&	Conjunction	tr	abbreviation of and	spa	&
eng	&	Conjunction	tr	abbreviation of and	swe	&
eng	&	Conjunction	tr	abbreviation of and	tha	&
