	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	'umra	Noun	tr	a lesser pilgrimage	ara	عُمْرَة	f
eng	'umra	Noun	tr	a lesser pilgrimage	aze	ümrə
eng	'umra	Noun	tr	a lesser pilgrimage	ben	উমরা
eng	'umra	Noun	tr	a lesser pilgrimage	cmn	副朝覲
eng	'umra	Noun	tr	a lesser pilgrimage	cmn	副朝觐	tr=fùcháojìn, fùcháojǐn
eng	'umra	Noun	tr	a lesser pilgrimage	cmn	小朝	tr=xiǎocháo
eng	'umra	Noun	tr	a lesser pilgrimage	dar	гӀумра
eng	'umra	Noun	tr	a lesser pilgrimage	fas	عمره	tr='omre
eng	'umra	Noun	tr	a lesser pilgrimage	fin	pieni pyhiinvaellus
eng	'umra	Noun	tr	a lesser pilgrimage	fra	oumra	f
eng	'umra	Noun	tr	a lesser pilgrimage	hau	umra	f	alt=ʿumr̃ā
eng	'umra	Noun	tr	a lesser pilgrimage	hin	उमरा	m-p
eng	'umra	Noun	tr	a lesser pilgrimage	ind	umrah
eng	'umra	Noun	tr	a lesser pilgrimage	jav	umrah
eng	'umra	Noun	tr	a lesser pilgrimage	kaz	умра	sc=Cyrl
eng	'umra	Noun	tr	a lesser pilgrimage	kmr	umre
eng	'umra	Noun	tr	a lesser pilgrimage	msa	umrah
eng	'umra	Noun	tr	a lesser pilgrimage	rus	у́мра	f
eng	'umra	Noun	tr	a lesser pilgrimage	tel	ఉమ్రా
eng	'umra	Noun	tr	a lesser pilgrimage	tgk	умра
eng	'umra	Noun	tr	a lesser pilgrimage	tur	umre
eng	'umra	Noun	tr	a lesser pilgrimage	uig	ئۆمرە
eng	'umra	Noun	tr	a lesser pilgrimage	urd	عمرہ	m-p	tr='umra
eng	'umra	Noun	tr	a lesser pilgrimage	uzb	umra
