	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-bility	Suffix	tr		cat	-bilitat	f
eng	-bility	Suffix	tr		glg	-bilidade	f
eng	-bility	Suffix	tr		por	-bilidade	f
eng	-bility	Suffix	tr		spa	-bilidad	f
eng	-blast	Suffix	tr	an immature cell or tissue	cat	-blast	m
eng	-blast	Suffix	tr	an immature cell or tissue	cmn	-母细胞	tr=mǔxìbāo
eng	-blast	Suffix	tr	an immature cell or tissue	fra	-blaste	m
eng	-blast	Suffix	tr	an immature cell or tissue	gle	-blast	m
eng	-blast	Suffix	tr	an immature cell or tissue	hun	-blaszt
eng	-blast	Suffix	tr	an immature cell or tissue	ita	-blasto	m
eng	-blast	Suffix	tr	an immature cell or tissue	jpn	芽細胞	tr=がさいぼう, gasaibō
eng	-blast	Suffix	tr	an immature cell or tissue	yue	-母細胞	tr=mou5 sai3 baau1
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	dan	-burger	c
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	est	-burger
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	fao	-burgari	m
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	fin	purilainen	alt=-purilainen
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	hun	-burger
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	jpn	バーガー	tr=bāgā	sc=Jpan
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	kor	버거	sc=Kore
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	nld	-burger	m
eng	-burger	Suffix	tr	suffix used to make names for hamburger-like dishes	swe	-burgare	c
