	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-ian	Suffix	tr	belonging to	fra	-ien
eng	-ian	Suffix	tr	belonging to	ita	-iano
eng	-ian	Suffix	tr	having a profession	fra	-ien
eng	-ian	Suffix	tr	having a profession	nld	-iant
eng	-ian	Suffix	tr	related to	cat	-ià
eng	-ian	Suffix	tr	related to	deu	-isch
eng	-ian	Suffix	tr	related to	fra	-ien
eng	-ian	Suffix	tr	related to	glg	-ian	m
eng	-ian	Suffix	tr	related to	hun	-i
eng	-ian	Suffix	tr	related to	ita	-iana	f
eng	-ian	Suffix	tr	related to	ita	-iano	m
eng	-ian	Suffix	tr	related to	nld	-isch
eng	-ian	Suffix	tr	related to	san	-ईय
eng	-ian	Suffix	tr	related to	spa	-iana	f
eng	-ian	Suffix	tr	related to	spa	-iano	m
eng	-iatry	Suffix	tr		deu	-iatrie	f
eng	-iatry	Suffix	tr		hun	-iátria
eng	-iatry	Suffix	tr		spa	-iatría
eng	-ible	Suffix	tr	able to be done	cat	-able
eng	-ible	Suffix	tr	able to be done	cat	-ible
eng	-ible	Suffix	tr	able to be done	deu	-bar
eng	-ible	Suffix	tr	able to be done	epo	-ebla
eng	-ible	Suffix	tr	able to be done	fin	-tava
eng	-ible	Suffix	tr	able to be done	fin	-tävä
eng	-ible	Suffix	tr	able to be done	fra	-ible
eng	-ible	Suffix	tr	able to be done	fry	-ber
eng	-ible	Suffix	tr	able to be done	glg	-ábel	m	f
eng	-ible	Suffix	tr	able to be done	glg	-able	m	f
eng	-ible	Suffix	tr	able to be done	hun	-ható
eng	-ible	Suffix	tr	able to be done	hun	-hető
eng	-ible	Suffix	tr	able to be done	ido	-ebla
eng	-ible	Suffix	tr	able to be done	ita	-abile
eng	-ible	Suffix	tr	able to be done	ita	-ibile
eng	-ible	Suffix	tr	able to be done	jpn	られる	alt=-られる	tr=rareru	sc=Jpan
eng	-ible	Suffix	tr	able to be done	kat	-ადი
eng	-ible	Suffix	tr	able to be done	nld	-baar
eng	-ible	Suffix	tr	able to be done	por	-ável
eng	-ible	Suffix	tr	able to be done	por	-ível
eng	-ible	Suffix	tr	able to be done	ron	-ibil
eng	-ible	Suffix	tr	able to be done	rus	-а́емый
eng	-ible	Suffix	tr	able to be done	rus	-а́ющийся
eng	-ible	Suffix	tr	able to be done	swe	-bar
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	epo	-ebla
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	fin	-tava
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	fin	-tävä
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	glg	-ábel	m	f
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	ita	-abile
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	ita	-ibile
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	jpn	られる	alt=-られる	tr=rareru	sc=Jpan
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	nld	-baar
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	por	-ável
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	por	-ível
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	ron	-abil
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	ron	-ibil
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	spa	-able
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	spa	-ible
eng	-ible	Suffix	tr	expressing capacity or worthiness in a passive sense	swe	-bar
eng	-ible	Suffix	tr	relevant or suitable to, in accordance with	swe	-abel
eng	-ible	Suffix	tr	relevant or suitable to, in accordance with	swe	-bar
eng	-icism	Suffix	tr	forming abstract nouns from Greek or Latin bases	hun	-icizmus
eng	-icism	Suffix	tr	forming abstract nouns from Greek or Latin bases	hun	-izmus
eng	-ics	Suffix	tr	fields of knowledge or practice	ara	ـِيَّات	f-p
eng	-ics	Suffix	tr	fields of knowledge or practice	ces	-ie
eng	-ics	Suffix	tr	fields of knowledge or practice	ces	-ika
eng	-ics	Suffix	tr	fields of knowledge or practice	deu	-ik
eng	-ics	Suffix	tr	fields of knowledge or practice	epo	-iko
eng	-ics	Suffix	tr	fields of knowledge or practice	epo	-scienco
eng	-ics	Suffix	tr	fields of knowledge or practice	fin	-iikka
eng	-ics	Suffix	tr	fields of knowledge or practice	fra	-ique
eng	-ics	Suffix	tr	fields of knowledge or practice	glg	-ica	f
eng	-ics	Suffix	tr	fields of knowledge or practice	hun	-ika
eng	-ics	Suffix	tr	fields of knowledge or practice	rus	-ика
eng	-ics	Suffix	tr	fields of knowledge or practice	swe	-tik
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	afr	-ies
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	ara	ـِيّ
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	cat	-esc	m
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	cat	-ic	m
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	dan	-isk
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	deu	-isch
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	ell	-ικός
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	epo	-a
eng	-ic	Suffix	tr	''Note: these translations are a guide only. For more precise translations, see individual words ending in'' '''-ic'''	fin	-inen
