	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-mancy	Suffix	tr	specified forms of divination	deu	-mantie	f
eng	-mancy	Suffix	tr	specified forms of divination	ell	-μαντεία	f
eng	-mancy	Suffix	tr	specified forms of divination	fin	-mantia
eng	-mancy	Suffix	tr	specified forms of divination	fra	-mancie	f
eng	-mancy	Suffix	tr	specified forms of divination	glg	-mancia	f
eng	-mancy	Suffix	tr	specified forms of divination	ita	-manzia	f
eng	-mancy	Suffix	tr	specified forms of divination	lat	-mantia	f
eng	-mancy	Suffix	tr	specified forms of divination	por	-mancia	f
eng	-mancy	Suffix	tr	specified forms of divination	rus	-мантия	f
eng	-mancy	Suffix	tr	specified forms of divination	spa	-mancia	f
eng	-mane	Suffix	tr	person who has a mania for	por	-ómano	m
eng	-mane	Suffix	tr	person who has a mania for	por	-ômano	m
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	cat	-man
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	dan	-man	c
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	fra	-mane
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	nno	-man	m
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	nob	-man	m
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	por	-maníaco	m
eng	-maniac	Suffix	tr	indicating a person who experiences compulsion	spa	-mano
eng	-mania	Suffix	tr	indicating a compulsion or obsession	dan	-mani	c
eng	-mania	Suffix	tr	indicating a compulsion or obsession	deu	-manie	f
eng	-mania	Suffix	tr	indicating a compulsion or obsession	ell	-μανία
eng	-mania	Suffix	tr	indicating a compulsion or obsession	est	-maania
eng	-mania	Suffix	tr	indicating a compulsion or obsession	fin	-mania
eng	-mania	Suffix	tr	indicating a compulsion or obsession	fra	-manie
eng	-mania	Suffix	tr	indicating a compulsion or obsession	ita	-mania
eng	-mania	Suffix	tr	indicating a compulsion or obsession	nor	-mani	m
eng	-mania	Suffix	tr	indicating a compulsion or obsession	spa	-manía	f
eng	-mania	Suffix	tr	indicating a compulsion or obsession	swe	-mani
eng	-ment	Suffix	tr		glg	-mento	m
eng	-ment	Suffix	tr		nob	-ment
eng	-ment	Suffix	tr		spa	-mento	m
eng	-ment	Suffix	tr		spa	-miento	m
eng	-meter	Suffix	tr	used to form a measuring device	ast	-metru	m
eng	-meter	Suffix	tr	used to form a measuring device	cat	-metre	m
eng	-meter	Suffix	tr	used to form a measuring device	ckb	-پێو
eng	-meter	Suffix	tr	used to form a measuring device	dan	-meter
eng	-meter	Suffix	tr	used to form a measuring device	deu	-meter
eng	-meter	Suffix	tr	used to form a measuring device	fas	سنج	tr=-sanj	alt=ـسنج	sc=fa-Arab
eng	-meter	Suffix	tr	used to form a measuring device	fin	-metri
eng	-meter	Suffix	tr	used to form a measuring device	fra	-mètre
eng	-meter	Suffix	tr	used to form a measuring device	gle	-méadar	m
eng	-meter	Suffix	tr	used to form a measuring device	glg	-metro	m
eng	-meter	Suffix	tr	used to form a measuring device	heb	מַד־	m	tr=mád-
eng	-meter	Suffix	tr	used to form a measuring device	heb	־מטר	tr=-méter
eng	-meter	Suffix	tr	used to form a measuring device	hun	mérő	alt=-mérő
eng	-meter	Suffix	tr	used to form a measuring device	ita	-metro	m
eng	-meter	Suffix	tr	used to form a measuring device	jpn	計	tr=kei
eng	-meter	Suffix	tr	used to form a measuring device	kat	-მეტრი
eng	-meter	Suffix	tr	used to form a measuring device	kmr	-pîv
eng	-meter	Suffix	tr	used to form a measuring device	kor	계
eng	-meter	Suffix	tr	used to form a measuring device	nld	-meter
eng	-meter	Suffix	tr	used to form a measuring device	pol	-mierz	m
eng	-meter	Suffix	tr	used to form a measuring device	por	-metro	m
eng	-meter	Suffix	tr	used to form a measuring device	rus	-ме́р	m
eng	-meter	Suffix	tr	used to form a measuring device	rus	-метр	m
eng	-meter	Suffix	tr	used to form a measuring device	spa	-metro	m
eng	-meter	Suffix	tr	used to form a measuring device	swe	-meter
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	cat	-metria	f
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	deu	-metrie
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	fas	سنج	tr=-sanǰ
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	fra	-métrie	f
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	gle	-méadracht	f
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	hun	-metria
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	ita	-metria	f
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	por	-metria	f
eng	-metry	Suffix	tr	forming nouns relating to measures and measurement	spa	-metría	f
eng	-morphous	Suffix	tr	having a specified shape or form	gle	-morfach
eng	-morphous	Suffix	tr	having a specified shape or form	ita	-morfo
eng	-morphous	Suffix	tr	having a specified shape or form	spa	-morfo
