	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-nasty	Suffix	tr	botany: relating to a nastic charge	gle	-nastacht	f
eng	-naut	Suffix	tr	forms nouns meaning a voyager, farer or tripper	cat	-nauta	m	f
eng	-naut	Suffix	tr	forms nouns meaning a voyager, farer or tripper	fin	-nautti
eng	-naut	Suffix	tr	forms nouns meaning a voyager, farer or tripper	fra	-naute	m	f
eng	-naut	Suffix	tr	forms nouns meaning a voyager, farer or tripper	por	-nauta	m	f
eng	-naut	Suffix	tr	forms nouns meaning a voyager, farer or tripper	spa	-nauta	m	f
eng	-nd	Suffix	tr	second	jpn	第	tr=だい, dai
eng	-nd	Suffix	tr	second	pol	-gi	m
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	ang	-nes
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	ang	-nis
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	ara	ـِيَّة
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	aze	-lik
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	ces	-ost	f
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	cmn	性	alt=-性	tr=xìng	sc=Hani
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	cym	-rwydd
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	dan	-hed
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	dan	-skab
eng	-ness	Suffix	tr	"appended to adjectives to form nouns meaning ""the state of being..."", ""the quality of being..."", or ""the measure of being..."""	deu	-heit
