	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-teen	Suffix	tr	to form numbers 13 - 19	afr	-tien
eng	-teen	Suffix	tr	to form numbers 13 - 19	ara	عشر	alt=... عَشَرَ
eng	-teen	Suffix	tr	to form numbers 13 - 19	bar	-zea
eng	-teen	Suffix	tr	to form numbers 13 - 19	bel	-наццаць	sc=Cyrl
eng	-teen	Suffix	tr	to form numbers 13 - 19	cat	di-
eng	-teen	Suffix	tr	to form numbers 13 - 19	cat	-ze
eng	-teen	Suffix	tr	to form numbers 13 - 19	ces	-náct
eng	-teen	Suffix	tr	to form numbers 13 - 19	cmn	十	alt=十...	tr=shí...	sc=Hani
eng	-teen	Suffix	tr	to form numbers 13 - 19	cym	un deg	alt=un deg...
eng	-teen	Suffix	tr	to form numbers 13 - 19	dan	-ten
eng	-teen	Suffix	tr	to form numbers 13 - 19	deu	zehn	alt=-zehn
eng	-teen	Suffix	tr	to form numbers 13 - 19	ell	δεκα	alt=δεκα-	sc=Grek
eng	-teen	Suffix	tr	to form numbers 13 - 19	epo	dek	alt=dek ...
eng	-teen	Suffix	tr	to form numbers 13 - 19	est	-teist
eng	-teen	Suffix	tr	to form numbers 13 - 19	fao	-tan
eng	-teen	Suffix	tr	to form numbers 13 - 19	fao	-tjan
eng	-teen	Suffix	tr	to form numbers 13 - 19	fin	-toista
eng	-teen	Suffix	tr	to form numbers 13 - 19	fra	dix-
eng	-teen	Suffix	tr	to form numbers 13 - 19	fra	-ze
eng	-teen	Suffix	tr	to form numbers 13 - 19	frr	-täin
eng	-teen	Suffix	tr	to form numbers 13 - 19	fry	-tjin
eng	-teen	Suffix	tr	to form numbers 13 - 19	gla	deug	alt=deug ...
eng	-teen	Suffix	tr	to form numbers 13 - 19	gla	dheug	alt=dheug ...
eng	-teen	Suffix	tr	to form numbers 13 - 19	gle	déag	alt=... déag
eng	-teen	Suffix	tr	to form numbers 13 - 19	gle	déag	alt=... dhéag
eng	-teen	Suffix	tr	to form numbers 13 - 19	glv	jeig
eng	-teen	Suffix	tr	to form numbers 13 - 19	got	𐍄𐌰𐌹𐌷𐌿𐌽	alt=-𐍄𐌰𐌹𐌷𐌿𐌽	sc=Goth
eng	-teen	Suffix	tr	to form numbers 13 - 19	haw	ʻumikūmā-
eng	-teen	Suffix	tr	to form numbers 13 - 19	hbs	-naest
eng	-teen	Suffix	tr	to form numbers 13 - 19	hbs	-наест	sc=Cyrl
eng	-teen	Suffix	tr	to form numbers 13 - 19	heb	עשר	m	alt=... עשר	tr=... 'asár
eng	-teen	Suffix	tr	to form numbers 13 - 19	heb	עשרה	f	alt=... עשרה	tr=... 'esré
eng	-teen	Suffix	tr	to form numbers 13 - 19	hun	tizen-
eng	-teen	Suffix	tr	to form numbers 13 - 19	hye	տասն	alt=տասն-	sc=Armn
eng	-teen	Suffix	tr	to form numbers 13 - 19	ind	belas	alt=... belas
eng	-teen	Suffix	tr	to form numbers 13 - 19	isl	-tán
eng	-teen	Suffix	tr	to form numbers 13 - 19	isl	-tján
eng	-teen	Suffix	tr	to form numbers 13 - 19	ita	-dici
eng	-teen	Suffix	tr	to form numbers 13 - 19	ita	dici-
eng	-teen	Suffix	tr	to form numbers 13 - 19	jpn	十	alt=十...	tr=じゅう..., jū...
eng	-teen	Suffix	tr	to form numbers 13 - 19	kat	თ...მეტი	sc=Geor
eng	-teen	Suffix	tr	to form numbers 13 - 19	kor	열	alt=열...
eng	-teen	Suffix	tr	to form numbers 13 - 19	lat	-decim	tr=used 11 - 17, and occasionally up to 19
eng	-teen	Suffix	tr	to form numbers 13 - 19	lav	-padsmit
eng	-teen	Suffix	tr	to form numbers 13 - 19	lit	-lika
eng	-teen	Suffix	tr	to form numbers 13 - 19	mkd	-наесет	sc=Cyrl
eng	-teen	Suffix	tr	to form numbers 13 - 19	msa	belas	alt=... belas
eng	-teen	Suffix	tr	to form numbers 13 - 19	msa	بلس	alt=... بلس	sc=Arab
eng	-teen	Suffix	tr	to form numbers 13 - 19	nld	-tien
eng	-teen	Suffix	tr	to form numbers 13 - 19	nno	-ten
eng	-teen	Suffix	tr	to form numbers 13 - 19	nob	-ten
eng	-teen	Suffix	tr	to form numbers 13 - 19	pol	-naście
eng	-teen	Suffix	tr	to form numbers 13 - 19	ron	-sprezece
eng	-teen	Suffix	tr	to form numbers 13 - 19	rus	-надцать
eng	-teen	Suffix	tr	to form numbers 13 - 19	slk	-násť
eng	-teen	Suffix	tr	to form numbers 13 - 19	slv	-najst
eng	-teen	Suffix	tr	to form numbers 13 - 19	spa	-ce
eng	-teen	Suffix	tr	to form numbers 13 - 19	spa	dieci-
eng	-teen	Suffix	tr	to form numbers 13 - 19	sqi	-mbëdhjetë
eng	-teen	Suffix	tr	to form numbers 13 - 19	swe	-ton
eng	-teen	Suffix	tr	to form numbers 13 - 19	tgl	labing-
eng	-teen	Suffix	tr	to form numbers 13 - 19	tur	on	alt=on ...
eng	-teen	Suffix	tr	to form numbers 13 - 19	ukr	-надцять	sc=Cyrl
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-инчи
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-нчи
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-нчы
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-ӱнчи
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-унчы
eng	-th	Suffix	tr	used to form the ordinal numeral	alt	-ынчы
eng	-th	Suffix	tr	used to form the ordinal numeral	aze	-inci
eng	-th	Suffix	tr	used to form the ordinal numeral	aze	-ıncı
eng	-th	Suffix	tr	used to form the ordinal numeral	aze	-nci
eng	-th	Suffix	tr	used to form the ordinal numeral	aze	-uncu
eng	-th	Suffix	tr	used to form the ordinal numeral	aze	-üncü
eng	-th	Suffix	tr	used to form the ordinal numeral	bre	-vet
eng	-th	Suffix	tr	used to form the ordinal numeral	cat	-è
eng	-th	Suffix	tr	used to form the ordinal numeral	cat	-èsim
eng	-th	Suffix	tr	used to form the ordinal numeral	cmn	第	tr=dì...	alt=第……
eng	-th	Suffix	tr	used to form the ordinal numeral	cym	-ed
eng	-th	Suffix	tr	used to form the ordinal numeral	cym	-edd
eng	-th	Suffix	tr	used to form the ordinal numeral	cym	-fed
eng	-th	Suffix	tr	used to form the ordinal numeral	cym	-ydd
eng	-th	Suffix	tr	used to form the ordinal numeral	deu	-ste
