	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	deu	-um
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	ell	-ο
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	ell	-ον
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	fra	-um
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	ita	-a
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	ita	-o
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	jpn	ウム	tr=-umu
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	nld	-um
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	por	-o
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	spa	-o
eng	-um	Suffix	tr	Latinate singular grammatical number suffix	swe	-um
eng	-urgy	Suffix	tr	technique for working with	fin	-urgia
eng	-urgy	Suffix	tr	technique for working with	lat	-urgia	f
eng	-uria	Suffix	tr	relating to urine	cat	-úria	f
eng	-uria	Suffix	tr	relating to urine	fra	-urie	f
eng	-uria	Suffix	tr	relating to urine	ita	-uria	f
eng	-uria	Suffix	tr	relating to urine	spa	-uria	f
