	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-wards	Suffix	tr	forming adjectives	nld	-waarts
eng	-wards	Suffix	tr	forming adverbs	deu	-wärts
eng	-wards	Suffix	tr	forming adverbs	heb	־ה	tr=-a
eng	-wards	Suffix	tr	forming adverbs	heb	ל־	tr=l'-
eng	-wards	Suffix	tr	forming adverbs	lav	-up
eng	-wards	Suffix	tr	forming adverbs	nld	-waarts
eng	-wards	Suffix	tr	forming adverbs	yid	אַר־
eng	-ward	Suffix	tr	forming adjectives	hun	-i
eng	-ward	Suffix	tr	forming adjectives	nld	-waarts
eng	-ward	Suffix	tr	forming adverbs	ara	ـًا، ـاً
eng	-ward	Suffix	tr	forming adverbs	ara	لـ
eng	-ward	Suffix	tr	forming adverbs	deu	-wärts
eng	-ward	Suffix	tr	forming adverbs	heb	־ה	tr=-a
eng	-ward	Suffix	tr	forming adverbs	heb	ל־	tr=l'-
eng	-ward	Suffix	tr	forming adverbs	hun	felé	alt=-felé
eng	-ward	Suffix	tr	forming adverbs	nav	-jigo
eng	-ward	Suffix	tr	forming adverbs	nld	-waarts
eng	-ward	Suffix	tr	forming adverbs	swe	-åt
eng	-ward	Suffix	tr	forming adverbs	yid	אַר־
eng	-ware	Suffix	tr	denoting items made from a particular substance	fin	esineet	p	alt=-esineet
eng	-ware	Suffix	tr	denoting items made from a particular substance	fin	tavara	alt=-tavara
eng	-ware	Suffix	tr	denoting items made from a particular substance	hbs	-ina
eng	-ware	Suffix	tr	denoting items made from a particular substance	hun	áru	alt=-áru
eng	-ware	Suffix	tr	denoting items of a particular kind or for a particular use	fin	esineet	p	alt=-esineet
eng	-ware	Suffix	tr	denoting items of a particular kind or for a particular use	fin	tavara	alt=-tavara
eng	-ware	Suffix	tr	denoting items of a particular kind or for a particular use	hun	tárgy	alt=-tárgy
eng	-ware	Suffix	tr	denoting specific classes of computer software	fin	ohjelma	p	alt=-ohjelmat
eng	-ware	Suffix	tr	denoting specific classes of computer software	fra	-ciel
eng	-ware	Suffix	tr	denoting specific classes of computer software	msa	perisian
eng	-wise	Suffix	tr	in the direction or orientation of	ara	بِاتِّجاه
eng	-wise	Suffix	tr	in the direction or orientation of	ara	مَع
eng	-wise	Suffix	tr	in the direction or orientation of	hun	irányába
eng	-wise	Suffix	tr	in the direction or orientation of	hun	irányában
eng	-wise	Suffix	tr	in the direction or orientation of	hun	járása szerint
eng	-wise	Suffix	tr	in the direction or orientation of	hun	járásával egyezően/megegyezően
eng	-wise	Suffix	tr	in the direction or orientation of	hun	szerint
eng	-wise	Suffix	tr	in the manner of	dan	-vis
eng	-wise	Suffix	tr	in the manner of	hun	-képpen
eng	-wise	Suffix	tr	in the manner of	hun	módjára
eng	-wise	Suffix	tr	in the manner of	hun	módon
eng	-wise	Suffix	tr	in the manner of	hun	-szerűen
eng	-wise	Suffix	tr	in the manner of	nob	-vis
eng	-wise	Suffix	tr	in the matter of, with regard to	dan	-mæssig
eng	-wise	Suffix	tr	in the matter of, with regard to	deu	-mäßig
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	dolgában
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	illetően
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	illetőleg
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	kapcsán
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	kapcsolatban
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	-lag
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	-leg
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	tekintetében
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	terén
eng	-wise	Suffix	tr	in the matter of, with regard to	hun	vonatkozásában
eng	-wise	Suffix	tr	one (thing) at a time	hun	-anként
eng	-wise	Suffix	tr	one (thing) at a time	hun	-enként
eng	-wise	Suffix	tr	one (thing) at a time	hun	-onként
eng	-wise	Suffix	tr	one (thing) at a time	hun	-önként
eng	-worthy	Suffix	tr	able or fit to be	fin	arvoinen	alt=-arvoinen
eng	-worthy	Suffix	tr	able or fit to be	fin	kelpoinen	alt=-kelpoinen
eng	-worthy	Suffix	tr	able or fit to be	hun	-ható
eng	-worthy	Suffix	tr	able or fit to be	hun	-hető
eng	-worthy	Suffix	tr	able or fit to be	kor	ㅁ직
eng	-worthy	Suffix	tr	having the right, power, permission, or freedom to	fin	vapaa
eng	-worthy	Suffix	tr	of sufficient worth for	ces	-hodný
eng	-worthy	Suffix	tr	of sufficient worth for	deu	-wert
eng	-worthy	Suffix	tr	of sufficient worth for	deu	-würdig
eng	-worthy	Suffix	tr	of sufficient worth for	epo	-inda
eng	-worthy	Suffix	tr	of sufficient worth for	fin	arvoinen	alt=-arvoinen
eng	-worthy	Suffix	tr	of sufficient worth for	fin	kelpoinen	alt=-kelpoinen
eng	-worthy	Suffix	tr	of sufficient worth for	hun	érdemes
eng	-worthy	Suffix	tr	of sufficient worth for	hun	érdemlő
eng	-worthy	Suffix	tr	of sufficient worth for	swe	-värd
eng	-worthy	Suffix	tr	suitable or safe for	fin	kelpoinen	alt=-kelpoinen
eng	-worthy	Suffix	tr	suitable or safe for	fin	kestävä	alt=-kestävä
eng	-worthy	Suffix	tr	suitable or safe for	hun	alkalmas
eng	-worthy	Suffix	tr	suitable or safe for	hun	álló	alt=-álló
eng	-worthy	Suffix	tr	suitable or safe for	kor	ㅁ직
