	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-yl	Suffix	tr	radical or functional group	fin	-yyli
eng	-yl	Suffix	tr	radical or functional group	hin	-ल	tr=-l
eng	-yl	Suffix	tr	radical or functional group	nob	-yl
eng	-yl	Suffix	tr	radical or functional group	por	-ila
eng	-yl	Suffix	tr	radical or functional group	por	-ilo	m
eng	-yl	Suffix	tr	radical or functional group	spa	-ilo	m
eng	-yl	Suffix	tr	radical or functional group	swe	-yl
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	cat	-í	m
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	dan	-yn
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	deu	-in	n
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	fin	-yyni
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	fra	-yne	m
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	ind	-una
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	msa	-una
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	nor	-yn
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	por	-ino	m
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	spa	-ino	m
eng	-yne	Suffix	tr	hydrocarbon with triple bonds	swe	-yn	c
eng	-y	Suffix	tr	forming abstract nouns	deu	-heit
eng	-y	Suffix	tr	forming abstract nouns	deu	-keit
eng	-y	Suffix	tr	forming abstract nouns	deu	-nis
eng	-y	Suffix	tr	forming abstract nouns	fin	-uus
eng	-y	Suffix	tr	forming abstract nouns	fin	-yys
eng	-y	Suffix	tr	forming abstract nouns	fra	-é
eng	-y	Suffix	tr	forming abstract nouns	glg	-dade	f
eng	-y	Suffix	tr	forming abstract nouns	hun	-ság
eng	-y	Suffix	tr	forming abstract nouns	hun	-ség
eng	-y	Suffix	tr	forming abstract nouns	hye	-ություն
eng	-y	Suffix	tr	forming abstract nouns	ita	-à
eng	-y	Suffix	tr	forming abstract nouns	kat	სი- -ე	sc=Geor
eng	-y	Suffix	tr	forming abstract nouns	kmr	-î
eng	-y	Suffix	tr	forming abstract nouns	kmr	-tî
eng	-y	Suffix	tr	forming abstract nouns	kmr	-yî
eng	-y	Suffix	tr	forming abstract nouns	lat	-ia
eng	-y	Suffix	tr	forming abstract nouns	lat	-ium
eng	-y	Suffix	tr	forming abstract nouns	lat	-tas
eng	-y	Suffix	tr	forming abstract nouns	nld	-heid
eng	-y	Suffix	tr	forming abstract nouns	nld	-nis
eng	-y	Suffix	tr	forming abstract nouns	por	-ia	f
eng	-y	Suffix	tr	forming abstract nouns	por	-idade	f
eng	-y	Suffix	tr	forming abstract nouns	ron	-enie
eng	-y	Suffix	tr	forming abstract nouns	ron	-ie
eng	-y	Suffix	tr	forming abstract nouns	ron	-ime
eng	-y	Suffix	tr	forming abstract nouns	ron	-itate
eng	-y	Suffix	tr	forming abstract nouns	spa	-dad
eng	-y	Suffix	tr	forming abstract nouns	spa	-edumbre
eng	-y	Suffix	tr	forming abstract nouns	spa	-ia
eng	-y	Suffix	tr	forming abstract nouns	spa	-ie
eng	-y	Suffix	tr	forming abstract nouns	spa	-io
eng	-y	Suffix	tr	forming abstract nouns	spa	-tad
eng	-y	Suffix	tr	forming abstract nouns	spa	-tud
eng	-y	Suffix	tr	forming abstract nouns	ukr	-ий	m
eng	-y	Suffix	tr	forming diminutive nouns	ast	-ina	f
eng	-y	Suffix	tr	forming diminutive nouns	ast	-ín	m
eng	-y	Suffix	tr	forming diminutive nouns	cat	-eta	f
eng	-y	Suffix	tr	forming diminutive nouns	cat	-et	m
eng	-y	Suffix	tr	forming diminutive nouns	cmn	兒
eng	-y	Suffix	tr	forming diminutive nouns	cmn	子
eng	-y	Suffix	tr	forming diminutive nouns	deu	-chen
eng	-y	Suffix	tr	forming diminutive nouns	deu	-erl
eng	-y	Suffix	tr	forming diminutive nouns	deu	-i
eng	-y	Suffix	tr	forming diminutive nouns	deu	-lein
eng	-y	Suffix	tr	forming diminutive nouns	epo	-et-
eng	-y	Suffix	tr	forming diminutive nouns	fin	-nen
eng	-y	Suffix	tr	forming diminutive nouns	fra	-et	m
eng	-y	Suffix	tr	forming diminutive nouns	fra	-ette	f
eng	-y	Suffix	tr	forming diminutive nouns	fra	-ine	f
eng	-y	Suffix	tr	forming diminutive nouns	fra	-in	m
eng	-y	Suffix	tr	forming diminutive nouns	gle	-ín	m
eng	-y	Suffix	tr	forming diminutive nouns	glg	-iño
eng	-y	Suffix	tr	forming diminutive nouns	gml	-eken
eng	-y	Suffix	tr	forming diminutive nouns	heb	־ון	m	tr=-ón	sc=Hebr
eng	-y	Suffix	tr	forming diminutive nouns	heb	־ית	f	tr=-ít	sc=Hebr
eng	-y	Suffix	tr	forming diminutive nouns	hun	-ka
eng	-y	Suffix	tr	forming diminutive nouns	hun	-ke
eng	-y	Suffix	tr	forming diminutive nouns	hye	-ակ
eng	-y	Suffix	tr	forming diminutive nouns	hye	-իկ
eng	-y	Suffix	tr	forming diminutive nouns	hye	-ուկ
eng	-y	Suffix	tr	forming diminutive nouns	ita	-etta	f
eng	-y	Suffix	tr	forming diminutive nouns	ita	-etto	m
eng	-y	Suffix	tr	forming diminutive nouns	ita	-ina	f
eng	-y	Suffix	tr	forming diminutive nouns	ita	-ino	m
eng	-y	Suffix	tr	forming diminutive nouns	kmr	-ik
eng	-y	Suffix	tr	forming diminutive nouns	kmr	-ok
eng	-y	Suffix	tr	forming diminutive nouns	nap	-illo
eng	-y	Suffix	tr	forming diminutive nouns	nld	-che
eng	-y	Suffix	tr	forming diminutive nouns	nld	-etje
eng	-y	Suffix	tr	forming diminutive nouns	nld	-ie
eng	-y	Suffix	tr	forming diminutive nouns	nld	-je
eng	-y	Suffix	tr	forming diminutive nouns	nld	-ke
eng	-y	Suffix	tr	forming diminutive nouns	nld	-ken
eng	-y	Suffix	tr	forming diminutive nouns	nld	-kijn
eng	-y	Suffix	tr	forming diminutive nouns	nld	-pje
eng	-y	Suffix	tr	forming diminutive nouns	nld	-tje
eng	-y	Suffix	tr	forming diminutive nouns	por	-inho
eng	-y	Suffix	tr	forming diminutive nouns	ron	-aș	m
eng	-y	Suffix	tr	forming diminutive nouns	ron	-el	m
eng	-y	Suffix	tr	forming diminutive nouns	ron	-ică	f
eng	-y	Suffix	tr	forming diminutive nouns	ron	-ioară	f
eng	-y	Suffix	tr	forming diminutive nouns	ron	-ior	m
eng	-y	Suffix	tr	forming diminutive nouns	ron	-iță	f
eng	-y	Suffix	tr	forming diminutive nouns	ron	-uleț	m
eng	-y	Suffix	tr	forming diminutive nouns	ron	-ușor	m
eng	-y	Suffix	tr	forming diminutive nouns	ron	-uță	f
eng	-y	Suffix	tr	forming diminutive nouns	ron	-uț	m
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ек	m
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ёк	m
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ик	m
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ка	f
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ко	n
eng	-y	Suffix	tr	forming diminutive nouns	rus	-ок	m
eng	-y	Suffix	tr	forming diminutive nouns	rus	-це
eng	-y	Suffix	tr	forming diminutive nouns	rus	-цо
eng	-y	Suffix	tr	forming diminutive nouns	spa	-ejo
eng	-y	Suffix	tr	forming diminutive nouns	spa	-ete
