	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	11 Bang-Bang	Noun	tr	slang, derogatory: infantryman	fin	nurmipora
eng	11th	Adjective	tr		ceb	ika-11
eng	11th	Adjective	tr		ces	11.
eng	11th	Adjective	tr		cym	11fed
eng	11th	Adjective	tr		fra	11e
eng	11th	Adjective	tr		glv	11oo
eng	11th	Adjective	tr		ita	11º
eng	11th	Adjective	tr		kor	11번째	tr=yeolhan beonjjae
eng	11th	Adjective	tr		nor	11.
eng	11th	Adjective	tr		pol	11.
eng	11th	Adjective	tr		rus	11-ый
eng	11th	Adjective	tr		swe	11:e
eng	11th	Adjective	tr		tur	11.
eng	11th	Adjective	tr		tur	11'inci
