	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	17th	Adjective	tr		afr	17de
eng	17th	Adjective	tr		afr	17e
eng	17th	Adjective	tr		fin	17.
eng	17th	Adjective	tr		fra	17ème
eng	17th	Adjective	tr		hun	17.
eng	17th	Adjective	tr		isl	17.
eng	17th	Adjective	tr		ita	17º
eng	17th	Adjective	tr		nor	17.
eng	17th	Adjective	tr		pol	17.
eng	17th	Adjective	tr		swe	17:e
eng	17th	Adjective	tr		tel	౧౭వ
eng	17th	Adjective	tr		tur	17.
eng	17th	Adjective	tr		tur	17'üncü
