	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	2nd	Adjective	tr		asm	২য়
eng	2nd	Adjective	tr		cat	2n
eng	2nd	Adjective	tr		ces	2.
eng	2nd	Adjective	tr		cym	2ail
eng	2nd	Adjective	tr		cym	2il
eng	2nd	Adjective	tr		dan	2.
eng	2nd	Adjective	tr		deu	2.
eng	2nd	Adjective	tr		ell	2ος
eng	2nd	Adjective	tr		epo	2-a
eng	2nd	Adjective	tr		epo	2a
eng	2nd	Adjective	tr		fin	2.
eng	2nd	Adjective	tr		fra	2de	m
eng	2nd	Adjective	tr		fra	2d	m
eng	2nd	Adjective	tr		fra	2e
eng	2nd	Adjective	tr		fra	2ème
eng	2nd	Adjective	tr		fry	2e
eng	2nd	Adjective	tr		gle	2ú
eng	2nd	Adjective	tr		glv	2oo
eng	2nd	Adjective	tr		hin	२रा
eng	2nd	Adjective	tr		ind	ke-2
eng	2nd	Adjective	tr		isl	2.
eng	2nd	Adjective	tr		kor	2번째	tr=du beonjjae
eng	2nd	Adjective	tr		msa	ke-2
eng	2nd	Adjective	tr		nld	2de
eng	2nd	Adjective	tr		nor	2.
eng	2nd	Adjective	tr		pol	2.
eng	2nd	Adjective	tr		por	2º
eng	2nd	Adjective	tr		ron	2.
eng	2nd	Adjective	tr		ron	2-a	f
eng	2nd	Adjective	tr		ron	2-lea	m
eng	2nd	Adjective	tr		ron	II-a	f
eng	2nd	Adjective	tr		ron	II-lea	m
eng	2nd	Adjective	tr		rus	2-о́й
eng	2nd	Adjective	tr		spa	2a	f
eng	2nd	Adjective	tr		spa	2ª	f
eng	2nd	Adjective	tr		spa	2o	m
eng	2nd	Adjective	tr		spa	2º	m
eng	2nd	Adjective	tr		swe	2:a
eng	2nd	Adjective	tr		swe	2:e
eng	2nd	Adjective	tr		tel	2వ
eng	2nd	Adjective	tr		tel	౨వ
eng	2nd	Adjective	tr		tur	2.
eng	2nd	Adjective	tr		tur	2'nci
