	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	3rd	Adjective	tr		cat	3r
eng	3rd	Adjective	tr		crh	3-ci
eng	3rd	Adjective	tr		crh	3-i
eng	3rd	Adjective	tr		cym	3edd	f
eng	3rd	Adjective	tr		cym	3ydd	m
eng	3rd	Adjective	tr		dan	3.
eng	3rd	Adjective	tr		deu	3.
eng	3rd	Adjective	tr		deu	3te
eng	3rd	Adjective	tr		ell	3ος
eng	3rd	Adjective	tr		epo	3-a
eng	3rd	Adjective	tr		epo	3a
eng	3rd	Adjective	tr		fin	3.
eng	3rd	Adjective	tr		fra	3e
eng	3rd	Adjective	tr		fra	3ème
eng	3rd	Adjective	tr		fry	3e
eng	3rd	Adjective	tr		gle	3oo
eng	3rd	Adjective	tr		gle	3ú
eng	3rd	Adjective	tr		hin	३रा
eng	3rd	Adjective	tr		ind	ke-3
eng	3rd	Adjective	tr		isl	3.
eng	3rd	Adjective	tr		ita	3ª
eng	3rd	Adjective	tr		ita	3º
eng	3rd	Adjective	tr		kaz	3-і	sc=Cyrl
eng	3rd	Adjective	tr		kaz	3-ші	sc=Cyrl
eng	3rd	Adjective	tr		kor	3번째	tr=se beonjjae
eng	3rd	Adjective	tr		nld	3de
eng	3rd	Adjective	tr		nld	3e
eng	3rd	Adjective	tr		nor	3.
eng	3rd	Adjective	tr		pol	3.
eng	3rd	Adjective	tr		por	3ª
eng	3rd	Adjective	tr		por	3º
eng	3rd	Adjective	tr		ron	3.
eng	3rd	Adjective	tr		ron	3-a	f
eng	3rd	Adjective	tr		ron	3-lea	m
eng	3rd	Adjective	tr		ron	III-a	f
eng	3rd	Adjective	tr		ron	III-lea
eng	3rd	Adjective	tr		rus	3-ий
eng	3rd	Adjective	tr		rus	3-й
eng	3rd	Adjective	tr		spa	3a	f
eng	3rd	Adjective	tr		spa	3ª	f
eng	3rd	Adjective	tr		spa	3ero
eng	3rd	Adjective	tr		spa	3o	m
eng	3rd	Adjective	tr		spa	3º	m
eng	3rd	Adjective	tr		swe	3:e
eng	3rd	Adjective	tr		tel	3వ	sc=Telu
eng	3rd	Adjective	tr		tur	3.
eng	3rd	Adjective	tr		tur	3'üncü
eng	3rd	Adjective	tr		ukr	3-й	sc=Cyrl
