	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	5th	Adjective	tr		cat	5è
eng	5th	Adjective	tr		ces	5.
eng	5th	Adjective	tr		cym	5ed
eng	5th	Adjective	tr		dan	5.
eng	5th	Adjective	tr		deu	5.
eng	5th	Adjective	tr		ell	5ος
eng	5th	Adjective	tr		ell	Ε΄
eng	5th	Adjective	tr		epo	5-a
eng	5th	Adjective	tr		epo	5a
eng	5th	Adjective	tr		fin	5.
eng	5th	Adjective	tr		fra	5e
eng	5th	Adjective	tr		fra	5ème
eng	5th	Adjective	tr		fry	5e
eng	5th	Adjective	tr		gle	5ú
eng	5th	Adjective	tr		glv	5oo
eng	5th	Adjective	tr		hun	5.
eng	5th	Adjective	tr		ina	5e
eng	5th	Adjective	tr		ind	ke-5
eng	5th	Adjective	tr		ita	5º
eng	5th	Adjective	tr		kor	5번째	tr=daseot beonjjae
eng	5th	Adjective	tr		nld	5de
eng	5th	Adjective	tr		nld	5e
eng	5th	Adjective	tr		nor	5.
eng	5th	Adjective	tr		pol	5.
eng	5th	Adjective	tr		por	5º
eng	5th	Adjective	tr		ron	5-a	f
eng	5th	Adjective	tr		ron	5-lea
eng	5th	Adjective	tr		rus	5-ый
eng	5th	Adjective	tr		spa	5ª
eng	5th	Adjective	tr		spa	5º
eng	5th	Adjective	tr		swe	5:e
eng	5th	Adjective	tr		tur	5.
eng	5th	Adjective	tr		tur	5'inci
