	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	8th	Adjective	tr		cat	8è
eng	8th	Adjective	tr		ces	8.
eng	8th	Adjective	tr		cym	8fed
eng	8th	Adjective	tr		dan	8.
eng	8th	Adjective	tr		deu	8.
eng	8th	Adjective	tr		fin	8.
eng	8th	Adjective	tr		fra	8e
eng	8th	Adjective	tr		fry	8e
eng	8th	Adjective	tr		gle	8ú
eng	8th	Adjective	tr		glv	8oo
eng	8th	Adjective	tr		ina	8e
eng	8th	Adjective	tr		ind	ke-8
eng	8th	Adjective	tr		ita	8º
eng	8th	Adjective	tr		kor	8번째	tr=yeodeol beonjjae
eng	8th	Adjective	tr		nld	8e
eng	8th	Adjective	tr		nld	8ste
eng	8th	Adjective	tr		nor	8.
eng	8th	Adjective	tr		pol	8.
eng	8th	Adjective	tr		por	8º
eng	8th	Adjective	tr		rus	8-ой
eng	8th	Adjective	tr		spa	8º
eng	8th	Adjective	tr		swe	8:e
eng	8th	Adjective	tr		tur	8.
eng	8th	Adjective	tr		tur	8'inci
