	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	a bad penny always turns up	Proverb	tr	unwanted person or thing reappears	hun	rossz pénz nem vész el
eng	a bad penny always turns up	Proverb	tr	unwanted person or thing reappears	ita	chi scava una fossa vi cade dentro
eng	a bad penny always turns up	Proverb	tr	unwanted person or thing reappears	ita	l'erba cattiva non muore mai
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	cmn	一个差的工人总是指责他的工具	tr=yīgè chà de gōngrén zǒngshì zhǐzé tā de gōngjù
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	cmn	一個差的工人總是指責他的工具
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	deu	ein schlechter Handwerker schimpft immer auf sein Werkzeug
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	deu	wenn der Reiter nichts taugt, hat das Pferd Schuld
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	fas	پهلوان که باخت میگه نیرو من تنگ بود	tr=
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	fin	kyllä sika syitä löytää, välillä on maa jäässä, välillä kärsä kipeä
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	fra	à méchant ouvrier, point de bon outil
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	fra	un mauvais ouvrier a toujours de mauvais outils
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	gla	cha d'fhuair droch-bhuannaiche a-riamh deagh-chorran
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	gla	cha d'fhuair droch-ràmhaich ràmh math a-riamh
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	hin	नाच न जाने आँगन टेढ़ा
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	isl	árinni kennir illur ræðari
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	jpn	弘法筆を選ばず	tr=kōbō fude o erabazu
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	kor	나쁜 일꾼은 제 공구를 탓한다
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	mar	नाचता येइना अंगण वाकडे
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	tak tahu menari dikatakan lantai jongkang-jongket
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	tak tahu menari dikatakan tanah tinggi rendah
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	tak tahu menganyam pandan disalahkan
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	تق تاهو مڠاڽم ڤندن دسالهکن	sc=Arab
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	تق تاهو مناري دکاتاکن تانه تيڠݢي رنده	sc=Arab
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	msa	تق تاهو مناري دکاتاکن لنتاي جوڠکڠ-جوڠکيت	sc=Arab
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	nld	een kwaad werkman heeft altijd slecht getuig
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	pol	złej baletnicy przeszkadza rąbek spódnicy
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	pol	złej baletnicy przeszkadza rąbek u spódnicy
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	pol	złej baletnicy szkodzi rąbek przy spódnicy
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	rus	ма́стер глуп — нож туп
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	rus	не́ча на зе́ркало пеня́ть, ко́ли ро́жа крива́
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	rus	плохо́му танцо́ру и я́йца меша́ют
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	tha	รำไม่ดีโทษปี่โทษกลอง
eng	a bad workman always blames his tools	Proverb	tr	not the tools but how they're employed	urd	ناچ نہ جانے آنگن ٹیڑھا	tr=nāc na jāne ā̃gan ṭeṛhā
eng	A battery	Noun	tr	battery to heat the filament of electron tube	deu	Anodenbatterie	f
eng	A battery	Noun	tr	battery to heat the filament of electron tube	fin	hehkuparisto
eng	a battuta	Adjective	tr	with the beat of the music	nob	a battuta
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	ara	عُصْفُورٌ فِي ٱلْيَدِ أَفْضَلُ مِنْ عُصْفُورِينَ عَلَى ٱلشَّجَرَةِ
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	ces	lepší vrabec v hrsti, nežli holub na střeše
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	cmn	一鳥在手勝於十鳥在林	sc=Hani
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	cmn	一鸟在手胜于十鸟在林	tr=yī niăo zài shŏu shèng yú shí niăo zài lín	sc=Hani
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	cym	gwell bach mewn llaw na mawr gerllaw
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	dan	en fugl i hånden er bedre end ti på taget
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	deu	Besser ein Spatz in der Hand als eine Taube auf dem Dach
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	ell	κάλλιο πέντε και στο χέρι παρά δέκα και καρτέρει
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	epo	Pli bona ol dek branĉoj sur centono
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	est	parem varblane peos kui tuvi katusel
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	fin	parempi pyy pivossa kuin kymmenen oksalla
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	fra	moineau à la main vaut mieux que grue qui vole
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	fra	un tiens vaut mieux que deux tu l'auras
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	fur	l'è miôr un ûf vuê che une gjaline doman
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	gla	's fhearr eun san làimh na deich air iteig
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	gla	's fhearr iasg beag na bhith gun iasg idir
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	hbs	bolje vrabac u ruci nego golub na grani
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	hbs	боље врабац у руци него голуб на грани	tr=bolje vrabac u ruci nego golub na grani	sc=Cyrl
eng	a bird in the hand is worth two in the bush	Proverb	tr	small but certain advantage is preferable	heb	טוב ציפור אחת ביד משתיים על העץ	tr=tov tzippór aḥát bayád mishtáim 'al ha'étz
