	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ahab	Proper noun	tr	biblical king of Israel	deu	Ahab
eng	Ahab	Proper noun	tr	biblical king of Israel	enm	Achab
eng	Ahab	Proper noun	tr	biblical king of Israel	fra	Achab
eng	Ahab	Proper noun	tr	biblical king of Israel	grc	Ἀχαάβ	m
eng	Ahab	Proper noun	tr	biblical king of Israel	heb	אַחְאָב	tr=Ach'av	sc=Hebr
eng	Ahab	Proper noun	tr	biblical king of Israel	nld	Achab
eng	Ahab	Proper noun	tr	biblical king of Israel	nld	Aĥabo
eng	Ahab	Proper noun	tr	biblical king of Israel	por	Acabe	m
eng	Ahab	Proper noun	tr	biblical king of Israel	por	Acab	m
eng	Ahab	Proper noun	tr	biblical king of Israel	rus	Аха́в
eng	Ahab	Proper noun	tr	biblical king of Israel	swb	Ahaɓu
eng	Ahab	Proper noun	tr	biblical king of Israel	swe	Ahab
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ces	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	啊	tr=à	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	啊哈	tr=ahā	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	cmn	嗯	tr=ǹg	sc=Hani
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	deu	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ell	αχά	sc=Grek
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	epo	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	epo	ha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fin	ahaa
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fra	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	fra	tiens donc
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hbs	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hbs	аха
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	hun	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ina	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	jpn	ああ	tr=ā	sc=Jpan
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	jpn	なるほど	tr=naruhodo	sc=Jpan
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	kor	아하
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nep	ए
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nld	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	nor	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	pol	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	por	ahá
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	rus	а
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	rus	ага́
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	slk	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	spa	ajá
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	swe	aha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	swe	jaha
eng	aha	Interjection	tr	exclamation of understanding, realization, invention, or recognition	ukr	ага́	sc=Cyrl
eng	Ahalya	Proper noun	tr	Wife of Gautama	ben	অহল্যা
eng	Ahalya	Proper noun	tr	Wife of Gautama	hin	अहल्या	f
eng	Ahalya	Proper noun	tr	Wife of Gautama	hin	अहिल्या
