	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ara	أَجَاكْسْيُو
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	arg	Aiacciu
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	aze	Ayaçço
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	bel	Аяча
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	bod	ཨ་ཇཀ་སིའོ།
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	bre	Aiacciu
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	bre	Ajaccio
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	bul	Аячо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	che	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	cmn	阿雅克肖
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	cos	Aghjacciu	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	cos	Aiacciu	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ell	Αγιάτσο
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ell	Αζαξιό
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ell	Αιάκειο
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	fas	آژاکسیو
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	fin	Ajaccio
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	fra	Ajaccio	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	hbs	Ајачо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	heb	אז׳אקסיו	alt=אז'אקסיו
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	hye	Այաչչո
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ita	Aiaccio	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ita	Ajaccio	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	jpn	アジャクシオ	tr=Ajakushio
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	jpn	アヤッチョ	tr=Ayatcho
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	kat	აიაჩო
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	kaz	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	kor	아작시오
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	lat	Adiacium	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	lav	Ajačju
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	lav	Ažaksjo
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	lit	Ajačas
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	mar	अझाक्सियो
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	mkd	Ајачо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	mzn	آژاکسیو
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	oss	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	pnb	اجاکیو
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	por	Ajaccio	f
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	rus	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	scn	Ajacciu	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	sqi	Ajaçio
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	srd	Aiacciu	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	srd	Ajacciu	m
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	tat	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	ukr	Аяччо
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	urd	اژاکسی او
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	vec	Ajacio
eng	Ajaccio	Proper noun	tr	capital city of Corsica, France	yue	阿些斯奧
eng	Ajam	Proper noun	tr	Kuwaiti citizens of Iranian origin	afb	عَيَم	m	tr=ʿayam
eng	Ajam	Proper noun	tr	Kuwaiti citizens of Iranian origin	ara	عَيَم	m
eng	Ajam	Proper noun	tr	non-Arab	ara	أَعْجَمِيّ	m
eng	Ajam	Proper noun	tr	non-Arab	ben	আজম	tr=ajôm
eng	Ajam	Proper noun	tr	non-Arab	hin	अजम	m
eng	Ajam	Proper noun	tr	non-Arab	hin	अजमी	m
eng	Ajam	Proper noun	tr	non-Arab	uig	ئەجەم
eng	Ajam	Proper noun	tr	Persian	ara	أَعْجَمِيّ	m
eng	Ajam	Proper noun	tr	Persian	hin	अजम	m
eng	Ajam	Proper noun	tr	Persian	hin	अजमी	m
eng	Ajam	Proper noun	tr	Persian	uig	ئەجەم
eng	Ajam	Proper noun	tr	Persia	uig	ئەجەمىستان
eng	ajapsandali	Noun	tr	Georgian dish	hye	աջաբսանդալ
eng	ajapsandali	Noun	tr	Georgian dish	kat	აჯაფსანდალი	sc=Geor
eng	ajapsandali	Noun	tr	Georgian dish	rus	аджапсанда́ли	f	n
eng	ajar	Adjective	tr	slightly turned or opened	bul	открехнат
eng	ajar	Adjective	tr	slightly turned or opened	ces	pootevřený
eng	ajar	Adjective	tr	slightly turned or opened	dan	på klem
eng	ajar	Adjective	tr	slightly turned or opened	deu	angelehnt
eng	ajar	Adjective	tr	slightly turned or opened	fas	نیمه‌باز	tr=nime-bâz	sc=fa-Arab
eng	ajar	Adjective	tr	slightly turned or opened	fin	raollaan
eng	ajar	Adjective	tr	slightly turned or opened	fra	entrebâillé
eng	ajar	Adjective	tr	slightly turned or opened	fra	entrouvert
eng	ajar	Adjective	tr	slightly turned or opened	hbs	odškrinut	m
eng	ajar	Adjective	tr	slightly turned or opened	hbs	odškrinuto
eng	ajar	Adjective	tr	slightly turned or opened	hbs	одшкринут	m
eng	ajar	Adjective	tr	slightly turned or opened	isl	opinn í hálfa gátt
eng	ajar	Adjective	tr	slightly turned or opened	isl	opinn til hálfs
eng	ajar	Adjective	tr	slightly turned or opened	mri	matata
eng	ajar	Adjective	tr	slightly turned or opened	nld	op een kier
eng	ajar	Adjective	tr	slightly turned or opened	nor	på gløtt
eng	ajar	Adjective	tr	slightly turned or opened	por	entreaberto
eng	ajar	Adjective	tr	slightly turned or opened	rus	приоткры́тый
eng	ajar	Adjective	tr	slightly turned or opened	slk	odchýlený
eng	ajar	Adjective	tr	slightly turned or opened	slk	pootvorený
eng	ajar	Adjective	tr	slightly turned or opened	spa	entornado
eng	ajar	Adjective	tr	slightly turned or opened	spa	entreabierto
eng	ajar	Adjective	tr	slightly turned or opened	swe	på glänt
