	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	aubade	Noun	tr	morning love song	fra	aubade	f
eng	aubade	Noun	tr	morning love song	spa	alborada
eng	aubade	Noun	tr	song or poem greeting dawn	fra	aubade	f
eng	aubade	Noun	tr	song or poem greeting dawn	nld	aubade	f
eng	aubade	Noun	tr	song or poem greeting dawn	spa	alborada
eng	Aube	Proper noun	tr	département	fra	Aube
eng	Aube	Proper noun	tr	département	oci	Auba	f
eng	auberge	Noun	tr	auberge	ita	albergo	m
eng	auberge	Noun	tr	auberge	pol	oberża	f
eng	aubergine	Noun	tr	a dark purple colour	ben	বেগুন
eng	aubergine	Noun	tr	a dark purple colour	cmn	紅紫色	tr=hóngzǐsè
eng	aubergine	Noun	tr	a dark purple colour	cmn	茄紫色	tr=qiézǐsè
eng	aubergine	Noun	tr	a dark purple colour	ell	μελιτζανί	n
eng	aubergine	Noun	tr	a dark purple colour	fas	بادنجانی	tr=bādanjāni
eng	aubergine	Noun	tr	a dark purple colour	hin	बैंगनी	?
eng	aubergine	Noun	tr	a dark purple colour	msa	terung ungu
eng	aubergine	Noun	tr	a dark purple colour	pol	bakłażanowy	m
eng	aubergine	Noun	tr	a dark purple colour	pol	ciemnofioletowy	m
eng	aubergine	Noun	tr	a dark purple colour	rus	баклажа́новый	?
eng	aubergine	Noun	tr	a dark purple colour	rus	тёмнофиолетовый	?
eng	aubergine	Noun	tr	a dark purple colour	urd	بینگنی	?	tr=baiṅganī
eng	aubergine	Noun	tr	a dark purple colour	zza	baincan
eng	auburn	Adjective	tr	reddish-brown	bul	кестеняв
eng	auburn	Adjective	tr	reddish-brown	dan	kastanjebrun
eng	auburn	Adjective	tr	reddish-brown	dan	kastanjerød
eng	auburn	Adjective	tr	reddish-brown	deu	kastanienbraun
eng	auburn	Adjective	tr	reddish-brown	deu	rotbraun
eng	auburn	Adjective	tr	reddish-brown	deu	rötlichbraun
eng	auburn	Adjective	tr	reddish-brown	epo	ruĝbruna
eng	auburn	Adjective	tr	reddish-brown	fin	kastanjanruskea
eng	auburn	Adjective	tr	reddish-brown	fra	auburn
eng	auburn	Adjective	tr	reddish-brown	fra	roux
eng	auburn	Adjective	tr	reddish-brown	glg	rubio
eng	auburn	Adjective	tr	reddish-brown	mri	kōkōwai
eng	auburn	Adjective	tr	reddish-brown	mri	urukehu
eng	auburn	Adjective	tr	reddish-brown	msa	perang kemerah-merahan
eng	auburn	Adjective	tr	reddish-brown	por	castanho avermelhado	m
eng	auburn	Adjective	tr	reddish-brown	ron	roșcat-cafeniu
eng	auburn	Adjective	tr	reddish-brown	rus	кра́сно-кори́чневый
eng	auburn	Adjective	tr	reddish-brown	rus	тёмно-ры́жий
eng	auburn	Adjective	tr	reddish-brown	spa	bermejo
eng	auburn	Adjective	tr	reddish-brown	spa	castaño
eng	auburn	Adjective	tr	reddish-brown	tur	kumral
eng	auburn	Noun	tr	reddish-brown	alt	кӱреҥ
eng	auburn	Noun	tr	reddish-brown	cmn	赤褐色	tr=chìhèsè	sc=Hani
eng	auburn	Noun	tr	reddish-brown	cym	coch-frown
eng	auburn	Noun	tr	reddish-brown	dan	kastanjebrun
eng	auburn	Noun	tr	reddish-brown	dan	kastanjerød
eng	auburn	Noun	tr	reddish-brown	deu	Kastanienbraun	n
eng	auburn	Noun	tr	reddish-brown	deu	Rotbraun	n
eng	auburn	Noun	tr	reddish-brown	ell	καστανέρυθρο	n	sc=Grek
eng	auburn	Noun	tr	reddish-brown	ell	καστανοκόκκινο	n	sc=Grek
eng	auburn	Noun	tr	reddish-brown	est	punakaspruun
eng	auburn	Noun	tr	reddish-brown	fas	بور	tr=bur
eng	auburn	Noun	tr	reddish-brown	fin	kastanjanruskea
eng	auburn	Noun	tr	reddish-brown	fra	roux	m
eng	auburn	Noun	tr	reddish-brown	glg	roán
eng	auburn	Noun	tr	reddish-brown	glg	roxo	m
eng	auburn	Noun	tr	reddish-brown	ind	merah pirang
eng	auburn	Noun	tr	reddish-brown	ita	biondo rame	m
eng	auburn	Noun	tr	reddish-brown	jpn	赤褐色	tr=せきかっしょく, sekikasshoku
eng	auburn	Noun	tr	reddish-brown	kat	ჟღალი	sc=Geor
eng	auburn	Noun	tr	reddish-brown	msa	perang kemerah-merahan
eng	auburn	Noun	tr	reddish-brown	nld	kastanjebruin
eng	auburn	Noun	tr	reddish-brown	nob	kastanjebrun
eng	auburn	Noun	tr	reddish-brown	nog	куьрен
eng	auburn	Noun	tr	reddish-brown	por	castanho-avermelhado
eng	auburn	Noun	tr	reddish-brown	ron	roșcat-cafeniu
eng	auburn	Noun	tr	reddish-brown	rus	кра́сно-кори́чневый
eng	auburn	Noun	tr	reddish-brown	rus	тёмно-ры́жий
eng	auburn	Noun	tr	reddish-brown	slv	kostanjeva	f
eng	auburn	Noun	tr	reddish-brown	slv	kostanjevo rjava	f
eng	auburn	Noun	tr	reddish-brown	swe	kastanjebrun
eng	auburn	Noun	tr	reddish-brown	tam	செம்பட்டை
eng	auburn	Noun	tr	reddish-brown	tur	kumral
eng	Auchencrow	Proper noun	tr	village	gla	Allt na Crà
eng	Auchencrow	Proper noun	tr	village	sco	Achencraw
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	ara	أُوكْلَانْد	m	tr=ʾokland
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	bel	О́кленд	m
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	bul	Оукланд	m
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	cmn	奥克兰	tr=Àokèlán
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	cmn	奧克蘭
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	deu	Auckland
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	ell	Ώκλαντ
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	fas	آوکلند	tr=âvkland
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	fin	Auckland
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	hbs	Auckland	m
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	hbs	Окланд	m
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	heb	אוקלנד
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	hin	ऑकलैंड
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	hye	Օկլենդ
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	jpn	オークランド	tr=Ōkurando
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	kat	ოკლენდი
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	kor	^오클랜드
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	lat	Aucopolis
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	lat	Querquetula
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	mkd	Окленд	m
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	mri	Ākarana
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	mri	Tāmaki Makaurau
eng	Auckland	Proper noun	tr	the largest conurbation in New Zealand	nld	Auckland
