	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Awadhi	Proper noun	tr	Awadhi language	awa	अवधी	f	sc=Deva
eng	Awadhi	Proper noun	tr	Awadhi language	fin	awadhi
eng	Awadhi	Proper noun	tr	Awadhi language	fra	awadhi
eng	Awadhi	Proper noun	tr	Awadhi language	gle	Avaidis	f
eng	Awadhi	Proper noun	tr	Awadhi language	hin	अवधी	f
eng	Awadhi	Proper noun	tr	Awadhi language	jpn	アワディー語	tr=Awadī-go
eng	Awadhi	Proper noun	tr	Awadhi language	mar	अवधी	f
eng	Awadhi	Proper noun	tr	Awadhi language	swe	awadhi	c
eng	Awadhi	Proper noun	tr	Awadhi language	tam	அவதி
eng	Awadhi	Proper noun	tr	Awadhi language	tha	ภาษาอวธี	tr=paasăa awátee
eng	Awadhi	Proper noun	tr	Awadhi language	urd	اودھی	f	tr=avadhī
eng	await	Verb	tr	intransitive, to stay in waiting	ang	ābīdan
eng	await	Verb	tr	intransitive, to stay in waiting	ben	অপেক্ষা করা	sc=Beng
eng	await	Verb	tr	intransitive, to stay in waiting	bul	очаквам
eng	await	Verb	tr	intransitive, to stay in waiting	cat	esperar
eng	await	Verb	tr	intransitive, to stay in waiting	deu	bedienen
eng	await	Verb	tr	intransitive, to stay in waiting	deu	warten	alt=warten auf
eng	await	Verb	tr	intransitive, to stay in waiting	fin	odottaa
eng	await	Verb	tr	intransitive, to stay in waiting	fra	attendre
eng	await	Verb	tr	intransitive, to stay in waiting	nld	wachten	alt=wachten op
eng	await	Verb	tr	intransitive, to stay in waiting	por	aguardar
eng	await	Verb	tr	intransitive, to stay in waiting	por	esperar
eng	await	Verb	tr	intransitive, to stay in waiting	ron	aștepta
eng	await	Verb	tr	intransitive, to stay in waiting	zza	pawen
eng	await	Verb	tr	intransitive: to watch	fin	odottaa
eng	await	Verb	tr	intransitive: to watch	fin	tarkkailla
eng	await	Verb	tr	intransitive: to watch	fra	guetter
eng	await	Verb	tr	to serve	bul	обслу́жвам	impf
eng	await	Verb	tr	to serve	fin	palvella
eng	await	Verb	tr	to serve	fin	tarjoilla
eng	await	Verb	tr	to serve	fra	servir
eng	await	Verb	tr	to serve	ita	servire
eng	await	Verb	tr	to serve	nld	bedienen
eng	await	Verb	tr	to serve	nld	dienen
eng	await	Verb	tr	to serve	por	servir
eng	await	Verb	tr	to serve	ron	servi masa	alt=a servi masa
eng	await	Verb	tr	to serve	rus	обслу́живать	impf
eng	await	Verb	tr	to serve	rus	обслужи́ть	pf
eng	await	Verb	tr	transitive: to be in store for	fin	odottaa
eng	await	Verb	tr	transitive: to be in store for	nld	klaarliggen
eng	await	Verb	tr	transitive: to be in store for	nld	liggen te wachten
eng	await	Verb	tr	transitive: to be in store for	pol	czekać
eng	await	Verb	tr	transitive: to be in store for	pol	oczekiwać
eng	await	Verb	tr	transitive: to be in store for	por	esperar
eng	await	Verb	tr	transitive: to be in store for	rus	ожида́ть	impf
eng	await	Verb	tr	transitive: to expect	bak	көтөү
eng	await	Verb	tr	transitive: to expect	ben	অপেক্ষা করা	sc=Beng
eng	await	Verb	tr	transitive: to expect	bul	очаквам
eng	await	Verb	tr	transitive: to expect	cat	esperar
eng	await	Verb	tr	transitive: to expect	ces	očekávat
eng	await	Verb	tr	transitive: to expect	fin	odottaa
eng	await	Verb	tr	transitive: to expect	fin	olettaa
eng	await	Verb	tr	transitive: to expect	fra	s'attendre à
eng	await	Verb	tr	transitive: to expect	hye	սպասել
eng	await	Verb	tr	transitive: to expect	ido	expektar
eng	await	Verb	tr	transitive: to expect	lat	expecto
eng	await	Verb	tr	transitive: to expect	lat	spero
eng	await	Verb	tr	transitive: to expect	lat	spero
eng	await	Verb	tr	transitive: to expect	lat	spero
eng	await	Verb	tr	transitive: to expect	nld	verwachten
eng	await	Verb	tr	transitive: to expect	pol	oczekiwać
eng	await	Verb	tr	transitive: to expect	por	esperar
eng	await	Verb	tr	transitive: to expect	ron	aștepta
eng	await	Verb	tr	transitive: to expect	rus	ожида́ть	impf
eng	await	Verb	tr	transitive: to expect	spa	esperar
eng	await	Verb	tr	transitive: to expect	wln	s' atinde a
eng	await	Verb	tr	transitive: to wait for	afr	wag
eng	await	Verb	tr	transitive: to wait for	ara	اِنْتَظَرَ
eng	await	Verb	tr	transitive: to wait for	ary	تْسنّى	tr=tsənna
