	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Acacius	Proper noun	tr	given name	grc	Ἀκάκιος
eng	Acacius	Proper noun	tr	given name	kat	აკაკი
eng	Academy Award	Noun	tr	award	fin	Oscar
eng	Academy Award	Noun	tr	award	fin	palkinto
eng	Academy Award	Noun	tr	award	hbs	Oskar	sc=Latn
eng	Academy Award	Noun	tr	award	hbs	Оскар	m	sc=Cyrl
eng	Academy Award	Noun	tr	award	hun	Oscar-díj
eng	Academy Award	Noun	tr	award	mya	အော်စကာ
eng	Academy Award	Noun	tr	award	nld	Oscar	m
eng	Academy of Sciences	Noun	tr	learned society dedicated to sciences	fin	tiedeakatemia
eng	Academy of Sciences	Noun	tr	learned society dedicated to sciences	ita	accademia delle scienze	f
eng	Acadian	Adjective	tr	of or pertaining to Acadia	fin	acadialainen
eng	Acadian	Adjective	tr	of or pertaining to Acadia	fra	acadien
eng	Acadian	Adjective	tr	of or pertaining to Acadia	por	acádio	m
eng	Acadian	Adjective	tr	of or pertaining to Acadia	spa	acadio
eng	Acadian	Adjective	tr	of or pertaining to the Acadian epoch	fin	keskikambrilainen
eng	Acadian	Adjective	tr	of or pertaining to the Acadian epoch	fra	acadien
eng	Acadian	Adjective	tr	of or pertaining to the Acadian epoch	por	acádio	m
eng	Acadian Coast	Proper noun	tr	New Brunswick	fra	Côte acadienne / Côte Acadienne / côte Acadienne / côte acadienne
eng	Acadian Coast	Proper noun	tr	New Brunswick	fra	Péninsule acadienne / Péninsule Acadienne / péninsule acadienne / péninsule Acadienne
eng	Acadian Coast	Proper noun	tr	Nova Scotia	fra	Côte acadienne / Côte Acadienne / côte Acadienne / côte acadienne
eng	Acadian	Proper noun	tr	Acadian epoch	fra	Acadien	m
eng	Acadian	Proper noun	tr	Acadian epoch	por	acádio
eng	Acadian	Proper noun	tr	Acadian French	fra	Acadien	m
eng	Acadian	Proper noun	tr	Acadian French	gle	Acaidis	f
eng	Acadian	Proper noun	tr	Of or pertaining to Acadia	fra	Acadien	m
eng	Acadian	Proper noun	tr	Of or pertaining to Acadia	fra	Acadienne	f
eng	Acadian	Proper noun	tr	Of or pertaining to Acadia	por	acádio
eng	Acadia	Proper noun	tr	a French colonial territory in North America	fin	Acadia
eng	Acadia	Proper noun	tr	a French colonial territory in North America	fra	Acadie	f
eng	Acadia	Proper noun	tr	a French colonial territory in North America	por	Acádia	f
eng	Acapulco	Proper noun	tr	Mexican port city	amu	Ndaabꞌio
eng	Acapulco	Proper noun	tr	Mexican port city	azg	Jndaavꞌio
eng	Acapulco	Proper noun	tr	Mexican port city	ell	Ακαπούλκο
eng	Acapulco	Proper noun	tr	Mexican port city	por	Acapulco	f
eng	Acapulco	Proper noun	tr	Mexican port city	tur	Acapulco
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	fra	Acarnanien	m
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	fra	Acarnanienne	f
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	gle	Acarnánach	m
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	lat	Acarnaniensis
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	por	acarnaniano	m
eng	Acarnanian	Noun	tr	inhabiting or originating from Acarnania	por	acarnânio	m
eng	Acarnania	Proper noun	tr	region of Greece	deu	Akarnanien	n
eng	Acarnania	Proper noun	tr	region of Greece	ell	Ακαρνανία
eng	Acarnania	Proper noun	tr	region of Greece	grc	Ἀκαρνανία
eng	Acarnania	Proper noun	tr	region of Greece	lat	Acarnania
eng	Acarnania	Proper noun	tr	region of Greece	por	Acarnânia	f
eng	Acayucan	Proper noun	tr	city	plo	Capeꞌnʉ̱p
eng	Acayucan	Proper noun	tr	city	poi	Ca̱pñɨɨm
eng	Acayucan	Proper noun	tr	city	pos	Capnʉꞌm
eng	Acayucan	Proper noun	tr	city	spa	Acayucan
eng	Acayucan	Proper noun	tr	municipality	spa	Acayucan
eng	Accra	Proper noun	tr	capital of Ghana	afr	Accra
eng	Accra	Proper noun	tr	capital of Ghana	aka	Nkran
eng	Accra	Proper noun	tr	capital of Ghana	ara	أَكْرَا	f
eng	Accra	Proper noun	tr	capital of Ghana	arg	Accra
eng	Accra	Proper noun	tr	capital of Ghana	aze	Akkra
eng	Accra	Proper noun	tr	capital of Ghana	bre	Accra
eng	Accra	Proper noun	tr	capital of Ghana	cat	Accra
eng	Accra	Proper noun	tr	capital of Ghana	ceb	Acra
eng	Accra	Proper noun	tr	capital of Ghana	ces	Accra
eng	Accra	Proper noun	tr	capital of Ghana	cmn	阿克拉	tr=Ākèlā
eng	Accra	Proper noun	tr	capital of Ghana	cor	Accra
eng	Accra	Proper noun	tr	capital of Ghana	cym	Accra
eng	Accra	Proper noun	tr	capital of Ghana	dan	Accra
eng	Accra	Proper noun	tr	capital of Ghana	deu	Accra	n
eng	Accra	Proper noun	tr	capital of Ghana	ell	Άκρα	f
eng	Accra	Proper noun	tr	capital of Ghana	epo	Akrao
eng	Accra	Proper noun	tr	capital of Ghana	est	Accra
eng	Accra	Proper noun	tr	capital of Ghana	eus	Akkra
eng	Accra	Proper noun	tr	capital of Ghana	ewe	Gɛ̃
eng	Accra	Proper noun	tr	capital of Ghana	fin	Accra
eng	Accra	Proper noun	tr	capital of Ghana	fra	Accra	f
eng	Accra	Proper noun	tr	capital of Ghana	frp	Accra
eng	Accra	Proper noun	tr	capital of Ghana	fry	Akkra
eng	Accra	Proper noun	tr	capital of Ghana	gla	Accra
eng	Accra	Proper noun	tr	capital of Ghana	gle	Accra
eng	Accra	Proper noun	tr	capital of Ghana	glg	Accra
eng	Accra	Proper noun	tr	capital of Ghana	gur	Ankra
eng	Accra	Proper noun	tr	capital of Ghana	hat	Akra
eng	Accra	Proper noun	tr	capital of Ghana	hau	Ankara
eng	Accra	Proper noun	tr	capital of Ghana	hbs	Akra	f
eng	Accra	Proper noun	tr	capital of Ghana	hbs	Акра	f
eng	Accra	Proper noun	tr	capital of Ghana	heb	אַקְרָה	f	tr=akra
eng	Accra	Proper noun	tr	capital of Ghana	hif	Accra
eng	Accra	Proper noun	tr	capital of Ghana	hun	Accra
eng	Accra	Proper noun	tr	capital of Ghana	ido	Accra
eng	Accra	Proper noun	tr	capital of Ghana	ind	Accra
eng	Accra	Proper noun	tr	capital of Ghana	isl	Akkra
eng	Accra	Proper noun	tr	capital of Ghana	ita	Accra
eng	Accra	Proper noun	tr	capital of Ghana	jav	Accra
eng	Accra	Proper noun	tr	capital of Ghana	jpn	アクラ	tr=Akura
eng	Accra	Proper noun	tr	capital of Ghana	kat	აკრა
eng	Accra	Proper noun	tr	capital of Ghana	kin	Accra
eng	Accra	Proper noun	tr	capital of Ghana	kor	^아크라
eng	Accra	Proper noun	tr	capital of Ghana	lat	Accra
eng	Accra	Proper noun	tr	capital of Ghana	lav	Akra
eng	Accra	Proper noun	tr	capital of Ghana	lit	Akra
eng	Accra	Proper noun	tr	capital of Ghana	lmo	Accra
eng	Accra	Proper noun	tr	capital of Ghana	ltz	Accra
