	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Adachi	Proper noun	tr	one of special wards that forms Tokyo	lit	Adačis
eng	Adachi	Proper noun	tr	one of special wards that forms Tokyo	rus	Ада́ти	m
eng	Adad	Proper noun	tr	god of storms in Mesopotamian mythology	por	Adad	m
eng	Adah	Proper noun	tr	biblical character	est	Aada
eng	Adah	Proper noun	tr	biblical character	fin	Ada
eng	Adah	Proper noun	tr	biblical character	por	Ada	f
eng	Adah	Proper noun	tr	biblical character	vie	A-đa
eng	Adah	Proper noun	tr	female given name	est	Aada
eng	Adah	Proper noun	tr	female given name	fin	Aada
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	afr	Adam en Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ara	آدَم وَحَوَّاء	tr=ʾādam wa-ḥawwāʾ
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	aze	Adəm və Həvva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	bel	Ада́м і Е́ва	p	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	bul	Ада́м и Е́ва	p	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ceb	Adan ug Eba
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ces	Adam a Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	cmn	亚当和伊夫	tr=Yàdāng hé Yīfū	sc=Hani
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	cmn	亚当和夏娃	tr=Yàdāng hé Xiàwá	sc=Hani
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	cmn	亞當和伊夫	sc=Hani
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	cmn	亞當和夏娃	sc=Hani
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	cym	Adda ac Efa
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	dan	Adam og Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	deu	Adam und Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	epo	Adamo kaj Evo
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	fao	Ádam og Eva	n-p
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	fas	آدم و حوا	sc=fa-Arab
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	fin	Aatami ja Eeva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	fra	Adam et Ève
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	fry	Adam en Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	glg	Adán e Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	guj	આદમ અને હવા	sc=Gujr
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	hbs	Adam i Eva	p
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	hbs	Адам и Ева	m-p	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	heb	אדם וחוה	tr=adam ve-khawa	sc=Hebr
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	hun	Ádám és Éva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ind	Adam dan Hawa
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	isl	Adam og Eva	n-p
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ita	Adamo ed Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	jpn	アダムとイヴ	tr=Adamu to Ivu	sc=Jpan
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	kat	ადამ და ევა	sc=Geor
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	kat	ადამი და ევა	sc=Geor
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	kaz	Адам мен Хауа	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	khm	អាដាមនិងនាងអេវ	tr=aadaam nɨng nieng eev	sc=Khmr
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	kor	아담과 하와	tr=Adam-gwa Hawa	sc=Kore
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	lit	Adomas ir Ieva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	mal	ആദാമും ഹവ്വായും	sc=Mlym
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	mkd	Адам и Ева	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	mlt	Adam u Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	msa	Adam dan Hawa
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	nau	Adam me Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	nav	Adam dóó Eve
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	nld	Adam en Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	nno	Adam og Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	nob	Adam og Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	pol	Adam i Ewa
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	por	Adão e Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ron	Adam și Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	rus	Ада́м и Е́ва	p
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	slk	Adam a Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	slv	Adam in Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	spa	Adán y Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	sqi	Adami dhe Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	swe	Adam och Eva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	tgl	Adan at Eba
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	tur	Adem ile Havva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	tur	Adem'le Havva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	tur	Adem ve Havva
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	uig	ئادەم ۋە ھەۋۋا
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	ukr	Ада́м і Є́ва	p	sc=Cyrl
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	vie	Adam và Eve
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	war	Adan ngan Eba
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	wln	Adan ey Eve
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	wln	Adan ey Eve
eng	Adam and Eve	Proper noun	tr	the first man and woman (according to Genesis)	yor	Ádámù àti Éfà
eng	Adamic	Adjective	tr	relating to the Biblical character Adam	por	adâmico
eng	Adamite	Noun	tr	member of religious group	bul	нудист
eng	Adamite	Noun	tr	member of religious group	ces	adamita
eng	Adamite	Noun	tr	member of religious group	por	adamita	m	f
eng	Adamnan	Proper noun	tr	Irish saint	por	Adamnan	m
eng	Adamnan	Proper noun	tr	Irish saint	por	Adamnão	m
eng	Adamnan	Proper noun	tr	Irish saint	por	Adomnan	m
eng	Adam	Proper noun	tr	designating a neoclassical style	fin	Adam
eng	Adam	Proper noun	tr	designating a neoclassical style	fin	Adam-tyyli
eng	Adam	Proper noun	tr	figuratively: original sin; human frailty	fin	Aatami
eng	Adam	Proper noun	tr	figuratively: original sin; human frailty	fin	vanha Aatami
eng	Adam	Proper noun	tr	first man in Abrahamic religions	amh	አዳም	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ara	ءَادَم	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ara	آدَم	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	asm	আদম
eng	Adam	Proper noun	tr	first man in Abrahamic religions	bak	Әҙәм
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ben	আদম
eng	Adam	Proper noun	tr	first man in Abrahamic religions	bod	ཨ་དམ
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cat	Adam
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ces	Adam
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ckb	ئادەم
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cmn	亚当	tr=Yǎdāng
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cmn	亞當
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cmn	阿丹	tr=Ādān
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cor	Adam
eng	Adam	Proper noun	tr	first man in Abrahamic religions	cym	Adda	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	dan	Adam
eng	Adam	Proper noun	tr	first man in Abrahamic religions	deu	Adam	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	ell	Αδάμ	m
eng	Adam	Proper noun	tr	first man in Abrahamic religions	enm	Adam
eng	Adam	Proper noun	tr	first man in Abrahamic religions	epo	Adamo
eng	Adam	Proper noun	tr	first man in Abrahamic religions	est	Aadam
