	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Afade	Proper noun	tr	the language	deu	Afade	n
eng	Afade	Proper noun	tr	the language	fra	afade
eng	Afanasy	Proper noun	tr	given name	chv	Ахванеҫ
eng	Afanasy	Proper noun	tr	given name	hye	Աֆանասի	sc=Armn
eng	Afanasy	Proper noun	tr	given name	kor	아파나시	sc=Kore
eng	Afanasy	Proper noun	tr	given name	rus	Афана́сий
eng	Afanasy	Proper noun	tr	given name	sah	Охонооһой
eng	Afar	Proper noun	tr	language	aar	Qafár af
eng	Afar	Proper noun	tr	language	aar	አፋር	sc=Ethi
eng	Afar	Proper noun	tr	language	afr	Afar
eng	Afar	Proper noun	tr	language	amh	አፋርኛ	sc=Ethi
eng	Afar	Proper noun	tr	language	bre	afareg
eng	Afar	Proper noun	tr	language	cat	àfar
eng	Afar	Proper noun	tr	language	ces	afarština
eng	Afar	Proper noun	tr	language	cos	afar
eng	Afar	Proper noun	tr	language	deu	Afar
eng	Afar	Proper noun	tr	language	deu	Danakil
eng	Afar	Proper noun	tr	language	epo	afara lingvo
eng	Afar	Proper noun	tr	language	eus	afariko
eng	Afar	Proper noun	tr	language	fin	afar
eng	Afar	Proper noun	tr	language	fin	afarin kieli
eng	Afar	Proper noun	tr	language	fra	afar	f
eng	Afar	Proper noun	tr	language	fry	Afarsk	n
eng	Afar	Proper noun	tr	language	gle	Afáiris	f
eng	Afar	Proper noun	tr	language	glg	afar	m
eng	Afar	Proper noun	tr	language	gsw	Afar
eng	Afar	Proper noun	tr	language	hbs	afar
eng	Afar	Proper noun	tr	language	hbs	afarski
eng	Afar	Proper noun	tr	language	hsb	Afaršćina
eng	Afar	Proper noun	tr	language	hye	աֆար	sc=Armn
eng	Afar	Proper noun	tr	language	hye	աֆարերեն	sc=Armn
eng	Afar	Proper noun	tr	language	hye	դանակիլ	sc=Armn
eng	Afar	Proper noun	tr	language	ita	afar
eng	Afar	Proper noun	tr	language	kmr	afar
eng	Afar	Proper noun	tr	language	lav	afāru valoda	f
eng	Afar	Proper noun	tr	language	lit	afar
eng	Afar	Proper noun	tr	language	lit	afarų
eng	Afar	Proper noun	tr	language	lit	afarų kalba
eng	Afar	Proper noun	tr	language	lit	danakilų
eng	Afar	Proper noun	tr	language	lit	danakilų kalba
eng	Afar	Proper noun	tr	language	msa	bahasa Afar
eng	Afar	Proper noun	tr	language	nld	Afar	n
eng	Afar	Proper noun	tr	language	nld	Danakil	n
eng	Afar	Proper noun	tr	language	nno	afar
eng	Afar	Proper noun	tr	language	nor	afar
eng	Afar	Proper noun	tr	language	nor	afarsk
eng	Afar	Proper noun	tr	language	por	afar	m
eng	Afar	Proper noun	tr	language	ron	afară	f
eng	Afar	Proper noun	tr	language	rus	афа́рский	m
eng	Afar	Proper noun	tr	language	rus	афа́рский язы́к	m
eng	Afar	Proper noun	tr	language	rus	данаки́льский	m
eng	Afar	Proper noun	tr	language	rus	данаки́льский язы́к	m
eng	Afar	Proper noun	tr	language	scn	afar
eng	Afar	Proper noun	tr	language	spa	afar
eng	Afar	Proper noun	tr	language	sqi	Gjuha afare
eng	Afar	Proper noun	tr	language	swe	afar
eng	Afar	Proper noun	tr	language	tur	Afarca
eng	Afar	Proper noun	tr	language	wol	afar
eng	Affenpinscher	Noun	tr	Affenpinscher	bul	афенпинчер	m	sc=Cyrl
eng	Affenpinscher	Noun	tr	Affenpinscher	ces	opičí pinč	m
eng	Affenpinscher	Noun	tr	Affenpinscher	deu	Affenpinscher	m
eng	Affenpinscher	Noun	tr	Affenpinscher	est	ahvpinšer
eng	Affenpinscher	Noun	tr	Affenpinscher	fin	affenpinseri
eng	Affenpinscher	Noun	tr	Affenpinscher	fin	apinapinseri
eng	Affenpinscher	Noun	tr	Affenpinscher	gle	pinséir ápúil	m
eng	Affenpinscher	Noun	tr	Affenpinscher	hbs	majmunski pinč	m
eng	Affenpinscher	Noun	tr	Affenpinscher	hun	majompincs
eng	Affenpinscher	Noun	tr	Affenpinscher	jpn	アーフェンピンシャー	tr=āfenpinshā
eng	Affenpinscher	Noun	tr	Affenpinscher	jpn	アッフェンピンシャー	tr=affenpinshā	sc=Jpan
eng	Affenpinscher	Noun	tr	Affenpinscher	kor	아펜핀셔
eng	Affenpinscher	Noun	tr	Affenpinscher	lit	afenpinčeris	m
eng	Affenpinscher	Noun	tr	Affenpinscher	msa	Affenpinscher
eng	Affenpinscher	Noun	tr	Affenpinscher	msa	pincer monyet
eng	Affenpinscher	Noun	tr	Affenpinscher	pol	pinczer małpi	m
eng	Affenpinscher	Noun	tr	Affenpinscher	por	Affenpinscher	m
eng	Affenpinscher	Noun	tr	Affenpinscher	rus	аффенпи́нчер	m
eng	Affenpinscher	Noun	tr	Affenpinscher	slk	opičí pinč	m
eng	Afghan	Adjective	tr	pertaining to Afghanistan	cat	afganès
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ces	afgánský	m
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ces	afghánský	m
eng	Afghan	Adjective	tr	pertaining to Afghanistan	deu	afghanisch
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ell	αφγανικός
eng	Afghan	Adjective	tr	pertaining to Afghanistan	eus	afganistandar
eng	Afghan	Adjective	tr	pertaining to Afghanistan	fao	afganskur
eng	Afghan	Adjective	tr	pertaining to Afghanistan	fin	afganistanilainen
eng	Afghan	Adjective	tr	pertaining to Afghanistan	fra	afghan
eng	Afghan	Adjective	tr	pertaining to Afghanistan	gle	Afganastánach
eng	Afghan	Adjective	tr	pertaining to Afghanistan	hin	अफगानी
eng	Afghan	Adjective	tr	pertaining to Afghanistan	hin	अफ़्ग़ानी
eng	Afghan	Adjective	tr	pertaining to Afghanistan	hun	afgán
eng	Afghan	Adjective	tr	pertaining to Afghanistan	hun	afganisztáni
eng	Afghan	Adjective	tr	pertaining to Afghanistan	hye	աֆղանական
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ina	afghan
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ita	afghana	f
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ita	afghano	m
eng	Afghan	Adjective	tr	pertaining to Afghanistan	jpn	アフガニスタン	alt=アフガニスタンの	tr=afuganisutan no
eng	Afghan	Adjective	tr	pertaining to Afghanistan	kat	ავღანური
eng	Afghan	Adjective	tr	pertaining to Afghanistan	lat	afghanicus
eng	Afghan	Adjective	tr	pertaining to Afghanistan	lav	afgānisks
eng	Afghan	Adjective	tr	pertaining to Afghanistan	lav	afgāņu
eng	Afghan	Adjective	tr	pertaining to Afghanistan	lit	afganistanietiška	f
eng	Afghan	Adjective	tr	pertaining to Afghanistan	lit	afganištanietiškas	m
eng	Afghan	Adjective	tr	pertaining to Afghanistan	nld	Afghaans
eng	Afghan	Adjective	tr	pertaining to Afghanistan	nno	afghansk
eng	Afghan	Adjective	tr	pertaining to Afghanistan	nob	afghansk
eng	Afghan	Adjective	tr	pertaining to Afghanistan	oci	afgan
eng	Afghan	Adjective	tr	pertaining to Afghanistan	pol	afgański
eng	Afghan	Adjective	tr	pertaining to Afghanistan	por	afegão
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ron	afgan
eng	Afghan	Adjective	tr	pertaining to Afghanistan	rus	афга́нский
eng	Afghan	Adjective	tr	pertaining to Afghanistan	slk	afganský
eng	Afghan	Adjective	tr	pertaining to Afghanistan	spa	afgano
eng	Afghan	Adjective	tr	pertaining to Afghanistan	swe	afghansk
eng	Afghan	Adjective	tr	pertaining to Afghanistan	tur	Afgan
eng	Afghan	Adjective	tr	pertaining to Afghanistan	ukr	афга́нський	m	sc=Cyrl
eng	Afghan	Adjective	tr	pertaining to Pashtun	fin	afgaani-
eng	Afghan	Adjective	tr	pertaining to Pashtun	fin	pataani-
eng	Afghan	Adjective	tr	pertaining to Pashtun	hin	अफगानी
eng	Afghan	Adjective	tr	pertaining to Pashtun	hin	अफ़्ग़ानी
eng	Afghan	Adjective	tr	pertaining to Pashtun	hin	पठानी
eng	Afghan	Adjective	tr	pertaining to Pashtun	lav	afgānisks
eng	Afghan	Adjective	tr	pertaining to Pashtun	lav	afgāņu
eng	Afghan	Adjective	tr	pertaining to Pashtun	lav	puštunu
eng	Afghan	Adjective	tr	pertaining to Pashtun	nld	Afghaans
eng	Afghan	Adjective	tr	pertaining to Pashtun	nld	Pathaans
eng	Afghan	Adjective	tr	pertaining to Pashtun	ron	afgan
eng	Afghan Hound	Noun	tr	Afghan Hound	bul	афганска хрътка	f
eng	Afghan Hound	Noun	tr	Afghan Hound	cat	llebrer afganès	m
eng	Afghan Hound	Noun	tr	Afghan Hound	ces	afgánský chrt	m
eng	Afghan Hound	Noun	tr	Afghan Hound	cmn	阿富汗猎犬	tr=Āfùhàn lièquǎn	sc=Hani
eng	Afghan Hound	Noun	tr	Afghan Hound	cmn	阿富汗猎狗	tr=Āfùhàn liègǒu	sc=Hani
eng	Afghan Hound	Noun	tr	Afghan Hound	cmn	阿富汗獵犬	sc=Hani
eng	Afghan Hound	Noun	tr	Afghan Hound	cmn	阿富汗獵狗	sc=Hani
