	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Akaa	Proper noun	tr	municipality	fin	Akaa
eng	Akaa	Proper noun	tr	municipality	swe	Ackas
eng	Aka-Kora	Proper noun	tr	the language	ack	Aka-Kora
eng	Akan	Proper noun	tr	language group spoken in Ghana	aka	Akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	ara	أَكَانِيَّة
eng	Akan	Proper noun	tr	language group spoken in Ghana	ast	akán
eng	Akan	Proper noun	tr	language group spoken in Ghana	bre	akaneg
eng	Akan	Proper noun	tr	language group spoken in Ghana	ces	akanština
eng	Akan	Proper noun	tr	language group spoken in Ghana	ces	akánština
eng	Akan	Proper noun	tr	language group spoken in Ghana	cmn	阿坎语	tr=Ākǎn yǔ	sc=Hani
eng	Akan	Proper noun	tr	language group spoken in Ghana	cos	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	deu	Akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	epo	akana
eng	Akan	Proper noun	tr	language group spoken in Ghana	fin	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	fra	akan	m
eng	Akan	Proper noun	tr	language group spoken in Ghana	gle	Acáinis	f
eng	Akan	Proper noun	tr	language group spoken in Ghana	glg	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	hye	ական	sc=Armn
eng	Akan	Proper noun	tr	language group spoken in Ghana	ita	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	kor	아칸어군	tr=Akan-eogun
eng	Akan	Proper noun	tr	language group spoken in Ghana	lav	akanu valoda	f
eng	Akan	Proper noun	tr	language group spoken in Ghana	msa	Akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	msa	bahasa Akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	nld	Akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	nor	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	pol	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	por	akan	m
eng	Akan	Proper noun	tr	language group spoken in Ghana	rus	ака́н	m
eng	Akan	Proper noun	tr	language group spoken in Ghana	rus	аканский	m	alt=ака́нский язы́к
eng	Akan	Proper noun	tr	language group spoken in Ghana	scn	akan	m
eng	Akan	Proper noun	tr	language group spoken in Ghana	spa	acano
eng	Akan	Proper noun	tr	language group spoken in Ghana	spa	akan
eng	Akan	Proper noun	tr	language group spoken in Ghana	swe	akan
