	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Aomori	Proper noun	tr	a city in Aomori prefecture	cmn	青森	tr=Qīngsēn	sc=Hani
eng	Aomori	Proper noun	tr	a city in Aomori prefecture	jpn	青森	tr=あおもり, Aomori
eng	Aomori	Proper noun	tr	a city in Aomori prefecture	por	Aomori	f
eng	Aomori	Proper noun	tr	a city in Aomori prefecture	rus	Ао́мори	m
eng	Aomori	Proper noun	tr	a prefecture in Tohoku, Japan	cmn	青森	tr=Qīngsēn	sc=Hani
eng	Aomori	Proper noun	tr	a prefecture in Tohoku, Japan	jpn	青森	tr=あおもり, Aomori
eng	Aomori	Proper noun	tr	a prefecture in Tohoku, Japan	por	Aomori	f
eng	Aomori	Proper noun	tr	a prefecture in Tohoku, Japan	rus	Ао́мори	f
eng	Aomori	Proper noun	tr	surname	jpn	青森	tr=あおもり, Aomori
eng	Aomori	Proper noun	tr	surname	rus	Ао́мори	m	f
eng	Aonian	Adjective	tr	pertaining to Aonia, or to the Muses, who were supposed to dwell there	ita	aonio
eng	Aonian	Adjective	tr	pertaining to Aonia, or to the Muses, who were supposed to dwell there	por	aónio
eng	Aonian	Adjective	tr	pertaining to Aonia, or to the Muses, who were supposed to dwell there	por	aônio
eng	Aostan	Adjective	tr	of or from Aosta	fra	aostois
eng	Aostan	Adjective	tr	of or from Aosta	ita	aostano
eng	Aostan	Noun	tr	one from Aosta	fra	Aostoise	f
eng	Aostan	Noun	tr	one from Aosta	fra	Aostois	m
eng	Aostan	Noun	tr	one from Aosta	ita	aostana	f
eng	Aostan	Noun	tr	one from Aosta	ita	aostano	m
eng	Aosta	Proper noun	tr	city in Italy	ara	أَوْسْتَا	f
eng	Aosta	Proper noun	tr	city in Italy	che	Ао́ста	f
eng	Aosta	Proper noun	tr	city in Italy	cmn	奥斯塔	tr=Àosītǎ
eng	Aosta	Proper noun	tr	city in Italy	cmn	奧斯塔
eng	Aosta	Proper noun	tr	city in Italy	dan	Aosta	c
eng	Aosta	Proper noun	tr	city in Italy	deu	Aosta	n
eng	Aosta	Proper noun	tr	city in Italy	ell	Αόστα	f
eng	Aosta	Proper noun	tr	city in Italy	ell	Αόστη	f
eng	Aosta	Proper noun	tr	city in Italy	epo	Aosto
eng	Aosta	Proper noun	tr	city in Italy	fas	ائوستا
eng	Aosta	Proper noun	tr	city in Italy	fin	Aosta
eng	Aosta	Proper noun	tr	city in Italy	fra	Aoste	f
eng	Aosta	Proper noun	tr	city in Italy	frp	Aoûta	f
eng	Aosta	Proper noun	tr	city in Italy	frp	Vela	f
eng	Aosta	Proper noun	tr	city in Italy	fur	Aoste	f
eng	Aosta	Proper noun	tr	city in Italy	heb	אאוסטה
eng	Aosta	Proper noun	tr	city in Italy	hin	आओस्ता	f
eng	Aosta	Proper noun	tr	city in Italy	hye	Աոստա
eng	Aosta	Proper noun	tr	city in Italy	isl	Ágústa	f
eng	Aosta	Proper noun	tr	city in Italy	ita	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	jpn	アオスタ	tr=Aosuta
eng	Aosta	Proper noun	tr	city in Italy	kat	აოსტა
eng	Aosta	Proper noun	tr	city in Italy	kaz	Аоста	f
eng	Aosta	Proper noun	tr	city in Italy	kor	^아오스타
eng	Aosta	Proper noun	tr	city in Italy	lat	Augusta Praetōria	f
eng	Aosta	Proper noun	tr	city in Italy	lat	Augusta Praetōria Salassōrum	f
eng	Aosta	Proper noun	tr	city in Italy	nap	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	pms	Osta	f
eng	Aosta	Proper noun	tr	city in Italy	pol	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	por	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	ron	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	rus	Ао́ста	f
eng	Aosta	Proper noun	tr	city in Italy	slv	Aosta	f
eng	Aosta	Proper noun	tr	city in Italy	tat	Аоста
eng	Aosta	Proper noun	tr	city in Italy	ukr	Ао́ста	f
eng	Aosta	Proper noun	tr	city in Italy	urd	آئوستا
eng	Aosta	Proper noun	tr	city in Italy	vec	Aosta	f
