	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Awadhi	Proper noun	tr	Awadhi language	awa	अवधी	f	sc=Deva
eng	Awadhi	Proper noun	tr	Awadhi language	fin	awadhi
eng	Awadhi	Proper noun	tr	Awadhi language	fra	awadhi
eng	Awadhi	Proper noun	tr	Awadhi language	gle	Avaidis	f
eng	Awadhi	Proper noun	tr	Awadhi language	hin	अवधी	f
eng	Awadhi	Proper noun	tr	Awadhi language	jpn	アワディー語	tr=Awadī-go
eng	Awadhi	Proper noun	tr	Awadhi language	mar	अवधी	f
eng	Awadhi	Proper noun	tr	Awadhi language	swe	awadhi	c
eng	Awadhi	Proper noun	tr	Awadhi language	tam	அவதி
eng	Awadhi	Proper noun	tr	Awadhi language	tha	ภาษาอวธี	tr=paasăa awátee
eng	Awadhi	Proper noun	tr	Awadhi language	urd	اودھی	f	tr=avadhī
eng	Awat	Proper noun	tr	locations in Xinjiang	cmn	阿瓦提	tr=Āwǎtí
eng	Awat	Proper noun	tr	locations in Xinjiang	uig	ئاۋات	sc=ug-Arab
eng	Aweil	Proper noun	tr	South Sudanese city	din	Aweil
