	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Azad Jammu and Kashmir	Proper noun	tr	part of Jammu and Kashmir which is controlled by Pakistan	hin	आज़ाद जम्मू और कश्मीर	m
eng	Azad Kashmir	Proper noun	tr	part of Kashmir which is controlled by Pakistan	hin	आज़ाद कश्मीर
eng	Azad Kashmir	Proper noun	tr	part of Kashmir which is controlled by Pakistan	urd	آزاد کشمیر	tr=āzād kaśmīr
eng	Azawad	Proper noun	tr	an unrecognised state	fra	Azaouad
eng	Azawad	Proper noun	tr	an unrecognised state	hye	Ազավադ	sc=Armn
eng	Azawad	Proper noun	tr	an unrecognised state	ita	Azauad
eng	Azawad	Proper noun	tr	an unrecognised state	jpn	アザワド	tr=Azawado	sc=Jpan
eng	Azawad	Proper noun	tr	an unrecognised state	por	Azawad	m	f
eng	Azawad	Proper noun	tr	an unrecognised state	rus	Азава́д	m
eng	Azawad	Proper noun	tr	an unrecognised state	spa	Azauad
eng	Azawad	Proper noun	tr	an unrecognised state	tgl	Аzawad
eng	Azawakh	Noun	tr	Azawakh	fra	azawakh
eng	Azawakh	Noun	tr	Azawakh	msa	Azawakh
eng	Azazel	Proper noun	tr	a fallen angel	ara	عَزَازِيل	m
eng	Azazel	Proper noun	tr	a fallen angel	deu	Asasel
eng	Azazel	Proper noun	tr	a fallen angel	hin	अजाजील	m
eng	Azazel	Proper noun	tr	a fallen angel	por	Azazel	m
eng	Azazel	Proper noun	tr	a fallen angel	rus	Азазель	m
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ara	أَذَرْبَيْجَانِيّ
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ara	أَزِيرِيّ
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	aze	azərbaycan
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	aze	azərbaycanlı
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	bak	әзербайжан
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	bel	азербайджа́нскі	sc=Cyrl
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ben	আজারবাইজানি
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ben	আজেরি
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	bul	азербайджа́нски
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	cat	azerbaidjanès
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ces	ázerbájdžánský
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	ckb	ئازەربایجانی
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	cmn	阿塞拜疆	tr=Āsàibàijiāng de	alt=阿塞拜疆的
eng	Azerbaijani	Adjective	tr	pertaining to Azerbaijan	dan	aserbajdsjansk
