	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	b.	Adjective	tr	born	dan	f.
eng	b.	Adjective	tr	born	deu	geb.
eng	b.	Adjective	tr	born	ell	γενν.	sc=Grek
eng	b.	Adjective	tr	born	fao	f.
eng	b.	Adjective	tr	born	hun	szül.
eng	b.	Adjective	tr	born	kal	in.
eng	b.	Adjective	tr	born	pol	ur.
eng	b.	Adjective	tr	born	spa	n.
eng	B.Eng.	Noun	tr	Bachelor of Engineering	afr	B.Ing.
mul	B.1.1.248	Proper noun	tr		eng	B.1.1.248 lineage
mul	B.1.1.248	Proper noun	tr		eng	lineage B.1.1.248
mul	B.1.1.28.1	Proper noun	tr		eng	B.1.1.28.1 lineage
mul	B.1.1.28.1	Proper noun	tr		eng	Brazilian variant
mul	B.1.1.28.1	Proper noun	tr		eng	Brazil variant
mul	B.1.1.28.1	Proper noun	tr		eng	lineage B.1.1.28.1
mul	B.1.1.28.1	Proper noun	tr		eng	variant of concern 202101/02
mul	B.1.1.28.1	Proper noun	tr		eng	variant of concern 21JAN-02
mul	B.1.1.28	Proper noun	tr		eng	B.1.1.28 lineage
mul	B.1.1.28	Proper noun	tr		eng	lineage B.1.1.28
mul	B.1.1.7	Proper noun	tr		eng	501.V1 variant
mul	B.1.1.7	Proper noun	tr		eng	B.1.1.7 lineage
mul	B.1.1.7	Proper noun	tr		eng	British variant
mul	B.1.1.7	Proper noun	tr		eng	Kent variant
mul	B.1.1.7	Proper noun	tr		eng	lineage B.1.1.7
mul	B.1.1.7	Proper noun	tr		eng	UK variant
mul	B.1.1.7	Proper noun	tr		eng	variant 501.V1
mul	B.1.1.7	Proper noun	tr		eng	variant of concern 202012/01
mul	B.1.1.7	Proper noun	tr		eng	variant of concern 20DEC-01
mul	B.1.1.7	Proper noun	tr		eng	variant under investigation 202012/01
mul	B.1.351	Proper noun	tr		eng	501.V2 variant
mul	B.1.351	Proper noun	tr		eng	B.1.351 lineage
mul	B.1.351	Proper noun	tr		eng	lineage B.1.351
mul	B.1.351	Proper noun	tr		eng	South African variant
mul	B.1.351	Proper noun	tr		eng	South Africa variant
mul	B.1.351	Proper noun	tr		eng	variant 501.V2
mul	B.1.351	Proper noun	tr		eng	variant of concern 202012/02
mul	B.1.351	Proper noun	tr		eng	variant of concern 20DEC-02
mul	B.1.617.2	Proper noun	tr		eng	delta variant
mul	B.1.617.2	Proper noun	tr		eng	Delta variant
mul	B.1.617.2	Proper noun	tr		eng	double mutant variant
mul	B.1.617.2	Proper noun	tr		eng	double mutation variant
mul	B.1.617.2	Proper noun	tr		eng	Indian variant
mul	B.1.617.2	Proper noun	tr		eng	India variant
mul	B.1.617	Proper noun	tr		eng	double mutant variant
mul	B.1.617	Proper noun	tr		eng	double mutation variant
mul	B.1.617	Proper noun	tr		eng	Indian variant
mul	B.1.617	Proper noun	tr		eng	India variant
