	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	ara	بِي بِي سِي	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	bul	Би Би Си́
eng	BBC	Proper noun	tr	British Broadcasting Corporation	ces	BBC	n
eng	BBC	Proper noun	tr	British Broadcasting Corporation	dan	BBC
eng	BBC	Proper noun	tr	British Broadcasting Corporation	deu	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	ell	Μπι Μπι Σι
eng	BBC	Proper noun	tr	British Broadcasting Corporation	fas	بی‌بی‌سی	tr=bi-bi-si
eng	BBC	Proper noun	tr	British Broadcasting Corporation	fin	BBC
eng	BBC	Proper noun	tr	British Broadcasting Corporation	fra	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	hbs	BBC	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	hbs	Bi-bi-si	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	hbs	Би-би-си	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	hin	बीबीसी
eng	BBC	Proper noun	tr	British Broadcasting Corporation	hun	BBC
eng	BBC	Proper noun	tr	British Broadcasting Corporation	ita	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	jpn	ビー・ビー・シー	tr=Bī-Bī-Shī
eng	BBC	Proper noun	tr	British Broadcasting Corporation	khm	ប៊ីប៊ីស៊ី	tr=bii bii sii	sc=Khmr
eng	BBC	Proper noun	tr	British Broadcasting Corporation	kor	^비비시
eng	BBC	Proper noun	tr	British Broadcasting Corporation	mkd	Би́-би-си	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	nld	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	nob	BBC	n
eng	BBC	Proper noun	tr	British Broadcasting Corporation	pol	BBC	n
eng	BBC	Proper noun	tr	British Broadcasting Corporation	por	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	ron	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	rus	Би-би-си́	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	slk	BBC	n
eng	BBC	Proper noun	tr	British Broadcasting Corporation	slv	BBC	m
eng	BBC	Proper noun	tr	British Broadcasting Corporation	spa	BBC	f
eng	BBC	Proper noun	tr	British Broadcasting Corporation	swe	BBC
eng	BBC	Proper noun	tr	British Broadcasting Corporation	tha	บีบีซี	tr=bee-bee-see
eng	BBC	Proper noun	tr	British Broadcasting Corporation	tur	BBC
eng	BB cream	Noun	tr	facial cosmetic product	cmn	BB霜	tr=BB shuāng
eng	BB cream	Noun	tr	facial cosmetic product	deu	BB Cream	f
eng	BB cream	Noun	tr	facial cosmetic product	fin	BB-voide
eng	BB cream	Noun	tr	facial cosmetic product	tur	BB krem
eng	BB	Phrase	tr	best before	fra	MA
eng	BBS	Noun	tr	bulletin board system	cmn	揭示板	tr=jiēshìbǎn	sc=Hani
eng	BBS	Noun	tr	bulletin board system	cmn	論壇	sc=Hani
eng	BBS	Noun	tr	bulletin board system	cmn	论坛	tr=lùntán	sc=Hani
eng	BBS	Noun	tr	bulletin board system	deu	Mailbox	f
eng	BBS	Noun	tr	bulletin board system	fin	purkki
eng	BBS	Noun	tr	bulletin board system	fra	SBE	m
eng	BBS	Noun	tr	bulletin board system	fra	Systeme Babillard Electronique	m
eng	BBS	Noun	tr	bulletin board system	jpn	掲示板	tr=けいじばん, keijiban
eng	BBS	Noun	tr	bulletin board system	pol	BBS	m
eng	BBS	Noun	tr	bulletin board system	rus	ЭДО	f
eng	BBS	Noun	tr	bulletin board system	rus	электро́нная доска́ объявле́ний	f
