	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	bdellium	Noun	tr	aromatic gum	grc	βδέλλιον	n
eng	bdellium	Noun	tr	aromatic gum	grc	μάλδακον	n
eng	bdellium	Noun	tr	aromatic gum	mri	teriuma
eng	bdellium	Noun	tr	aromatic gum	tgl	bedelyo
eng	bdelloid	Adjective	tr		fra	bdelloïde
eng	bdelloid	Noun	tr		fra	bdelloïde	m
eng	BDSM	Noun	tr	sexual practice	ben	বিডিএসএম	tr=bi-ḑi-es-em	sc=Beng
eng	BDSM	Noun	tr	sexual practice	dan	BDSM
eng	BDSM	Noun	tr	sexual practice	deu	BDSM
eng	BDSM	Noun	tr	sexual practice	fin	BDSM
eng	BDSM	Noun	tr	sexual practice	fra	BDSM	m
eng	BDSM	Noun	tr	sexual practice	hye	ԲԴՍՄ	sc=Armn
eng	BDSM	Noun	tr	sexual practice	kat	ბდსმ
eng	BDSM	Noun	tr	sexual practice	swe	BDSM
eng	BDSM	Noun	tr	sexual practice	tur	BDSM
