	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	BMI	Noun	tr	body mass index	deu	KMI	m
eng	BMI	Noun	tr	body mass index	deu	KMZ	f
eng	BMI	Noun	tr	body mass index	ell	ΔΣΒ
eng	BMI	Noun	tr	body mass index	fra	IMC	m
eng	BMI	Noun	tr	body mass index	rus	ИМТ	m
eng	BMI	Noun	tr	body mass index	spa	IMC	m
eng	BMI	Noun	tr	body mass index	swe	BMI	n
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	ara	بِي إِم دَابُلْيُو	m	tr=bī ʾem dābulyū
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	ara	بِي إِم دَبُلْيُو	m	tr=bī ʾem dabulyū
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	cmn	宝马	tr=Bǎomǎ	sc=Hani	lit=treasure horse
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	cmn	寶馬	sc=Hani
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	deu	BMW	f
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	ell	Μπε-Εμ-Βε
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	est	bemari
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	est	bemm
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	fas	بموه	tr=bemveh
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	fra	BMW
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	jpn	ビー・エム・ダブリュー	tr=bī-emu-daburyū
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	kat	ბეემვე
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	kat	ბიემდაბლიუ
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	kor	베엠베	tr=be-em-be
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	nan	米奶	tr=Bí-leng
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	rus	Бэ-Эм-Вэ́	m	f
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	yue	宝马	tr=bou2 maa5
eng	BMW	Proper noun	tr	"colloquial names and pronunciations, apart from the romanised ""BMW"""	yue	寶馬
eng	BMX bike	Noun	tr	sport bicycle	cmn	小輪車
eng	BMX bike	Noun	tr	sport bicycle	cmn	小轮车	tr=xiǎolúnchē
eng	BMX bike	Noun	tr	sport bicycle	deu	BMX-Fahrrad	n
eng	BMX bike	Noun	tr	sport bicycle	deu	BMX-Rad	n
eng	BMX bike	Noun	tr	sport bicycle	fin	BMX-poikupyörä
