	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	bzz	Interjection	tr	buzzing sound	fin	surr
eng	bzz	Interjection	tr	buzzing sound	rus	ж-ж-ж
eng	bzzt	Interjection	tr	wrong answer!	jpn	ブー	tr=bū
eng	bzzt	Interjection	tr	wrong answer!	jpn	ブッブー	tr=bubbū
eng	bzzt	Interjection	tr	wrong answer!	kor	땡
eng	bzz	Verb	tr	to fatigue someone by saying too much	rus	все уши прожужжал	pf
eng	bzz	Verb	tr	to fatigue someone by saying too much	rus	прожужжать все уши
eng	bzz	Verb	tr	to make buzzing sound	rus	жужжать	impf
eng	bzz	Verb	tr	to make buzzing sound	rus	прожужжать	pf
eng	bzz	Verb	tr	to say something against something or someone; to do something unusual	rus	бзыкать	impf
eng	bzz	Verb	tr	to say something against something or someone; to do something unusual	rus	зыкать	impf
eng	bzz	Verb	tr	to say something against something or someone; to do something unusual	rus	пробзыкать	pf
eng	bzz	Verb	tr	to say something	rus	жужжать
