	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Black and Tan	Noun	tr	member of the RIC British irregular army group	gle	Dúchrónach	m
eng	Blackbeard	Proper noun	tr	pirate's name	cmn	黑胡子	tr=Hēi Húzi	sc=Hani
eng	Blackbeard	Proper noun	tr	pirate's name	cmn	黑鬍子	sc=Hani
eng	Blackbeard	Proper noun	tr	pirate's name	dan	Sortskæg
eng	Blackbeard	Proper noun	tr	pirate's name	deu	Blackbeard	m
eng	Blackbeard	Proper noun	tr	pirate's name	ell	Μαυρογένης	m
eng	Blackbeard	Proper noun	tr	pirate's name	epo	Nigrabarbo
eng	Blackbeard	Proper noun	tr	pirate's name	est	Musthabe
eng	Blackbeard	Proper noun	tr	pirate's name	fin	Mustaparta
eng	Blackbeard	Proper noun	tr	pirate's name	fra	Barbe Noire
eng	Blackbeard	Proper noun	tr	pirate's name	hun	Feketeszakáll
eng	Blackbeard	Proper noun	tr	pirate's name	ita	Barbanera
eng	Blackbeard	Proper noun	tr	pirate's name	jpn	黒髭	tr=くろひげ, Kurohige
eng	Blackbeard	Proper noun	tr	pirate's name	kor	^검은 ^수염
eng	Blackbeard	Proper noun	tr	pirate's name	pol	Czarnobrody	m
eng	Blackbeard	Proper noun	tr	pirate's name	por	Barba Negra	m
eng	Blackbeard	Proper noun	tr	pirate's name	rus	Чёрная Борода́	m
eng	Blackbeard	Proper noun	tr	pirate's name	spa	Barbanegra
eng	Blackbeard	Proper noun	tr	pirate's name	swe	Svartskägg
eng	BlackBerry	Noun	tr	device (transliterations)	ara	بْلَاك بِيرِي	m	tr=blak berī
eng	BlackBerry	Noun	tr	device (transliterations)	ara	بْلَاك بِيرِي	m	tr=blāk birī
eng	BlackBerry	Noun	tr	device (transliterations)	cmn	黑莓手机	tr=hēiméi shǒujī	sc=Hani
eng	BlackBerry	Noun	tr	device (transliterations)	cmn	黑莓手機	sc=Hani
eng	BlackBerry	Noun	tr	device (transliterations)	ell	Μπλάκ-μπερη	sc=Grek
eng	BlackBerry	Noun	tr	device (transliterations)	fas	بلک‌بری	tr=blak-beri	sc=fa-Arab
eng	BlackBerry	Noun	tr	device (transliterations)	heb	בלקברי	m	tr=blaqberi	sc=Hebr
eng	BlackBerry	Noun	tr	device (transliterations)	jpn	ブラックベリー	tr=burakkuberī	sc=Jpan
eng	BlackBerry	Noun	tr	device (transliterations)	kor	블랙베리	sc=Kore
eng	BlackBerry	Noun	tr	device (transliterations)	mar	ब्लॅक्बेरी
eng	BlackBerry	Noun	tr	device (transliterations)	rus	Блэ́кберри	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	ara	مَوْت أَسْوَد	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	bre	bosenn zu	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	bul	черна смърт	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	cat	pesta negra	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	cmn	黑死病	tr=hēisǐbìng	sc=Hani
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	cym	haint y nodau	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	cym	pla du	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	dan	den sorte død
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	deu	Beulenpest	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	deu	schwarzer Tod	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	ell	Μαύρη Πανώλη	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	epo	nigra morto
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	est	must surm
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	fao	svartideyði	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	fin	musta surma
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	fra	peste noire	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	gla	Bàs Dubh	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	hbs	crna smrt	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	hbs	doba kuge
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	hbs	доба куге	sc=Cyrl
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	hbs	црна смрт	f	sc=Cyrl
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	heb	המוות השחור	sc=Hebr
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	ind	Kematian Hitam
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	isl	svarti dauði	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	ita	peste nera	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	jpn	黒死病	tr=こくしびょう, kokushibyō	sc=Jpan
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	kor	흑사병
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	kor	黑死病	sc=Hani
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	lav	melnā nāve
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	lit	juodoji mirtis
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	nap	pésta	f
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	nds	swart Dood	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	nld	Zwarte Dood	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	nno	svartedauden	m
eng	Black Death	Proper noun	tr	14th century pandemic outbreak	nob	svartedauden	m
