	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Byblian	Adjective	tr		fra	byblien
eng	Byblos	Proper noun	tr	port city in Lebanon	amh	ጌባል	sc=Ethi
eng	Byblos	Proper noun	tr	port city in Lebanon	ara	جُبَيْل
eng	Byblos	Proper noun	tr	port city in Lebanon	bel	Бібл	sc=Cyrl
eng	Byblos	Proper noun	tr	port city in Lebanon	bul	Библос	sc=Cyrl
eng	Byblos	Proper noun	tr	port city in Lebanon	cat	Biblos
eng	Byblos	Proper noun	tr	port city in Lebanon	ces	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	cym	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	dan	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	deu	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	ell	Βύβλος	sc=Grek
eng	Byblos	Proper noun	tr	port city in Lebanon	eus	Biblos
eng	Byblos	Proper noun	tr	port city in Lebanon	fin	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	fra	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	glg	Biblos
eng	Byblos	Proper noun	tr	port city in Lebanon	grc	Βύβλος	sc=polytonic
eng	Byblos	Proper noun	tr	port city in Lebanon	haw	Kepala
eng	Byblos	Proper noun	tr	port city in Lebanon	hbs	Biblos	sc=Cyrl
eng	Byblos	Proper noun	tr	port city in Lebanon	hbs	Библос	sc=Cyrl
eng	Byblos	Proper noun	tr	port city in Lebanon	heb	גְּבָל	f	tr=gval
eng	Byblos	Proper noun	tr	port city in Lebanon	hun	Büblosz
eng	Byblos	Proper noun	tr	port city in Lebanon	hye	Բիբլոս
eng	Byblos	Proper noun	tr	port city in Lebanon	hye	Ջիբեյլ
eng	Byblos	Proper noun	tr	port city in Lebanon	ind	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	ita	Biblo
eng	Byblos	Proper noun	tr	port city in Lebanon	kat	ბიბლოსი
eng	Byblos	Proper noun	tr	port city in Lebanon	lat	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	lat	Byblus
eng	Byblos	Proper noun	tr	port city in Lebanon	lit	Biblas
eng	Byblos	Proper noun	tr	port city in Lebanon	nld	Byblos
eng	Byblos	Proper noun	tr	port city in Lebanon	phn	𐤂𐤁𐤋	ts=Gebal	sc=Phnx
eng	Byblos	Proper noun	tr	port city in Lebanon	pol	Byblos
