	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	bête noire	Noun	tr	an anathema	cat	bèstia negra	f
eng	bête noire	Noun	tr	an anathema	dan	banemand
eng	bête noire	Noun	tr	an anathema	eus	piztia beltza
eng	bête noire	Noun	tr	an anathema	fas	ادم مزاحم و غیر قابل تحمل
eng	bête noire	Noun	tr	an anathema	fas	موی دماغ
eng	bête noire	Noun	tr	an anathema	fin	inhokki
eng	bête noire	Noun	tr	an anathema	fra	bête noire	f
eng	bête noire	Noun	tr	an anathema	glg	besta negra	f
eng	bête noire	Noun	tr	an anathema	glv	ard-ghwoaieid	f
eng	bête noire	Noun	tr	an anathema	heb	כבשה שחורה	m	f	tr=Kivsá Shxorá
eng	bête noire	Noun	tr	an anathema	pol	czarny lud	m-an
eng	bête noire	Noun	tr	an anathema	por	besta negra	f
eng	bête noire	Noun	tr	an anathema	rus	жу́пел	m
eng	bête noire	Noun	tr	an anathema	spa	bestia negra	f
eng	bête noire	Noun	tr	an anathema	swe	avsky	c
eng	bête noire	Noun	tr	an anathema	swe	fasa	c
eng	bête noire	Noun	tr	an anathema	swe	vildsvin	n
eng	bête noire	Noun	tr	an anathema	tur	can düşmanı	s
