	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Będzin	Proper noun	tr	the lake Będzin	pol	Będzin	m
eng	Będzin	Proper noun	tr	the lake Będzin	szl	Byndźin	m
eng	Będzin	Proper noun	tr	the town Będzin	deu	Bendzin	?
eng	Będzin	Proper noun	tr	the town Będzin	pol	Będzin	m
eng	Będzin	Proper noun	tr	the town Będzin	rus	Бендзин	m
eng	Będzin	Proper noun	tr	the town Będzin	szl	Byndźin	m
eng	Będzin	Proper noun	tr	the town Będzin	yid	בענדין	?
eng	Będzin	Proper noun	tr	the village Będzin	deu	Louisenhöhe	f
eng	Będzin	Proper noun	tr	the village Będzin	pol	Będzin	m
eng	Będzin	Proper noun	tr	the village Będzin	szl	Byndźin	m
