	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	crabapple	Noun	tr	fruit	bul	киселица	f
eng	crabapple	Noun	tr	fruit	cmn	野苹果	tr=yěpíngguǒ	sc=Hani
eng	crabapple	Noun	tr	fruit	cmn	野蘋果	sc=Hani
eng	crabapple	Noun	tr	fruit	cor	aval goodh	m
eng	crabapple	Noun	tr	fruit	cym	afal bach sur	m
eng	crabapple	Noun	tr	fruit	cym	crabysyn	m
eng	crabapple	Noun	tr	fruit	cym	grobosyn	m
eng	crabapple	Noun	tr	fruit	deu	Holzapfel	m
eng	crabapple	Noun	tr	fruit	fin	villiomena
eng	crabapple	Noun	tr	fruit	gla	fiadh-ubhal	m
eng	crabapple	Noun	tr	fruit	gle	fia-úll	m
eng	crabapple	Noun	tr	fruit	gle	goirteog	f
eng	crabapple	Noun	tr	fruit	gle	úll fiáin	m
eng	crabapple	Noun	tr	fruit	glg	mazá brava	f
eng	crabapple	Noun	tr	fruit	glv	gartag	f
eng	crabapple	Noun	tr	fruit	glv	ooyl feie	f
eng	crabapple	Noun	tr	fruit	kat	მაჟალო	sc=Geor
eng	crabapple	Noun	tr	fruit	pdt	Paradiessaupel	m
eng	crabapple	Noun	tr	fruit	por	maçã silvestre	f
eng	crabapple	Noun	tr	fruit	rus	ди́кое я́блоко	n
eng	crabapple	Noun	tr	fruit	spa	manzana silvestre	f
eng	crabapple	Noun	tr	fruit	tgl	alimangong mansanas
eng	crabapple	Noun	tr	tree	bul	дива ябълка	f
eng	crabapple	Noun	tr	tree	chy	náhkôhemenó'e
eng	crabapple	Noun	tr	tree	cmn	海棠
eng	crabapple	Noun	tr	tree	cmn	野苹果	tr=yěpíngguǒ	sc=Hani
eng	crabapple	Noun	tr	tree	cmn	野蘋果	sc=Hani
eng	crabapple	Noun	tr	tree	cor	gwedhen krabbys
eng	crabapple	Noun	tr	tree	cym	coeden afal bach sur	f
eng	crabapple	Noun	tr	tree	deu	Holzapfel	m
eng	crabapple	Noun	tr	tree	eus	sagarmin
eng	crabapple	Noun	tr	tree	fao	apaldur	m
eng	crabapple	Noun	tr	tree	fin	villiomenapuu
eng	crabapple	Noun	tr	tree	gla	fiadh-ubhal	m
eng	crabapple	Noun	tr	tree	gle	crann fia-úll	m
eng	crabapple	Noun	tr	tree	glg	maceira brava	f
eng	crabapple	Noun	tr	tree	kat	მაჟალო	sc=Geor
eng	crabapple	Noun	tr	tree	lav	mežābele	f
eng	crabapple	Noun	tr	tree	por	macieira silvestre	f
eng	crabapple	Noun	tr	tree	rus	дикая я́блоня
eng	crabapple	Noun	tr	tree	spa	manzano silvestre	m
eng	crabapple	Noun	tr	tree	swe	vildapel	n
eng	crabapple	Noun	tr	unpleasant person	cmn	乖戾的人	tr=guāilì de rén
eng	crabapple	Noun	tr	unpleasant person	fin	hapannaama
eng	crabapple	Noun	tr	unpleasant person	rus	отморо́зок	m
eng	crabapple	Noun	tr	unpleasant person	swe	surkart	n
eng	crabbed	Adjective	tr	bad-tempered or cantankerous	bul	раздразнителен
eng	crabbed	Adjective	tr	bad-tempered or cantankerous	bul	свадлив
eng	crabbed	Adjective	tr	''(of handwriting)'' crowded together and difficult to read	bul	неразбираем	sc=Cyrl
eng	crabbed	Adjective	tr	''(of handwriting)'' crowded together and difficult to read	bul	нечетлив	sc=Cyrl
eng	crabbed	Adjective	tr	''(of handwriting)'' crowded together and difficult to read	rus	неразбо́рчивый	sc=Cyrl
eng	crabber	Noun	tr	a boat used for catching crabs	fin	ravunpyyntialus
eng	crabber	Noun	tr	a boat used for catching crabs	fin	ravustusalus
eng	crabber	Noun	tr	a boat used for catching crabs	rus	краболо́в	m
