	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	CVA	Noun	tr		fin	AVH
eng	CVA	Noun	tr		fra	AVC	m
eng	CV	Noun	tr	aircraft carrier	fra	PA
eng	CV	Noun	tr	curriculum vitae	cat	cv	m
eng	CV	Noun	tr	curriculum vitae	ces	sívíčko	n
eng	CV	Noun	tr	curriculum vitae	ell	ΒΣ	n
eng	CV	Noun	tr	curriculum vitae	fin	ansioluettelo
eng	CV	Noun	tr	curriculum vitae	fin	CV
eng	CV	Noun	tr	curriculum vitae	fra	CV	m
eng	CV	Noun	tr	curriculum vitae	pol	CV	n
eng	CV	Noun	tr	curriculum vitae	spa	cv	m
eng	CV	Noun	tr	curriculum vitae	swe	cv	c	n
