	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	acw	تشيكي	tr=tšīkī	sc=Arab
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ara	تْشِيكِيّ
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	arz	تشيكي	tr=tšīkī	sc=Arab
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	aze	çex
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	bel	чэ́скі
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	bel	чэ́шскі	sc=Cyrl
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ben	চেক
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	bul	че́шки
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	cat	txec
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ces	český
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	cmn	捷克	tr=jiékè	sc=Hani
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	cor	chek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	csb	czesczi
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	cym	Tsiecaidd
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	dan	tjekkisk
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	deu	böhmisch
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	deu	tschechisch
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	dsb	česki
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ell	τσέχικος
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	epo	ĉeĥa
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	est	tšehhi
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	eus	txekiar
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fao	kekskur
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fas	چک	tr=ček
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fas	چکی	tr=čeki
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fin	tšekki
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fin	tšekkiläinen
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	fra	tchèque
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	gla	Seiceach
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	gle	Seiceach
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	glg	checo
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	glv	Sheckagh
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hbs	čȅškī
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hbs	че̏шкӣ	sc=Cyrl
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	heb	צ׳כי	tr=chekhi
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hin	चेक
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hun	cseh
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hye	չեխ
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	hye	չեխական
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	isl	tékkneskur
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ita	ceco
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	jpn	チェコ	tr=cheko
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kam	Chek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kat	ჩეხური
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kaz	чех
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	khm	ឆែក
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kir	чех
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kln	Chek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	kor	체코
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	lat	bohemicus
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	lav	čehisks
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	lav	čehu
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	lit	čekiškas
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	lit	čekų
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	luy	Chek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	mer	Chek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	mkd	чешки
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	mlt	Ċek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	mon	чех
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	msa	Czech
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	mya	ချက်
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	nld	Tsjechisch
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	nno	tsjekkisk
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	nob	tsjekkisk
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	orv	чешьскъ
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	pol	czeski
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	por	tcheco
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	pus	چکي	tr=čekí
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ron	ceh
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	rue	че́ськый
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	rus	че́шский
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	sin	චෙක්
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	slk	český
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	slv	čéški
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	spa	checo
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	sqi	çek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	swa	Kicheki
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	swe	tjeckisk
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tat	чех
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tgk	чехӣ
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tgl	Tseko
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tha	เช็ก
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tuk	çeh
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	tur	Çek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	uig	چېخ
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	ukr	че́ський
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	urd	چیک	tr=cek
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	uzb	chex
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	vie	Séc
eng	Czech	Adjective	tr	of, from, or pertaining to the country, people, culture or language	yid	טשעכיש
eng	Czech hedgehog	Noun	tr	antitank obstacle	dan	panserkryds	n
eng	Czech hedgehog	Noun	tr	antitank obstacle	dan	spansk rytter	c
eng	Czech hedgehog	Noun	tr	antitank obstacle	dan	tjekkisk pindsvin	n
eng	Czech hedgehog	Noun	tr	antitank obstacle	deu	Tschechenigel
eng	Czech hedgehog	Noun	tr	antitank obstacle	fin	tšekkiläinen siili
eng	Czech hedgehog	Noun	tr	antitank obstacle	fra	hérisson tchèque	m
eng	Czech hedgehog	Noun	tr	antitank obstacle	ita	riccio ceco	m
eng	Czech hedgehog	Noun	tr	antitank obstacle	rus	противота́нковый ёж	m
eng	Czech hedgehog	Noun	tr	antitank obstacle	spa	erizo checo	m
eng	Czechia	Proper noun	tr	country in Europe	abk	Чехиа
eng	Czechia	Proper noun	tr	country in Europe	afr	Tsjeggië
eng	Czechia	Proper noun	tr	country in Europe	amh	ቼክ
eng	Czechia	Proper noun	tr	country in Europe	ara	التّْشِيك	f
eng	Czechia	Proper noun	tr	country in Europe	ara	تْشِيسْكُو	f
eng	Czechia	Proper noun	tr	country in Europe	ara	تْشِيكِيَّا	f
eng	Czechia	Proper noun	tr	country in Europe	ast	Chequia	f
eng	Czechia	Proper noun	tr	country in Europe	aze	Çexiya
eng	Czechia	Proper noun	tr	country in Europe	bak	Чехия
eng	Czechia	Proper noun	tr	country in Europe	bar	Tschechei	f
eng	Czechia	Proper noun	tr	country in Europe	bel	Чэ́хія	f
eng	Czechia	Proper noun	tr	country in Europe	bod	ཅེ་ཁེ།
eng	Czechia	Proper noun	tr	country in Europe	bre	Tchekia
eng	Czechia	Proper noun	tr	country in Europe	bul	Че́хия	f
eng	Czechia	Proper noun	tr	country in Europe	cat	Txèquia	f
eng	Czechia	Proper noun	tr	country in Europe	ces	Česko	n
eng	Czechia	Proper noun	tr	country in Europe	che	Чехи
eng	Czechia	Proper noun	tr	country in Europe	cmn	捷克	tr=Jiékè
eng	Czechia	Proper noun	tr	country in Europe	crh	Çehiya
eng	Czechia	Proper noun	tr	country in Europe	csb	Czeskô	n
eng	Czechia	Proper noun	tr	country in Europe	dan	Tjekkiet	n
eng	Czechia	Proper noun	tr	country in Europe	deu	Tschechei	f
eng	Czechia	Proper noun	tr	country in Europe	deu	Tschechien	n
eng	Czechia	Proper noun	tr	country in Europe	div	ޗެކް
eng	Czechia	Proper noun	tr	country in Europe	dsb	Česka	f
eng	Czechia	Proper noun	tr	country in Europe	ell	Τσεχία	f
eng	Czechia	Proper noun	tr	country in Europe	epo	Ĉeĥio
eng	Czechia	Proper noun	tr	country in Europe	epo	Ĉeĥujo
eng	Czechia	Proper noun	tr	country in Europe	est	Tšehhi
eng	Czechia	Proper noun	tr	country in Europe	est	Tšehhimaa
eng	Czechia	Proper noun	tr	country in Europe	fao	Kekkia	n
eng	Czechia	Proper noun	tr	country in Europe	fas	چک	tr=ček
eng	Czechia	Proper noun	tr	country in Europe	fin	Tšekinmaa
eng	Czechia	Proper noun	tr	country in Europe	fin	Tšekki
eng	Czechia	Proper noun	tr	country in Europe	fra	Tchéquie	f
eng	Czechia	Proper noun	tr	country in Europe	fry	Tsjechje
eng	Czechia	Proper noun	tr	country in Europe	gle	Seic	f	alt=an tSeic
eng	Czechia	Proper noun	tr	country in Europe	glg	Chequia	f
eng	Czechia	Proper noun	tr	country in Europe	hau	Kazech
eng	Czechia	Proper noun	tr	country in Europe	haw	Tiekia
eng	Czechia	Proper noun	tr	country in Europe	hbs	Čȅškā	f
