	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	ell	Σεαρά	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	fra	Ceará	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	glg	Ceará	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	ita	Ceará	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	lat	Siara	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	lav	Seara	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	lit	Seara	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	pol	Ceará	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	por	Ceará	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	ron	Ceará	f
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	spa	Ceará	m
eng	Ceará	Proper noun	tr	state in north-eastern Brazil	uzb	Seara
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	cat	cebuà
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	ceb	Sugboanon
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	cmn	宿雾语	tr=Sùwù yǔ
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	cmn	宿霧語
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	fin	cebuanonkielinen
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	fra	cébouano
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	hun	szebuano
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	msa	Cebuano
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	nan	宿雾话	tr=Sok-bū ōe
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	nan	宿霧話
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	por	cebuana	f
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	por	cebuano	m
eng	Cebuano	Adjective	tr	pertaining to the language or its speakers	spa	cebuano
eng	Cebuano	Noun	tr	language	bcl	Cebuano
eng	Cebuano	Noun	tr	language	cat	cebuà	m
eng	Cebuano	Noun	tr	language	ceb	Sinugboanon
eng	Cebuano	Noun	tr	language	cmn	宿雾语	tr=Sùwù yǔ
eng	Cebuano	Noun	tr	language	cmn	宿霧語
eng	Cebuano	Noun	tr	language	deu	Cebuano
eng	Cebuano	Noun	tr	language	fin	cebuano
eng	Cebuano	Noun	tr	language	fra	cébouano	m
eng	Cebuano	Noun	tr	language	fra	cebuano
eng	Cebuano	Noun	tr	language	fra	visayan
eng	Cebuano	Noun	tr	language	hun	szebuano
eng	Cebuano	Noun	tr	language	ilo	Cebuano
eng	Cebuano	Noun	tr	language	ind	bahasa Cebú
eng	Cebuano	Noun	tr	language	isl	Sebúanó
eng	Cebuano	Noun	tr	language	jpn	セブアノ語	tr=Sebuano-go
eng	Cebuano	Noun	tr	language	kat	სებუანური
eng	Cebuano	Noun	tr	language	kat	სებუანური ენა
eng	Cebuano	Noun	tr	language	kor	^세부아노어
eng	Cebuano	Noun	tr	language	lim	Seboewisj	n
eng	Cebuano	Noun	tr	language	msa	bahasa Cebuano
eng	Cebuano	Noun	tr	language	nan	宿雾话	tr=Sok-bū ōe
eng	Cebuano	Noun	tr	language	nan	宿霧話
eng	Cebuano	Noun	tr	language	nld	Cebuano	n
eng	Cebuano	Noun	tr	language	por	cebuano	m
eng	Cebuano	Noun	tr	language	rus	себуа́но	m
eng	Cebuano	Noun	tr	language	rus	себуа́нский	m
eng	Cebuano	Noun	tr	language	spa	cebuano	m
eng	Cebuano	Noun	tr	language	tgl	Cebuano
eng	Cebuano	Noun	tr	language	tur	Sabuan dili
eng	Cebu	Proper noun	tr	city in the Philippines, the capital of Cebu province	cmn	宿雾市	tr=Sùwù Shì	sc=Hani
eng	Cebu	Proper noun	tr	city in the Philippines, the capital of Cebu province	cmn	宿霧市	sc=Hani
eng	Cebu	Proper noun	tr	city in the Philippines, the capital of Cebu province	jpn	セブ市	tr=Sebu-shi
eng	Cebu	Proper noun	tr	city in the Philippines, the capital of Cebu province	rus	Себу́	m
eng	Cebu	Proper noun	tr	island in central Philippines	bcl	isla kan Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	cat	illa de Cebú
eng	Cebu	Proper noun	tr	island in central Philippines	ceb	pulo sa Sugbo
eng	Cebu	Proper noun	tr	island in central Philippines	cmn	宿雾岛	tr=Sùwù Dăo	sc=Hani
eng	Cebu	Proper noun	tr	island in central Philippines	cmn	宿霧島	sc=Hani
eng	Cebu	Proper noun	tr	island in central Philippines	deu	Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	deu	Zebu
eng	Cebu	Proper noun	tr	island in central Philippines	ilo	isla ti Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	ind	Pulau Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	jpn	セブ島	tr=sebu-tō
eng	Cebu	Proper noun	tr	island in central Philippines	kor	세부 섬	sc=Kore
eng	Cebu	Proper noun	tr	island in central Philippines	msa	pulau Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	por	Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	rus	Себу́	m
eng	Cebu	Proper noun	tr	island in central Philippines	spa	isla de Cebú
eng	Cebu	Proper noun	tr	island in central Philippines	tgl	isla ng Cebu
eng	Cebu	Proper noun	tr	island in central Philippines	tgl	pulo ng Cebu
eng	Cebu	Proper noun	tr	province in central Philippines	cmn	宿雾省	tr=Sùwù Shĕng	sc=Hani
eng	Cebu	Proper noun	tr	province in central Philippines	cmn	宿霧省	sc=Hani
eng	Cebu	Proper noun	tr	province in central Philippines	jpn	セブ州	tr=Sebu-shū
eng	Cebu	Proper noun	tr	province in central Philippines	rus	Себу́	f
eng	Cecilia	Proper noun	tr	female given name	bre	Aziliz	f
eng	Cecilia	Proper noun	tr	female given name	cat	Cecília	f
eng	Cecilia	Proper noun	tr	female given name	ces	Cecílie	f
eng	Cecilia	Proper noun	tr	female given name	dan	Cecilie	c
eng	Cecilia	Proper noun	tr	female given name	deu	Cäcilie	f
eng	Cecilia	Proper noun	tr	female given name	ell	Καικιλία	f
eng	Cecilia	Proper noun	tr	female given name	epo	Cecilia
eng	Cecilia	Proper noun	tr	female given name	est	Silja
eng	Cecilia	Proper noun	tr	female given name	fao	Silja	f
eng	Cecilia	Proper noun	tr	female given name	fin	Silja
eng	Cecilia	Proper noun	tr	female given name	fra	Cécile	f
eng	Cecilia	Proper noun	tr	female given name	gla	Sìleas	f
eng	Cecilia	Proper noun	tr	female given name	gla	Sìle	f
eng	Cecilia	Proper noun	tr	female given name	gle	Síle	f
eng	Cecilia	Proper noun	tr	female given name	gle	Sisile	f
eng	Cecilia	Proper noun	tr	female given name	glg	Icía	f
eng	Cecilia	Proper noun	tr	female given name	glv	Kial	f
eng	Cecilia	Proper noun	tr	female given name	glv	Kickle	f
eng	Cecilia	Proper noun	tr	female given name	glv	Sheelagh	f
eng	Cecilia	Proper noun	tr	female given name	haw	Kikilia
eng	Cecilia	Proper noun	tr	female given name	hun	Cecília
eng	Cecilia	Proper noun	tr	female given name	ita	Cecilia	f
eng	Cecilia	Proper noun	tr	female given name	lat	Caecilia	f
eng	Cecilia	Proper noun	tr	female given name	lat	Cæcilia	f
eng	Cecilia	Proper noun	tr	female given name	nno	Cecilie	f
eng	Cecilia	Proper noun	tr	female given name	nob	Cecilie	f
eng	Cecilia	Proper noun	tr	female given name	oci	Cecília	f
eng	Cecilia	Proper noun	tr	female given name	oci	Celha	f
eng	Cecilia	Proper noun	tr	female given name	oci	Ceselha	f
eng	Cecilia	Proper noun	tr	female given name	pol	Cecylia	f
eng	Cecilia	Proper noun	tr	female given name	por	Cecília	f
eng	Cecilia	Proper noun	tr	female given name	rue	Цеці́лія	f
eng	Cecilia	Proper noun	tr	female given name	rus	Сеси́лия	f
eng	Cecilia	Proper noun	tr	female given name	rus	Цеци́лия	f
eng	Cecilia	Proper noun	tr	female given name	slk	Cecília	f
eng	Cecilia	Proper noun	tr	female given name	spa	Cecilia	f
eng	Cecilia	Proper noun	tr	female given name	swe	Cecilia	c
eng	Cecil	Proper noun	tr	male given name	bel	Цэцылій	m
eng	Cecil	Proper noun	tr	male given name	eus	Zezilio
eng	Cecil	Proper noun	tr	male given name	ita	Cecilio	m
eng	Cecil	Proper noun	tr	male given name	lat	Caecilius	m
eng	Cecil	Proper noun	tr	male given name	pol	Cecyliusz	m
eng	Cecil	Proper noun	tr	male given name	por	Cecílio	m
eng	Cecil	Proper noun	tr	male given name	spa	Cecilio	m
