	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Córdoba	Proper noun	tr	city in Spain	acw	قُرْطُبَة	f	tr=gurṭuba
eng	Córdoba	Proper noun	tr	city in Spain	ara	قُرْطُبَة	f
eng	Córdoba	Proper noun	tr	city in Spain	cat	Còrdova	f
eng	Córdoba	Proper noun	tr	city in Spain	fra	Cordoue	f
eng	Córdoba	Proper noun	tr	city in Spain	haw	Kokowa
eng	Córdoba	Proper noun	tr	city in Spain	hin	कोर्डोबा	m
eng	Córdoba	Proper noun	tr	city in Spain	hye	Կորդովա
eng	Córdoba	Proper noun	tr	city in Spain	ita	Cordova
eng	Córdoba	Proper noun	tr	city in Spain	lat	Corduba	f
eng	Córdoba	Proper noun	tr	city in Spain	lav	Kordova	f
eng	Córdoba	Proper noun	tr	city in Spain	por	Córdova	f
eng	Córdoba	Proper noun	tr	city in Spain	rus	Ко́рдова	f
eng	Córdoba	Proper noun	tr	city in Spain	spa	Córdoba	f
eng	Córdoba	Proper noun	tr	city in Spain	tgl	Kordoba
