	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Cần Thơ	Proper noun	tr	city of Vietnam	ara	كن تاه
eng	Cần Thơ	Proper noun	tr	city of Vietnam	cmn	芹苴	sc=Hani
eng	Cần Thơ	Proper noun	tr	city of Vietnam	cmn	芹苴	tr=Qínjū	sc=Hani
eng	Cần Thơ	Proper noun	tr	city of Vietnam	jpn	カントー	tr=Kantō	sc=Jpan
eng	Cần Thơ	Proper noun	tr	city of Vietnam	khm	ទីក្រុងព្រែកឫស្សី
eng	Cần Thơ	Proper noun	tr	city of Vietnam	kor	껀터
eng	Cần Thơ	Proper noun	tr	city of Vietnam	rus	Кантхо
eng	Cần Thơ	Proper noun	tr	city of Vietnam	tha	เกิ่นเทอ
eng	Cần Thơ	Proper noun	tr	city of Vietnam	vie	Cần Thơ
eng	Cần Thơ	Proper noun	tr	city of Vietnam	vie	芹苴
