	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	d8	Noun	tr		cat	d8
eng	d8	Noun	tr		deu	W8
eng	d8	Noun	tr		fin	d8-noppa
eng	d8	Noun	tr		fin	ilmansuuntanoppa
eng	d8	Noun	tr		fra	D8	m
eng	d8	Noun	tr		heb	ק8
eng	d8	Noun	tr		ita	d8
eng	d8	Noun	tr		jpn	8面	sc=Jpan
eng	d8	Noun	tr		lit	d8
eng	d8	Noun	tr		nld	d8
eng	d8	Noun	tr		pol	k8
eng	d8	Noun	tr		por	d8
eng	d8	Noun	tr		rus	d8
eng	d8	Noun	tr		spa	d8
eng	d8	Noun	tr		swe	T8
eng	d8	Noun	tr		tha	d8
eng	d8	Noun	tr		ukr	D8	sc=Cyrl
