	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	djellaba	Noun	tr	robe worn by men in North Africa	cat	gel·laba	f
eng	djellaba	Noun	tr	robe worn by men in North Africa	deu	Dschellaba	f
eng	djellaba	Noun	tr	robe worn by men in North Africa	spa	chilaba	f
eng	djembe	Noun	tr	a large drum played with the hands	bam	jenbe
eng	djembe	Noun	tr	a large drum played with the hands	fra	djembé	m
eng	djembe	Noun	tr	a large drum played with the hands	jpn	ジャンベ	tr=janbe	sc=Jpan
eng	djembe	Noun	tr	a large drum played with the hands	nld	djembé	m	f
eng	djembe	Noun	tr	a large drum played with the hands	swe	djembe
eng	djenkol	Noun	tr	bean	mya	တညင်းသီး	sc=Mymr
eng	djenkol	Noun	tr	bean	tha	เนียง
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	ara	جِيبُوتِيّ
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	bul	джибутски	m	sc=Cyrl
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	ces	džibutský
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	deu	dschibutisch
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	fin	djiboutilainen
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	fra	djiboutien	m
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	fra	djiboutienne	f
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	hbs	džibutanski
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	nno	djiboutisk
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	nob	djiboutisk
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	por	djibutiano
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	ron	djiboutian	m
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	rus	джибути́йский
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	spa	yibutiano	m
eng	Djiboutian	Adjective	tr	pertaining to Djibouti	swa	Kijibuti
eng	Djiboutian	Noun	tr	person	ara	جِيبُوتِيّ	m
eng	Djiboutian	Noun	tr	person	ara	جِيبُوتِيَّة	f
eng	Djiboutian	Noun	tr	person	ces	Džibuťan	m
eng	Djiboutian	Noun	tr	person	dan	djiboutier
eng	Djiboutian	Noun	tr	person	deu	Dschibutierin	f
eng	Djiboutian	Noun	tr	person	deu	Dschibutier	m
eng	Djiboutian	Noun	tr	person	fin	djiboutilainen
eng	Djiboutian	Noun	tr	person	fra	Djiboutien	m
eng	Djiboutian	Noun	tr	person	fra	Djiboutienne	f
eng	Djiboutian	Noun	tr	person	hbs	Džibutanac	m
eng	Djiboutian	Noun	tr	person	hbs	Džibutanka	f
eng	Djiboutian	Noun	tr	person	isl	Djíbútar
eng	Djiboutian	Noun	tr	person	isl	Djíbúti
eng	Djiboutian	Noun	tr	person	ita	gibutiana	f
eng	Djiboutian	Noun	tr	person	ita	gibutiane	f-p
eng	Djiboutian	Noun	tr	person	ita	gibutiani	m-p
eng	Djiboutian	Noun	tr	person	ita	gibutiano	m
eng	Djiboutian	Noun	tr	person	nno	djiboutiar	m
eng	Djiboutian	Noun	tr	person	nob	djiboutier	m
eng	Djiboutian	Noun	tr	person	por	djibutiano	m
eng	Djiboutian	Noun	tr	person	ron	djiboutiană	f
eng	Djiboutian	Noun	tr	person	ron	djiboutian	m
eng	Djiboutian	Noun	tr	person	rus	джибути́ец	m
eng	Djiboutian	Noun	tr	person	rus	джибути́йка	f
eng	Djiboutian	Noun	tr	person	spa	yibutiano	m
eng	Djiboutian	Noun	tr	person	swa	Mjibuti
eng	Djiboutian	Noun	tr	person	swe	djiboutier
eng	Djiboutian	Noun	tr	person	tur	Cibutili
eng	Djibouti City	Proper noun	tr	capital of the Republic of Djibouti	ell	Τζιμπουτί
eng	Djibouti	Proper noun	tr	Republic of Djibouti	aar	Gabuuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	amh	ጅቡቲ
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ara	جِيبُوتِيّ	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	bel	Джыбуці́	f
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ben	জিবুতি
eng	Djibouti	Proper noun	tr	Republic of Djibouti	bre	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	bul	Джибути
eng	Djibouti	Proper noun	tr	Republic of Djibouti	cat	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ces	Džibutsko	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	chr	ᏥᏊᏗ
eng	Djibouti	Proper noun	tr	Republic of Djibouti	cmn	吉布提	tr=Jíbùtí	sc=Hani
eng	Djibouti	Proper noun	tr	Republic of Djibouti	dan	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	deu	Dschibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ell	Τζιμπουτί	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	epo	Ĝibutio
eng	Djibouti	Proper noun	tr	Republic of Djibouti	est	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	fao	Djibuti	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	fas	جیبوتی	tr=jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	fin	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	fra	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	gle	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	glg	Xibutí
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hau	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hbs	Džibȕti	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hbs	Џибу̏ти	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	heb	ג׳יבוטי	tr=jibut'i
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hin	जिबूती
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hun	Dzsibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	hye	Ջիբութի
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ina	Djibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	isl	Djíbútí	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ita	Gibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	jpn	ジブチ	tr=Jibuchi
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kam	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kat	ჯიბუტი
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kaz	Джибути
eng	Djibouti	Proper noun	tr	Republic of Djibouti	khm	ជីប៊ូទី
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kik	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kir	Жибути
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kln	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	kor	^지부티
eng	Djibouti	Proper noun	tr	Republic of Djibouti	lav	Džibutija	f
eng	Djibouti	Proper noun	tr	Republic of Djibouti	lit	Džibutis	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	luo	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	luy	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mer	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mkd	Џибу́ти	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mlt	Dġibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mlt	Ġibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mri	Tipūti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	mya	ဂျီဘူတီ
eng	Djibouti	Proper noun	tr	Republic of Djibouti	nav	Jibótii
eng	Djibouti	Proper noun	tr	Republic of Djibouti	nld	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	nor	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	nrf	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	pol	Dżibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	por	Djibuti	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	por	Jibuti	m
eng	Djibouti	Proper noun	tr	Republic of Djibouti	pus	ګبوټي	f	tr=gabûṭi
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ron	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	rus	Джибути́	f
eng	Djibouti	Proper noun	tr	Republic of Djibouti	sin	ජිබුටි
eng	Djibouti	Proper noun	tr	Republic of Djibouti	slk	Džibutsko	n
eng	Djibouti	Proper noun	tr	Republic of Djibouti	som	Jabuuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	spa	Yibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	swa	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	swa	Jibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	swe	Djibouti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tam	ஜிபூட்டி
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tat	Җибути
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tgl	Yibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tha	จิบูตี
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tir	ጂቡቲ
eng	Djibouti	Proper noun	tr	Republic of Djibouti	tur	Cibuti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	ukr	Джибуті́	f
eng	Djibouti	Proper noun	tr	Republic of Djibouti	urd	جبوتی	tr=jibūtī
eng	Djibouti	Proper noun	tr	Republic of Djibouti	vie	Di-bu-ti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	vie	Gi-bu-ti
eng	Djibouti	Proper noun	tr	Republic of Djibouti	yor	Díbọ́ótì
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	aar	Gabuuti
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	ces	Džibuti	n
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	epo	Ĝibuto
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	est	Djibouti
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	fin	Djibouti
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	khm	ជីប៊ូទី
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	lat	Dzibutum
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	rus	Джибути́	m
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	som	Jabuuti
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	vie	Di-bu-ti
eng	Djibouti	Proper noun	tr	the capital city of Djibouti	vie	Gi-bu-ti
eng	Djokovich	Proper noun	tr	Forms from the Serbo-Croatian	hbs	Đoković
eng	Djokovich	Proper noun	tr	Forms from the Serbo-Croatian	hbs	Ђоковић
