	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	dyadic	Adjective	tr	pertaining to the number two	fra	dyadique
eng	dyadic	Adjective	tr	pertaining to the number two	hun	diadikus
eng	dyadic	Adjective	tr	pertaining to the number two	isl	tvíunda-
eng	dyadic	Adjective	tr	pertaining to the number two	ita	diadico
eng	dyadic	Adjective	tr	pertaining to the number two	jpn	二項	tr=にこう, ni-kō	sc=Jpan
eng	dyadic	Adjective	tr	pertaining to the number two	nld	dyadisch
eng	dyadic	Adjective	tr	pertaining to the number two	nld	tweeledig
eng	dyadic	Adjective	tr	pertaining to the number two	por	diádico
eng	dyadic	Adjective	tr	pertaining to the number two	spa	diádico
eng	dyadic	Adjective	tr	pertaining to two parts or elements	fin	kaksijakoinen
eng	dyadic	Adjective	tr	pertaining to two parts or elements	fin	kaksiosainen
eng	dyad	Noun	tr	(''chemistry'') element, atom, etc., having a valence of two	bul	двувалентен елемент	m
eng	dyad	Noun	tr	(''chemistry'') element, atom, etc., having a valence of two	fin	kahdenarvoinen (alkuaine, atomi, ioni etc.)
eng	dyad	Noun	tr	(''music'') any set of two different pitch classes	fin	dyadi
eng	dyad	Noun	tr	(''music'') any set of two different pitch classes	jpn	二和音	tr=ni-waon	sc=Jpan
eng	dyad	Noun	tr	(''music'') any set of two different pitch classes	por	díade	f
eng	dyad	Noun	tr	pair of things standing in particular relation	bul	чифт	m
eng	dyad	Noun	tr	pair of things standing in particular relation	fin	kaksikko
eng	dyad	Noun	tr	pair of things standing in particular relation	fin	pari
eng	dyad	Noun	tr	set of two different elements	bul	двойка	f
eng	dyad	Noun	tr	set of two different elements	bul	чифт	m
eng	dyad	Noun	tr	set of two different elements	fin	pari
eng	dyad	Noun	tr	set of two different elements	msa	bendua
eng	dyad	Noun	tr	set of two different elements	msa	diad
eng	dyad	Noun	tr	set of two different elements	pol	diada
eng	dyad	Noun	tr	set of two different elements	pol	para
eng	dyad	Noun	tr	set of two different elements	por	díade	f
eng	dyad	Noun	tr	set of two different elements	rus	двойка
eng	dyad	Noun	tr	set of two different elements	rus	диада
eng	dyad	Noun	tr	set of two different elements	rus	пара
eng	Dyck word	Noun	tr	a string of n X's and n Y's	heb	מילת דיק	f	tr=milát dík
eng	DYC	Noun	tr	damn yellow composite	spa	PCA
eng	dydoe	Noun	tr	a male genital piercing	deu	Dydoe
eng	dydoe	Noun	tr	a male genital piercing	fin	dydoe
eng	dyeable	Adjective	tr	able to be dyed	glv	yn-ghaaghey
eng	dyed	Adjective	tr	colored with dye	ara	مَصْبُوغ
eng	dyed	Adjective	tr	colored with dye	cat	tenyit
eng	dyed	Adjective	tr	colored with dye	ces	barvený
eng	dyed	Adjective	tr	colored with dye	cmn	上色的	tr=shàngsè de	sc=Hani
eng	dyed	Adjective	tr	colored with dye	cmn	染过的	sc=Hani
eng	dyed	Adjective	tr	colored with dye	cmn	染過的	tr=rǎnguò de	sc=Hani
eng	dyed	Adjective	tr	colored with dye	cmn	玷汙的	tr=diànwū de	sc=Hani
eng	dyed	Adjective	tr	colored with dye	cmn	玷污的	sc=Hani
eng	dyed	Adjective	tr	colored with dye	dan	farvet
eng	dyed	Adjective	tr	colored with dye	deu	gefärbt
eng	dyed	Adjective	tr	colored with dye	ell	βαμμένος
eng	dyed	Adjective	tr	colored with dye	est	värvitud
eng	dyed	Adjective	tr	colored with dye	fin	värjätty
eng	dyed	Adjective	tr	colored with dye	fra	teint
eng	dyed	Adjective	tr	colored with dye	gle	daite
eng	dyed	Adjective	tr	colored with dye	glg	tinguido
eng	dyed	Adjective	tr	colored with dye	glg	tinxido
eng	dyed	Adjective	tr	colored with dye	grc	βαπτός
eng	dyed	Adjective	tr	colored with dye	hin	सारंग	sc=Deva
eng	dyed	Adjective	tr	colored with dye	hun	festett
eng	dyed	Adjective	tr	colored with dye	isl	litað
eng	dyed	Adjective	tr	colored with dye	ita	tinto
eng	dyed	Adjective	tr	colored with dye	jpn	染め	tr=そめ, some	sc=Jpan
eng	dyed	Adjective	tr	colored with dye	jpn	染めた	tr=そめた, someta	sc=Jpan
eng	dyed	Adjective	tr	colored with dye	kat	შეღებილი
eng	dyed	Adjective	tr	colored with dye	lat	suffectus
eng	dyed	Adjective	tr	colored with dye	lat	tinctus
eng	dyed	Adjective	tr	colored with dye	mlg	fondranina
eng	dyed	Adjective	tr	colored with dye	mlg	natoina
eng	dyed	Adjective	tr	colored with dye	nld	geverfd
eng	dyed	Adjective	tr	colored with dye	nob	farga
eng	dyed	Adjective	tr	colored with dye	nob	farget
eng	dyed	Adjective	tr	colored with dye	pol	barwiony
eng	dyed	Adjective	tr	colored with dye	pol	farbowany
eng	dyed	Adjective	tr	colored with dye	por	tingido
eng	dyed	Adjective	tr	colored with dye	por	tinto
eng	dyed	Adjective	tr	colored with dye	ron	colorat
eng	dyed	Adjective	tr	colored with dye	ron	tincturat
eng	dyed	Adjective	tr	colored with dye	rus	выкра́шенный	sc=Cyrl
eng	dyed	Adjective	tr	colored with dye	rus	кра́шенный	sc=Cyrl
eng	dyed	Adjective	tr	colored with dye	rus	окра́шенный	sc=Cyrl
eng	dyed	Adjective	tr	colored with dye	rus	покра́шенный	sc=Cyrl
eng	dyed	Adjective	tr	colored with dye	san	रक्त
eng	dyed	Adjective	tr	colored with dye	slk	farbený
eng	dyed	Adjective	tr	colored with dye	spa	teñido
eng	dyed	Adjective	tr	colored with dye	spa	tinto
eng	dyed	Adjective	tr	colored with dye	swe	färgad
eng	dyed	Adjective	tr	colored with dye	swe	kolorerad
eng	dyed	Adjective	tr	colored with dye	tha	ย้อม
eng	dyed	Adjective	tr	colored with dye	tur	boyalı
eng	dyed	Adjective	tr	colored with dye	vie	nhuộm
eng	dyed-in-the-wool	Adjective	tr	dyed before being formed into cloth	deu	in der Wolle gefärbt
eng	dyed-in-the-wool	Adjective	tr	dyed before being formed into cloth	fin	lankoina värjätty
eng	dyed-in-the-wool	Adjective	tr	dyed before being formed into cloth	fra	teint en laine
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	cmn	铁杆	tr=tiěgǎn
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	deu	eingefleischt
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	deu	waschecht
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	fin	henkeen ja vereen
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	fin	parantumaton
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	fin	pesunkestävä
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	fin	vannoutunut
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	fra	ancré
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	ita	atavico
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	ita	impenitente
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	ita	inveterato
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	ita	radicato
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	rus	бескомпроми́ссный
eng	dyed-in-the-wool	Adjective	tr	firmly established in a person's beliefs or habits	rus	закорене́лый
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ara	صِبْغَة	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	arz	صبغة	f	tr=ṣabḡa
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ase	9@SideNeckhigh-PalmDown-9@SideNeckhigh-PalmDown Upanddown-Upanddown 9@SideChesthigh-PalmDown-9@SideChesthigh-PalmDown
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	aze	boya
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	aze	rəng
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	bel	фа́рба	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	bel	фарбава́льнік	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	bul	багри́ло	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	bul	боя́	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	cat	tint	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ces	barva	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ces	barvivo	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	cmn	染料	tr=rǎnliào	sc=Hani
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	dan	farve	c
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	dan	farvestof	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	deu	Färbemittel	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	deu	Färbmittel	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ell	βαφή	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	epo	kolorigilo
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	epo	tinkturo
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	est	värvaine
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fas	جوهر	tr=jowhar
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fas	رزانه	tr=razâne
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fas	رنگ	tr=rang
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fin	väri
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fin	väriaine
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fin	värjäysaine
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	fra	teinture	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	glg	colorante	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	glg	tintura	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	grc	βάμμα	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	grc	βαφή	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hbs	fȃrba	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hbs	фа̑рба	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	heb	צֶבַע	m	tr=tséva
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hin	रंग	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hin	रंजक	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hun	festék
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	hye	ներկ
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ind	pencelup
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ind	pewarna
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	isl	litarefni	n
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	isl	litur	m
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	ita	tintura	f
eng	dye	Noun	tr	a colourant, especially one that has an affinity to the substrate to which it is applied	jpn	染料	tr=せんりょう, senryō
