	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	bel	Дняпро́	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	bul	Дне́пър	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	cat	Dnièper	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	ces	Dněpr	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	cmn	第聂伯河	tr=Dìnièbó hé
eng	Dnieper	Proper noun	tr	river to the Black Sea	crh	Özü
eng	Dnieper	Proper noun	tr	river to the Black Sea	dan	Dnepr
eng	Dnieper	Proper noun	tr	river to the Black Sea	deu	Dnjepr	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	ell	Δνείπερος	m	sc=Grek
eng	Dnieper	Proper noun	tr	river to the Black Sea	fas	دنیپر	tr=denipr, denyeper
eng	Dnieper	Proper noun	tr	river to the Black Sea	fin	Dnepr
eng	Dnieper	Proper noun	tr	river to the Black Sea	fra	Dniepr	f
eng	Dnieper	Proper noun	tr	river to the Black Sea	grc	Βορυσθένης
eng	Dnieper	Proper noun	tr	river to the Black Sea	grc	Δάναπρις
eng	Dnieper	Proper noun	tr	river to the Black Sea	hbs	Dnjepar	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	hbs	Дњепар	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	heb	דנייפר
eng	Dnieper	Proper noun	tr	river to the Black Sea	hun	Dnyeper
eng	Dnieper	Proper noun	tr	river to the Black Sea	hye	Դնեպր
eng	Dnieper	Proper noun	tr	river to the Black Sea	ita	Nipro	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	jpn	ドニエプル川	tr=Doniepuru-gawa
eng	Dnieper	Proper noun	tr	river to the Black Sea	kat	დნეპრი	sc=Geor
eng	Dnieper	Proper noun	tr	river to the Black Sea	kor	드네프르 강
eng	Dnieper	Proper noun	tr	river to the Black Sea	lat	Borysthenēs	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	lat	Danaper	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	lit	Dniepras
eng	Dnieper	Proper noun	tr	river to the Black Sea	mkd	Дње́пар	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	nog	Узу
eng	Dnieper	Proper noun	tr	river to the Black Sea	non	Nepr	f
eng	Dnieper	Proper noun	tr	river to the Black Sea	orv	Дънѣпръ	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	ota	اوزی	tr=özi
eng	Dnieper	Proper noun	tr	river to the Black Sea	pol	Dniepr	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	por	Borístenes	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	por	Dnieper	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	por	Dniepre	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	rus	Днепр	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	slk	Dneper	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	swe	Dnepr	c
eng	Dnieper	Proper noun	tr	river to the Black Sea	tur	Dinyeper
eng	Dnieper	Proper noun	tr	river to the Black Sea	tur	Özi
eng	Dnieper	Proper noun	tr	river to the Black Sea	ukr	Дніпр	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	ukr	Дніпро́	m
eng	Dnieper	Proper noun	tr	river to the Black Sea	yid	דניעפּער
eng	Dniester	Proper noun	tr	river in Europe	ces	Dněstr	m
eng	Dniester	Proper noun	tr	river in Europe	deu	Dnister	m
eng	Dniester	Proper noun	tr	river in Europe	fra	Dniestr	m
eng	Dniester	Proper noun	tr	river in Europe	gle	Dnístir	f	alt=An Dnístir
eng	Dniester	Proper noun	tr	river in Europe	hun	Dnyeszter
eng	Dniester	Proper noun	tr	river in Europe	hye	Դնեստր
eng	Dniester	Proper noun	tr	river in Europe	kat	დნესტრი
eng	Dniester	Proper noun	tr	river in Europe	lat	Danaster	m
eng	Dniester	Proper noun	tr	river in Europe	lat	Tyras	m
eng	Dniester	Proper noun	tr	river in Europe	mkd	Дњестар	m
eng	Dniester	Proper noun	tr	river in Europe	nog	Тарку
eng	Dniester	Proper noun	tr	river in Europe	pol	Dniestr	m
eng	Dniester	Proper noun	tr	river in Europe	ron	Nistru
eng	Dniester	Proper noun	tr	river in Europe	rus	Днестр	m
eng	Dniester	Proper noun	tr	river in Europe	ukr	Дністе́р	m
eng	Dnipropetrovsk	Proper noun	tr	city	bel	Днепрапятро́ўск	m
eng	Dnipropetrovsk	Proper noun	tr	city	bul	Днепропетро́вск	m
eng	Dnipropetrovsk	Proper noun	tr	city	dan	Dnepropetrovsk
eng	Dnipropetrovsk	Proper noun	tr	city	ell	Ντνιπροπετρόφσκ
eng	Dnipropetrovsk	Proper noun	tr	city	hbs	Dnjepropetrovsk	m
