	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	ara	دُونْمَة
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	bul	Дьонме
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	cat	Dönme
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	cat	Dönmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	deu	Dönme
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	ell	Ντονμέ
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	fas	دونمه	tr=dunmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	fra	Dönme
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	heb	דוֹנְמֶה
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	hin	दूनुमा
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	hin	दोनुमा
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	ita	Dönmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	ita	Dunmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	pol	Dönme
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	pol	Donmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	por	Doenmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	por	Dönme
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	por	Dönmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	por	Dunmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	rus	Дёнме
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	spa	Dönmeh
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	urd	دونمہ	tr=dūnma
eng	Dönmeh	Noun	tr	Sabbatean crypto-Jews	yid	דענמע
