	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Düne	Proper noun	tr	island in Germany	dan	Dynen	c
eng	Düne	Proper noun	tr	island in Germany	deu	Düne	f
eng	Düne	Proper noun	tr	island in Germany	frr	de Halem
eng	Düsseldorf	Proper noun	tr	a city in Germany	deu	Düsseldorf	n
eng	Düsseldorf	Proper noun	tr	a city in Germany	ell	Ντύσσελντορφ
eng	Düsseldorf	Proper noun	tr	a city in Germany	epo	Duseldorfo
eng	Düsseldorf	Proper noun	tr	a city in Germany	gmw-cfr	Dösseldorp
eng	Düsseldorf	Proper noun	tr	a city in Germany	hye	Դյուսելդորֆ
eng	Düsseldorf	Proper noun	tr	a city in Germany	jpn	デュッセルドルフ	tr=Dyusserudorufu
eng	Düsseldorf	Proper noun	tr	a city in Germany	kor	뒤셀도르프
eng	Düsseldorf	Proper noun	tr	a city in Germany	lim	Dusseldörp
eng	Düsseldorf	Proper noun	tr	a city in Germany	mkd	Ди́селдорф	m
eng	Düsseldorf	Proper noun	tr	a city in Germany	pol	Düsseldorf	m
eng	Düsseldorf	Proper noun	tr	a city in Germany	rus	Дюссельдо́рф	m
eng	Düsseldorf	Proper noun	tr	a city in Germany	rus	Дю́ссельдорф	m
eng	Düsseldorf	Proper noun	tr	a city in Germany	spa	Düsseldorf	m
eng	Düsseldorf	Proper noun	tr	an administrative region of North Rhine-Wesphalia	deu	Regierungsbezirk Düsseldorf	m
eng	Düsseldorf	Proper noun	tr	an administrative region of North Rhine-Wesphalia	pol	rejencja Düsseldorf	f
