	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Dīpaṃkara	Proper noun	tr		bod	མར་མེ་མཛད་
eng	Dīpaṃkara	Proper noun	tr		cmn	燃燈佛	tr=Rándēng Fó
eng	Dīpaṃkara	Proper noun	tr		jpn	燃燈仏
eng	Dīpaṃkara	Proper noun	tr		khm	ទីបង្ករៈ
eng	Dīpaṃkara	Proper noun	tr		khm	ព្រះពុទ្ធទីបង្ករៈ
eng	Dīpaṃkara	Proper noun	tr		kor	연등불
eng	Dīpaṃkara	Proper noun	tr		mya	ဒီပင်္ကရာ
eng	Dīpaṃkara	Proper noun	tr		mya	ဒီပင်္ကရာဘုရား
eng	Dīpaṃkara	Proper noun	tr		pli	Dīpaṃkara
eng	Dīpaṃkara	Proper noun	tr		san	दीपंकर
eng	Dīpaṃkara	Proper noun	tr		sin	දීපංකර
eng	Dīpaṃkara	Proper noun	tr		tel	దీపాంకురుడు
eng	Dīpaṃkara	Proper noun	tr		tel	దీపాంకురుడు
eng	Dīpaṃkara	Proper noun	tr		tha	ทีปังกร
eng	Dīpaṃkara	Proper noun	tr		tha	พระทีปังกรพุทธเจ้า
eng	Dīpaṃkara	Proper noun	tr		vie	Đính Quang Phật
eng	Dīpaṃkara	Proper noun	tr		vie	Nhiên Đăng Cổ Phật
eng	Dīpaṃkara	Proper noun	tr		vie	Nhiên Đăng Phật
