	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	e caudata	Noun	tr	letter ''e'' with a diacritical tail	lat	ē caudāta	f
eng	E flat major	Noun	tr	Major chord of E-flat	deu	Es-Dur
eng	E flat major	Noun	tr	Major chord of E-flat	fra	mi bémol majeur
eng	E flat major	Noun	tr	Major chord of E-flat	nld	es-groot
eng	E flat major	Noun	tr	Major chord of E-flat	nld	es grote terts
eng	E flat major	Noun	tr	Major chord of E-flat	nld	es-majeur
eng	E flat major	Noun	tr	Major chord of E-flat	rus	ми-бемо́ль мажо́р	m
eng	E flat major	Noun	tr	Major scale of E-flat	deu	Es-Dur
eng	E flat major	Noun	tr	Major scale of E-flat	fin	Es-duuri
eng	E flat major	Noun	tr	Major scale of E-flat	fra	mi bémol majeur
eng	E flat major	Noun	tr	Major scale of E-flat	ita	mi bemolle maggiore	m
eng	E flat major	Noun	tr	Major scale of E-flat	jpn	変ホ長調	tr=へんほちょうちょう, hen-ho chōchō
eng	E flat major	Noun	tr	Major scale of E-flat	nld	es-groot
eng	E flat major	Noun	tr	Major scale of E-flat	nld	es grote terts
eng	E flat major	Noun	tr	Major scale of E-flat	nld	es-majeur
eng	E flat major	Noun	tr	Major scale of E-flat	rus	ми-бемо́ль мажо́р	m
eng	E major	Noun	tr	the major chord with a root of E	deu	E-Dur	n
eng	E major	Noun	tr	the major chord with a root of E	fra	mi majeur	m
eng	E major	Noun	tr	the major chord with a root of E	hun	E-dúr
eng	E major	Noun	tr	the major chord with a root of E	nld	E-groot
eng	E major	Noun	tr	the major chord with a root of E	nld	E-majeur
eng	E major	Noun	tr	the major chord with a root of E	swe	E-dur	n
eng	E major	Noun	tr	the major key with E as its tonic	deu	E-Dur	n
eng	E major	Noun	tr	the major key with E as its tonic	fin	E-duuri
eng	E major	Noun	tr	the major key with E as its tonic	fra	mi majeur	m
eng	E major	Noun	tr	the major key with E as its tonic	hun	E-dúr
eng	E major	Noun	tr	the major key with E as its tonic	jpn	ホ長調	tr=ho chōchō
eng	E major	Noun	tr	the major key with E as its tonic	kor	마장조
eng	E major	Noun	tr	the major key with E as its tonic	nld	E-groot
eng	E major	Noun	tr	the major key with E as its tonic	nld	E-majeur
eng	E major	Noun	tr	the major key with E as its tonic	rus	ми мажо́р	m
eng	E major	Noun	tr	the major key with E as its tonic	swe	E-dur
eng	E minor	Noun	tr	the minor chord with a root of E	deu	e-Moll	n
eng	E minor	Noun	tr	the minor chord with a root of E	fin	e-mollisointu
eng	E minor	Noun	tr	the minor chord with a root of E	fra	mi mineur	m
eng	E minor	Noun	tr	the minor chord with a root of E	hun	e-moll
eng	E minor	Noun	tr	the minor chord with a root of E	nld	e-klein
eng	E minor	Noun	tr	the minor chord with a root of E	nld	e-mineur
eng	E minor	Noun	tr	the minor key with E as its tonic	deu	e-Moll	n
eng	E minor	Noun	tr	the minor key with E as its tonic	epo	e-minoro
eng	E minor	Noun	tr	the minor key with E as its tonic	fin	molli	alt=e-molli
eng	E minor	Noun	tr	the minor key with E as its tonic	fra	mi mineur	m
eng	E minor	Noun	tr	the minor key with E as its tonic	hun	e-moll
eng	E minor	Noun	tr	the minor key with E as its tonic	jpn	ホ短調	tr=hotanchō
eng	E minor	Noun	tr	the minor key with E as its tonic	nld	e-klein
eng	E minor	Noun	tr	the minor key with E as its tonic	nld	e-mineur
eng	E minor	Noun	tr	the minor key with E as its tonic	rus	ми мино́р	m
eng	E minor	Noun	tr	the minor key with E as its tonic	swe	e-moll	n
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	ces	z mnohých jeden
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	cmn	合众为一	tr=hé zhòng wéi yī	sc=Hani
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	cmn	合眾為一	sc=Hani
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	deu	aus vielen eines
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fin	monesta yksi
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fra	de plusieurs, un
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	fra	un à partir de plusieurs
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	hbs	iz mnogih jedan
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	jpn	多数から一つへ	tr=たすうからひとつへ, tasū-kara hitotsu-e	sc=Jpan
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	lat	e pluribus unum
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	lat	ē plūribus ūnum
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	pol	z wielu jeden
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	ron	una din multe
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	rus	еди́нственный из мно́гих	m
eng	e pluribus unum	Proverb	tr	''e pluribus unum'' - a United States' motto	rus	из мно́гих — еди́ное	n
