	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	each	Adverb	tr	apiece	bcl	lambang
eng	each	Adverb	tr	apiece	cym	yr un
eng	each	Adverb	tr	apiece	dan	hver
eng	each	Adverb	tr	apiece	deu	jeweils
eng	each	Adverb	tr	apiece	epo	po
eng	each	Adverb	tr	apiece	est	kõik
eng	each	Adverb	tr	apiece	fin	kappale
eng	each	Adverb	tr	apiece	fin	kohden
eng	each	Adverb	tr	apiece	fin	kohti
eng	each	Adverb	tr	apiece	fra	chacun
eng	each	Adverb	tr	apiece	gla	an urra
eng	each	Adverb	tr	apiece	hbs	svaki
eng	each	Adverb	tr	apiece	hun	-anként
eng	each	Adverb	tr	apiece	hun	darabonként
eng	each	Adverb	tr	apiece	hun	egyenként
eng	each	Adverb	tr	apiece	hun	-enként
eng	each	Adverb	tr	apiece	hun	-nként
eng	each	Adverb	tr	apiece	hun	-onként
eng	each	Adverb	tr	apiece	hun	-önként
eng	each	Adverb	tr	apiece	hye	յուրաքանչյուր
eng	each	Adverb	tr	apiece	lao	ແຕ່ລະ
eng	each	Adverb	tr	apiece	nno	per stykk
eng	each	Adverb	tr	apiece	nob	per stykk
eng	each	Adverb	tr	apiece	pol	każde
eng	each	Adverb	tr	apiece	por	cada
eng	each	Adverb	tr	apiece	ron	pe
eng	each	Adverb	tr	apiece	swe	à
eng	each	Adverb	tr	apiece	swe	per styck
eng	each	Adverb	tr	apiece	swe	var
eng	each	Adverb	tr	apiece	swe	vardera
eng	each and every	Determiner	tr	each without exception	cat	tots i cadascun
eng	each and every	Determiner	tr	each without exception	deu	aller und jeder
eng	each and every	Determiner	tr	each without exception	deu	jeder einzelne
eng	each and every	Determiner	tr	each without exception	fin	joka ikinen
eng	each and every	Determiner	tr	each without exception	hun	mindegyik
eng	each and every	Determiner	tr	each without exception	hun	minden egyes
eng	each and every	Determiner	tr	each without exception	pol	wszyscy bez wyjątku
eng	each and every	Determiner	tr	each without exception	pol	wszystkie bez wyjątku
eng	each and every	Determiner	tr	each without exception	ron	toți fără excepție
eng	each and every	Determiner	tr	each without exception	slk	každý a jeden
eng	each and every	Determiner	tr	each without exception	spa	todas y cada una de	f
eng	each and every	Determiner	tr	each without exception	spa	todos y cada uno de	m
eng	each and every	Determiner	tr	each without exception	swe	varjom och enom
eng	each and every	Determiner	tr	each without exception	swe	var och en
eng	each	Determiner	tr	every	afr	elke
eng	each	Determiner	tr	every	ang	ǣġhwylċ
eng	each	Determiner	tr	every	ang	ǣlċ
eng	each	Determiner	tr	every	ang	ġehwā
eng	each	Determiner	tr	every	ara	كُلّ
eng	each	Determiner	tr	every	ary	كل
eng	each	Determiner	tr	every	ase	OpenA@NearPalm-ThumbUp-OpenA@CenterChesthigh-ThumbUp RoundVert OpenA@FromUlnarPalm-ThumbAcross-OpenA@CenterChesthigh-ThumbUp
eng	each	Determiner	tr	every	aze	hər
eng	each	Determiner	tr	every	bak	һәр
eng	each	Determiner	tr	every	bcl	lambang
eng	each	Determiner	tr	every	bel	ко́жны
eng	each	Determiner	tr	every	bul	все́ки	m
eng	each	Determiner	tr	every	cat	cada
eng	each	Determiner	tr	every	cat	cadascun	alt=cadascun de
eng	each	Determiner	tr	every	cat	cada un	alt=cada un de
eng	each	Determiner	tr	every	ces	každý	m
eng	each	Determiner	tr	every	ckb	ھەریەک
eng	each	Determiner	tr	every	cmn	各	tr=gè	sc=Hani
eng	each	Determiner	tr	every	cmn	每	tr=měi	sc=Hani
eng	each	Determiner	tr	every	cmn	每隔	tr=měigé	sc=Hani
eng	each	Determiner	tr	every	cym	pob
eng	each	Determiner	tr	every	dan	alle
eng	each	Determiner	tr	every	dan	hver
eng	each	Determiner	tr	every	deu	alle
eng	each	Determiner	tr	every	deu	jeder
eng	each	Determiner	tr	every	dsb	kuždy
eng	each	Determiner	tr	every	ell	έκαστος	s
eng	each	Determiner	tr	every	ell	κάθε
eng	each	Determiner	tr	every	ell	κάθε ένας
eng	each	Determiner	tr	every	ell	καθένας
eng	each	Determiner	tr	every	epo	ĉiu
eng	each	Determiner	tr	every	est	kõik
eng	each	Determiner	tr	every	fas	هر	tr=har	sc=fa-Arab
eng	each	Determiner	tr	every	fas	هر یک
eng	each	Determiner	tr	every	fin	jokainen
eng	each	Determiner	tr	every	fin	kaikki
eng	each	Determiner	tr	every	fin	kukin
eng	each	Determiner	tr	every	fra	chaque
eng	each	Determiner	tr	every	gla	gach
eng	each	Determiner	tr	every	gle	gach
eng	each	Determiner	tr	every	gle	gach uile
eng	each	Determiner	tr	every	glg	cada
eng	each	Determiner	tr	every	grc	ἕκαστος	sc=polytonic
eng	each	Determiner	tr	every	hat	chak
eng	each	Determiner	tr	every	hbs	svaki
eng	each	Determiner	tr	every	hbs	сваки
eng	each	Determiner	tr	every	hin	एक-एक
eng	each	Determiner	tr	every	hin	हर
eng	each	Determiner	tr	every	hun	mindegyik
eng	each	Determiner	tr	every	hun	minden
eng	each	Determiner	tr	every	hun	minden egyes
eng	each	Determiner	tr	every	hye	ամեն
eng	each	Determiner	tr	every	hye	յուրաքանչյուր
eng	each	Determiner	tr	every	ido	singla
eng	each	Determiner	tr	every	ina	cata
eng	each	Determiner	tr	every	ind	setiap
eng	each	Determiner	tr	every	ita	ciascuno
eng	each	Determiner	tr	every	ita	ogni
eng	each	Determiner	tr	every	ita	ognuno
eng	each	Determiner	tr	every	jpn	それぞれ	tr=sorezore no	alt=それぞれの
eng	each	Determiner	tr	every	kat	თითოეული
eng	each	Determiner	tr	every	kat	ყოველი
eng	each	Determiner	tr	every	khm	នីមួយៗ	tr=niimuəy-niimuəy	sc=Khmr
eng	each	Determiner	tr	every	kmr	her
eng	each	Determiner	tr	every	kmr	hertişt
eng	each	Determiner	tr	every	kmr	heryek
eng	each	Determiner	tr	every	kor	각각의	tr=gakgak-ui
eng	each	Determiner	tr	every	lao	ແຕ່ລະ
eng	each	Determiner	tr	every	lao	ທຸກ
eng	each	Determiner	tr	every	lat	quisque
eng	each	Determiner	tr	every	lat	unusquisque
eng	each	Determiner	tr	every	lat	uterque
eng	each	Determiner	tr	every	lav	katra	f
eng	each	Determiner	tr	every	lav	katrs	m
eng	each	Determiner	tr	every	lit	kiekviena	f
eng	each	Determiner	tr	every	lit	kiekvienas	m
eng	each	Determiner	tr	every	mal	ഓരോ
eng	each	Determiner	tr	every	mkd	секој
eng	each	Determiner	tr	every	msa	setiap
eng	each	Determiner	tr	every	nld	elk
eng	each	Determiner	tr	every	nld	ieder
eng	each	Determiner	tr	every	nno	kvar
eng	each	Determiner	tr	every	nob	hver
eng	each	Determiner	tr	every	nor	alle
eng	each	Determiner	tr	every	nor	alt
eng	each	Determiner	tr	every	nor	enhver
eng	each	Determiner	tr	every	nor	hver enkelt
eng	each	Determiner	tr	every	nrf	châque
eng	each	Determiner	tr	every	pol	każdy
eng	each	Determiner	tr	every	por	cada
eng	each	Determiner	tr	every	pus	هر	tr=har
eng	each	Determiner	tr	every	pus	هر يو	tr=har yaw
eng	each	Determiner	tr	every	ron	fiecare
eng	each	Determiner	tr	every	rus	ка́ждый
eng	each	Determiner	tr	every	slk	každý
eng	each	Determiner	tr	every	slv	vsak
eng	each	Determiner	tr	every	spa	cada
eng	each	Determiner	tr	every	spa	cada uno
eng	each	Determiner	tr	every	sqi	çdo
eng	each	Determiner	tr	every	swa	kila
eng	each	Determiner	tr	every	swe	alla
eng	each	Determiner	tr	every	swe	varje
eng	each	Determiner	tr	every	tam	ஒவ்வொரு
eng	each	Determiner	tr	every	tel	ప్రతి
eng	each	Determiner	tr	every	tha	ทุก
eng	each	Determiner	tr	every	tur	her
eng	each	Determiner	tr	every	tur	her biri
eng	each	Determiner	tr	every	txb	artsa
eng	each	Determiner	tr	every	txb	po
eng	each	Determiner	tr	every	ukr	ко́жний	m
eng	each	Determiner	tr	every	urd	ہر
eng	each	Determiner	tr	every	vie	hàng
eng	each	Determiner	tr	every	vie	từng
eng	each	Determiner	tr	every	wln	tchaeke	m	f
eng	each	Determiner	tr	every	yid	יעדער
eng	each	Determiner	tr	every	zza	her
eng	each	Determiner	tr	every	zza	herg
eng	each other	Pronoun	tr	to one another; one to the other	ara	بعض	alt=بَعْضُهُ الْبَعْض
eng	each other	Pronoun	tr	to one another; one to the other	aze	bir-birini
eng	each other	Pronoun	tr	to one another; one to the other	bel	адзі́н аднаго́
eng	each other	Pronoun	tr	to one another; one to the other	cat	l'un a l'altre
eng	each other	Pronoun	tr	to one another; one to the other	cat	mútuament
eng	each other	Pronoun	tr	to one another; one to the other	cmn	互相	tr=hùxiāng	sc=Hani
eng	each other	Pronoun	tr	to one another; one to the other	cmn	交互	tr=jiāohù
eng	each other	Pronoun	tr	to one another; one to the other	cmn	彼此	tr=bǐcǐ
eng	each other	Pronoun	tr	to one another; one to the other	dan	hinanden
eng	each other	Pronoun	tr	to one another; one to the other	deu	einander
eng	each other	Pronoun	tr	to one another; one to the other	dsb	se
eng	each other	Pronoun	tr	to one another; one to the other	ell	αλλήλων
eng	each other	Pronoun	tr	to one another; one to the other	epo	unu al la alia
eng	each other	Pronoun	tr	to one another; one to the other	epo	unu la alian
eng	each other	Pronoun	tr	to one another; one to the other	eus	elkar
eng	each other	Pronoun	tr	to one another; one to the other	fas	همدیگر	tr=hamdigar	sc=fa-Arab
eng	each other	Pronoun	tr	to one another; one to the other	fas	یکدیگر	tr=yekdigar	sc=fa-Arab
eng	each other	Pronoun	tr	to one another; one to the other	fin	toinen toisensa
eng	each other	Pronoun	tr	to one another; one to the other	fin	toisensa
eng	each other	Pronoun	tr	to one another; one to the other	fra	les uns les autres	p
eng	each other	Pronoun	tr	to one another; one to the other	fra	l'un l'autre
eng	each other	Pronoun	tr	to one another; one to the other	gle	a chéile
eng	each other	Pronoun	tr	to one another; one to the other	glg	un ao outro	m
eng	each other	Pronoun	tr	to one another; one to the other	glg	uns aos outros	m-p
eng	each other	Pronoun	tr	to one another; one to the other	gmq-bot	hvorader
eng	each other	Pronoun	tr	to one another; one to the other	grc	ἀλλήλων
eng	each other	Pronoun	tr	to one another; one to the other	heb	אחד את השני
eng	each other	Pronoun	tr	to one another; one to the other	heb	אחת את השניה
eng	each other	Pronoun	tr	to one another; one to the other	heb	זה את זה
eng	each other	Pronoun	tr	to one another; one to the other	hun	egymás
eng	each other	Pronoun	tr	to one another; one to the other	hye	իրար
eng	each other	Pronoun	tr	to one another; one to the other	hye	միմյանց
eng	each other	Pronoun	tr	to one another; one to the other	ido	l'una l'altra
eng	each other	Pronoun	tr	to one another; one to the other	ido	l'uni l'altri
eng	each other	Pronoun	tr	to one another; one to the other	isl	hver annar
eng	each other	Pronoun	tr	to one another; one to the other	isl	hvor af öðrum	d
eng	each other	Pronoun	tr	to one another; one to the other	isl	hvor annar	d
eng	each other	Pronoun	tr	to one another; one to the other	ita	a vicenda
eng	each other	Pronoun	tr	to one another; one to the other	jpn	お互い	tr=おたがい, otagai
eng	each other	Pronoun	tr	to one another; one to the other	jpn	互い	tr=たがい, tagai
eng	each other	Pronoun	tr	to one another; one to the other	jpn	互いに	tr=おたがいに, o-tagai ni	alt=お互いに
eng	each other	Pronoun	tr	to one another; one to the other	kat	ერთმანეთი
eng	each other	Pronoun	tr	to one another; one to the other	khm	គ្នា
