	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ecard	Noun	tr	computerized greeting card	fra	e-carte	f
eng	Ecbatana	Proper noun	tr	capital of Media	akk	𒆳𒀀𒃵𒋫𒉡	tr=<sup>kur</sup>A-gam-ta-nu
eng	Ecbatana	Proper noun	tr	capital of Media	arc	אַחְמְתָא
eng	Ecbatana	Proper noun	tr	capital of Media	deu	Ekbatana	n
eng	Ecbatana	Proper noun	tr	capital of Media	fas	هگمتانه	tr=hegmatâne
eng	Ecbatana	Proper noun	tr	capital of Media	grc	Ἀγβάτανα	n
eng	Ecbatana	Proper noun	tr	capital of Media	grc	Ἐκβάτανα	n
eng	Ecbatana	Proper noun	tr	capital of Media	heb	אחמתא	m	tr=akhmetá
eng	Ecbatana	Proper noun	tr	capital of Media	hye	Եկբատան
eng	Ecbatana	Proper noun	tr	capital of Media	lat	Ecbatana	f
eng	Ecbatana	Proper noun	tr	capital of Media	lat	Ecbatanas
eng	Ecbatana	Proper noun	tr	capital of Media	lat	Ecbatanis Partiorum
eng	Ecbatana	Proper noun	tr	capital of Media	pal	𐭠𐭧𐭬𐭲𐭠𐭭	tr=Ahmadān	sc=Phlv
eng	Ecbatana	Proper noun	tr	capital of Media	peo	𐏃𐎥𐎶𐎫𐎠𐎴	tr=Ha(n)gmatāna	sc=Xpeo
eng	Ecbatana	Proper noun	tr	capital of Media	por	Ecbátana
eng	Ecbatana	Proper noun	tr	capital of Media	rus	Екба́таны	p
eng	Ecbatana	Proper noun	tr	capital of Media	rus	Э̀кбата́на	f
eng	Ecbatana	Proper noun	tr	capital of Media	rus	Э̀кба́таны	p
eng	Ecbatana	Proper noun	tr	capital of Media	spa	Ecbatana	f
eng	Ecbatana	Proper noun	tr	capital of Media	xcl	Ահմատան
eng	Ecbatana	Proper noun	tr	capital of Media	xcl	Եկբատան
eng	Ecbatana	Proper noun	tr	capital of Media	xpr	𐭀𐭇𐭌𐭕𐭍	tr=ʾhmtn [Ahmadān]	sc=Prti
eng	ECB	Proper noun	tr	European Central Bank	ces	ECB
eng	ECB	Proper noun	tr	European Central Bank	dan	ECB
eng	ECB	Proper noun	tr	European Central Bank	deu	EZB
eng	ECB	Proper noun	tr	European Central Bank	ell	ΕΚΤ
