	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	effacement	Noun	tr	withdraw in order to make oneself inconspicuous	fra	effacement	m
eng	efface	Verb	tr	cause to disappear as if by rubbing out	bul	зачерквам
eng	efface	Verb	tr	cause to disappear as if by rubbing out	bul	изтривам
eng	efface	Verb	tr	cause to disappear as if by rubbing out	deu	auslöschen
eng	efface	Verb	tr	cause to disappear as if by rubbing out	deu	ausradieren
eng	efface	Verb	tr	cause to disappear as if by rubbing out	deu	zum Verschwinden bringen
eng	efface	Verb	tr	cause to disappear as if by rubbing out	fra	effacer
eng	efface	Verb	tr	cause to disappear as if by rubbing out	jpn	拭い去る	tr=nuguisaru	sc=Jpan
eng	efface	Verb	tr	cause to disappear as if by rubbing out	rus	стирать
eng	efface	Verb	tr	cause to disappear as if by rubbing out	spa	borrar
eng	efface	Verb	tr	make oneself inobtrusive	fra	s'effacer
eng	efface	Verb	tr	make oneself inobtrusive	nld	zich wegcijferen
eng	efface	Verb	tr	make oneself inobtrusive	rus	вычёркивать	impf
eng	efface	Verb	tr	to erase	bul	заличавам
eng	efface	Verb	tr	to erase	bul	премахвам
eng	efface	Verb	tr	to erase	deu	unkenntlich machen
eng	efface	Verb	tr	to erase	deu	unlesbar machen
eng	efface	Verb	tr	to erase	deu	verwischen
eng	efface	Verb	tr	to erase	fra	effacer
eng	efface	Verb	tr	to erase	ido	efacar
eng	efface	Verb	tr	to erase	jpn	消去	tr=shōkyo suru	alt=消去する	sc=Jpan
eng	efface	Verb	tr	to erase	kat	წაშლა	sc=Geor
eng	efface	Verb	tr	to erase	lat	oblitterō
eng	efface	Verb	tr	to erase	ron	șterge
eng	efface	Verb	tr	to erase	rus	замазывать	impf
eng	efface	Verb	tr	to erase	rus	стирать
eng	efface	Verb	tr	to erase	spa	borrar
eng	efface	Verb	tr	to erase	tgl	bura
eng	effective	Adjective	tr	actually in effect	bul	действи́телен
eng	effective	Adjective	tr	actually in effect	cat	efectiu
eng	effective	Adjective	tr	actually in effect	deu	in Kraft
eng	effective	Adjective	tr	actually in effect	deu	wirksam
eng	effective	Adjective	tr	actually in effect	fin	voimassa
eng	effective	Adjective	tr	actually in effect	fin	voimassa oleva
eng	effective	Adjective	tr	actually in effect	fra	en vigueur
eng	effective	Adjective	tr	actually in effect	ind	efektif
eng	effective	Adjective	tr	actually in effect	nld	effectief
eng	effective	Adjective	tr	actually in effect	nor	virksom
eng	effective	Adjective	tr	actually in effect	pol	efektywny
eng	effective	Adjective	tr	actually in effect	por	efetivo
eng	effective	Adjective	tr	actually in effect	rus	действи́тельный
eng	effective	Adjective	tr	actually in effect	rus	де́йствующий
eng	effective	Adjective	tr	actually in effect	swe	träder i kraft
eng	effective	Adjective	tr	efficient, serviceable, or operative	bul	ефикасен
eng	effective	Adjective	tr	efficient, serviceable, or operative	cat	eficaç
eng	effective	Adjective	tr	efficient, serviceable, or operative	deu	effektiv
eng	effective	Adjective	tr	efficient, serviceable, or operative	deu	wirkungsvoll
eng	effective	Adjective	tr	efficient, serviceable, or operative	fin	käytettävissä oleva
eng	effective	Adjective	tr	efficient, serviceable, or operative	fin	tehollinen
eng	effective	Adjective	tr	efficient, serviceable, or operative	fin	tosiasiallinen
eng	effective	Adjective	tr	efficient, serviceable, or operative	fin	vaikuttava
eng	effective	Adjective	tr	efficient, serviceable, or operative	fra	efficace	m	f
eng	effective	Adjective	tr	efficient, serviceable, or operative	gla	èifeachdach
eng	effective	Adjective	tr	efficient, serviceable, or operative	ita	efficiente
eng	effective	Adjective	tr	efficient, serviceable, or operative	nor	effektiv
eng	effective	Adjective	tr	efficient, serviceable, or operative	por	eficaz
eng	effective	Adjective	tr	efficient, serviceable, or operative	ron	eficace	m	f
eng	effective	Adjective	tr	efficient, serviceable, or operative	ron	plin de efect
eng	effective	Adjective	tr	efficient, serviceable, or operative	rus	де́йственный
eng	effective	Adjective	tr	efficient, serviceable, or operative	rus	эффекти́вный
eng	effective	Adjective	tr	efficient, serviceable, or operative	slk	skutočný
eng	effective	Adjective	tr	efficient, serviceable, or operative	slk	účinný
eng	effective	Adjective	tr	efficient, serviceable, or operative	tgl	mapakipakinabang
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ara	فَعَّال
eng	effective	Adjective	tr	having the power to produce a required effect or effects	bel	эфекты́ўны
eng	effective	Adjective	tr	having the power to produce a required effect or effects	bul	ефекти́вен
eng	effective	Adjective	tr	having the power to produce a required effect or effects	cat	eficaç
eng	effective	Adjective	tr	having the power to produce a required effect or effects	cym	effeithiol
eng	effective	Adjective	tr	having the power to produce a required effect or effects	dan	effektiv
eng	effective	Adjective	tr	having the power to produce a required effect or effects	dan	virksom
eng	effective	Adjective	tr	having the power to produce a required effect or effects	deu	effektiv
eng	effective	Adjective	tr	having the power to produce a required effect or effects	deu	wirksam
eng	effective	Adjective	tr	having the power to produce a required effect or effects	dsb	efektiwny
eng	effective	Adjective	tr	having the power to produce a required effect or effects	dsb	statkowny
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fin	tehoava
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fin	tehokas
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fin	toimiva
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fin	tuloksia tuottava
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fin	vaikuttava
eng	effective	Adjective	tr	having the power to produce a required effect or effects	fra	efficace	m	f
eng	effective	Adjective	tr	having the power to produce a required effect or effects	gla	èifeachdach
eng	effective	Adjective	tr	having the power to produce a required effect or effects	gle	éifeachtach
eng	effective	Adjective	tr	having the power to produce a required effect or effects	got	𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌴𐌹𐌲𐍃
eng	effective	Adjective	tr	having the power to produce a required effect or effects	grc	δραστήριος
eng	effective	Adjective	tr	having the power to produce a required effect or effects	grc	ἐνεργής
eng	effective	Adjective	tr	having the power to produce a required effect or effects	grc	ἐνεργητικός
eng	effective	Adjective	tr	having the power to produce a required effect or effects	grc	πρακτικός
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hbs	ȅfektīvan
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hbs	učinkòvit	m
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hbs	е̏фектӣван
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hbs	учинко̀вит
eng	effective	Adjective	tr	having the power to produce a required effect or effects	heb	אפקטיבי	tr=efektívi
eng	effective	Adjective	tr	having the power to produce a required effect or effects	heb	יָעִיל	tr=ya'íl
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hun	hatásos
eng	effective	Adjective	tr	having the power to produce a required effect or effects	hun	hatékony
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ita	efficace
eng	effective	Adjective	tr	having the power to produce a required effect or effects	lat	efficax
eng	effective	Adjective	tr	having the power to produce a required effect or effects	lav	iedarbīgs
eng	effective	Adjective	tr	having the power to produce a required effect or effects	mri	pekepakihiwi
eng	effective	Adjective	tr	having the power to produce a required effect or effects	msa	berkesan
eng	effective	Adjective	tr	having the power to produce a required effect or effects	nld	effectief
eng	effective	Adjective	tr	having the power to produce a required effect or effects	nld	efficiënt
eng	effective	Adjective	tr	having the power to produce a required effect or effects	nld	werkzaam
eng	effective	Adjective	tr	having the power to produce a required effect or effects	nor	virkningsfull
eng	effective	Adjective	tr	having the power to produce a required effect or effects	pol	efektywny
eng	effective	Adjective	tr	having the power to produce a required effect or effects	por	efetivo
eng	effective	Adjective	tr	having the power to produce a required effect or effects	por	eficaz
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ron	efectent	m
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ron	efectiv	m
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ron	eficient	m
eng	effective	Adjective	tr	having the power to produce a required effect or effects	rus	эффекти́вный
eng	effective	Adjective	tr	having the power to produce a required effect or effects	san	साधन
eng	effective	Adjective	tr	having the power to produce a required effect or effects	slk	účinný
eng	effective	Adjective	tr	having the power to produce a required effect or effects	spa	efectivo
eng	effective	Adjective	tr	having the power to produce a required effect or effects	spa	eficaz
eng	effective	Adjective	tr	having the power to produce a required effect or effects	swe	effektiv
eng	effective	Adjective	tr	having the power to produce a required effect or effects	ukr	ефекти́вний
eng	effective	Adjective	tr	producing a decided or decisive effect	bul	резултатен
eng	effective	Adjective	tr	producing a decided or decisive effect	cat	eficaç
eng	effective	Adjective	tr	producing a decided or decisive effect	dan	effektiv
eng	effective	Adjective	tr	producing a decided or decisive effect	dan	virksom
eng	effective	Adjective	tr	producing a decided or decisive effect	deu	wirksam
eng	effective	Adjective	tr	producing a decided or decisive effect	ell	αποτελεσματικός
eng	effective	Adjective	tr	producing a decided or decisive effect	fin	vaikuttava
eng	effective	Adjective	tr	producing a decided or decisive effect	fra	décisif	m
eng	effective	Adjective	tr	producing a decided or decisive effect	fra	efficace	m	f
eng	effective	Adjective	tr	producing a decided or decisive effect	gla	èifeachdach
