	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ekadashi	Proper noun	tr	a eleventh day	ben	একাদশী
eng	Ekadashi	Proper noun	tr	a eleventh day	guj	અગિયારસ
eng	Ekadashi	Proper noun	tr	a eleventh day	hin	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	hin	ग्यारस
eng	Ekadashi	Proper noun	tr	a eleventh day	kan	ಏಕಾದಶಿ
eng	Ekadashi	Proper noun	tr	a eleventh day	kok	एकादस
eng	Ekadashi	Proper noun	tr	a eleventh day	mai	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	mal	ഏകാദശി
eng	Ekadashi	Proper noun	tr	a eleventh day	mar	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	nep	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	new	एकादशि
eng	Ekadashi	Proper noun	tr	a eleventh day	ori	ଏକାଦଶୀ
eng	Ekadashi	Proper noun	tr	a eleventh day	san	एकादशी	f
eng	Ekadashi	Proper noun	tr	a eleventh day	tam	ஏகாதசி
eng	Ekadashi	Proper noun	tr	a eleventh day	tel	ఏకాదశి
eng	ekanite	Noun	tr	mineral	fin	ekaniitti
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	ekavski
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	ekavski izgovor
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	екавски
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	екавски изговор
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	pol	ekawski	m
eng	eke out	Verb	tr	to obtain with difficulty	deu	abgewinnen
eng	eke out	Verb	tr	to obtain with difficulty	deu	abtrotzen
eng	eke out	Verb	tr	to obtain with difficulty	deu	ergattern
eng	eke out	Verb	tr	to obtain with difficulty	deu	erhaschen
eng	eke out	Verb	tr	to obtain with difficulty	deu	erringen
eng	eke out	Verb	tr	to obtain with difficulty	deu	herausholen
eng	eke out	Verb	tr	to obtain with difficulty	deu	sich durchs Leben schlagen / kämpfen / boxen
eng	eke out	Verb	tr	to obtain with difficulty	deu	sich (mühsam / mehr schlecht als recht / recht und schlecht) durchschlagen / durchkämpfen / durchboxen
eng	eke out	Verb	tr	to obtain with difficulty	deu	über die Runden kommen
eng	eke out	Verb	tr	to obtain with difficulty	deu	zusammenkratzen
eng	eke out	Verb	tr	to obtain with difficulty	fin	kituuttaa
eng	eke out	Verb	tr	to obtain with difficulty	fra	arracher
eng	eke out	Verb	tr	to obtain with difficulty	fra	décrocher
eng	eke out	Verb	tr	to obtain with difficulty	fra	gagner tout juste sa vie
eng	eke out	Verb	tr	to obtain with difficulty	fra	joindre les deux bouts
eng	eke out	Verb	tr	to obtain with difficulty	hbs	navlačiti
eng	eke out	Verb	tr	to obtain with difficulty	ita	sbarcare il lunario
