	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	emaciated	Adjective	tr	thin or haggard	cmn	瘦弱的
eng	emaciated	Adjective	tr	thin or haggard	cmn	衰弱的
eng	emaciated	Adjective	tr	thin or haggard	dan	mager
eng	emaciated	Adjective	tr	thin or haggard	dan	udtæret
eng	emaciated	Adjective	tr	thin or haggard	deu	ausgemergelt
eng	emaciated	Adjective	tr	thin or haggard	fin	aliravittu
eng	emaciated	Adjective	tr	thin or haggard	fra	émacié
eng	emaciated	Adjective	tr	thin or haggard	gmq-bot	afålli
eng	emaciated	Adjective	tr	thin or haggard	ita	denutrito
eng	emaciated	Adjective	tr	thin or haggard	ita	emaciato
eng	emaciated	Adjective	tr	thin or haggard	ita	magro
eng	emaciated	Adjective	tr	thin or haggard	ita	mingherlino
eng	emaciated	Adjective	tr	thin or haggard	ita	minuto
eng	emaciated	Adjective	tr	thin or haggard	ita	smorto
eng	emaciated	Adjective	tr	thin or haggard	ita	smunto
eng	emaciated	Adjective	tr	thin or haggard	ita	tutta pelle
eng	emaciated	Adjective	tr	thin or haggard	mri	korotūangaanga
eng	emaciated	Adjective	tr	thin or haggard	mri	maiaka
eng	emaciated	Adjective	tr	thin or haggard	mri	pāhehaheha
eng	emaciated	Adjective	tr	thin or haggard	mri	paiori
eng	emaciated	Adjective	tr	thin or haggard	mri	paiori
eng	emaciated	Adjective	tr	thin or haggard	mri	pohokore
eng	emaciated	Adjective	tr	thin or haggard	mri	poroiwi
eng	emaciated	Adjective	tr	thin or haggard	nld	uitgemergeld
eng	emaciated	Adjective	tr	thin or haggard	nob	utmagret
eng	emaciated	Adjective	tr	thin or haggard	por	emaciado
eng	emaciated	Adjective	tr	thin or haggard	rap	kavakava
eng	emaciated	Adjective	tr	thin or haggard	ron	epuizat
eng	emaciated	Adjective	tr	thin or haggard	ron	istovit
eng	emaciated	Adjective	tr	thin or haggard	ron	secătuit
eng	emaciated	Adjective	tr	thin or haggard	ron	vlăguit
eng	emaciated	Adjective	tr	thin or haggard	rus	измождёный
eng	emaciated	Adjective	tr	thin or haggard	rus	истощённый
eng	emaciated	Adjective	tr	thin or haggard	spa	demacrado
eng	emaciated	Adjective	tr	thin or haggard	swe	utmärglad
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	bul	изтощавам се
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	dan	slanke sig
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	fra	s'amaigrir
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	fra	s'émacier
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	ita	emaciarsi
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	nld	vermageren
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	nld	verschrompelen
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	nob	avmagres
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	nob	slanke seg
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	rus	истощаться
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	rus	чахнуть
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	spa	demacrarse
eng	emaciate	Verb	tr	(intransitive) become extremely thin or wasted	spa	emaciarse
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	bul	изтощавам
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	dan	fortynde
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	dan	slanke
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	fra	amaigrir
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	fra	émacier
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	ita	emaciare
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	mri	kaikohi
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	mri	kohi
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	nld	uithongeren
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	nld	uitmergelen
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	nob	slanke
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	nob	tynne
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	rus	изнуря́ть
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	rus	истощать
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	spa	demacrar
eng	emaciate	Verb	tr	(transitive) make extremely thin or wasted	spa	emaciar
eng	emaciation	Noun	tr	the act of making very lean	fra	émaciation	f
eng	emaciation	Noun	tr	the act of making very lean	mri	kaikohinga
eng	emaciation	Noun	tr	the act of making very lean	spa	emaciación
eng	emaciation	Noun	tr	the act of making very lean	tgl	pangangayayat
eng	emaciation	Noun	tr	the state of being emaciated	bul	мършавост	f
eng	emaciation	Noun	tr	the state of being emaciated	fra	émaciation	f
eng	emaciation	Noun	tr	the state of being emaciated	fra	émaciement	m
eng	emaciation	Noun	tr	the state of being emaciated	pol	wychudzenie	n
