	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	enablement	Noun	tr	act of enabling	deu	Ermöglichen	n
eng	enablement	Noun	tr	act of enabling	deu	Ermöglichung	f
eng	enablement	Noun	tr	act of enabling	tur	mümkün kılma
eng	enabler	Noun	tr	one who encourages a bad habit in another	fin	mahdollistaja
eng	enabler	Noun	tr	one who encourages a bad habit in another	ita	ammaliatore	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	ita	incoraggiatore	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	ita	ingannatore	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	ita	seduttore	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	ita	tentatore	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	spa	alcahuete	m	f
eng	enabler	Noun	tr	one who encourages a bad habit in another	spa	facilitador	m
eng	enabler	Noun	tr	one who encourages a bad habit in another	spa	sonsacador	m
eng	enabler	Noun	tr	one who gives someone else the power to behave in a certain way	ita	ammaestratore	m
eng	enabler	Noun	tr	one who gives someone else the power to behave in a certain way	spa	autorizador	m
eng	enabler	Noun	tr	one who gives someone else the power to behave in a certain way	spa	habilitador	m
eng	enabler	Noun	tr	one who helps something to happen	ita	aiutante	m	f
eng	enabler	Noun	tr	one who helps something to happen	ita	facilitatore	m
eng	enabler	Noun	tr	one who helps something to happen	por	capacitador	m
eng	enabler	Noun	tr	one who helps something to happen	por	facilitador	m
eng	enabler	Noun	tr	one who helps something to happen	por	habilitador	m
eng	enabler	Noun	tr	one who helps something to happen	spa	asesor	m
eng	enabler	Noun	tr	one who helps something to happen	spa	asistente	m	f
eng	enabler	Noun	tr	one who helps something to happen	spa	ayudante	m	f
eng	enabler	Noun	tr	one who helps something to happen	spa	capacitador	m
eng	enabler	Noun	tr	one who helps something to happen	spa	facilitador	m
eng	enabler	Noun	tr	one who helps something to happen	spa	habilitador	m
eng	enable	Verb	tr	to activate a function of an electronic or mechanical device	afr	aanskakel
eng	enable	Verb	tr	to activate a function of an electronic or mechanical device	afr	aktiveer
