	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Eoarchean	Adjective	tr	of geologic era from 4,600 to 3,600 million years ago	ell	ηωαρχαιοζωικός
eng	Eoarchean	Adjective	tr	of geologic era from 4,600 to 3,600 million years ago	fin	esiarkeeinen
eng	Eoarchean	Proper noun	tr	era 4,000-3,600 Ma	ell	Ηωαρχαιοζωικός	m
eng	Eoarchean	Proper noun	tr	era 4,000-3,600 Ma	est	eoarhaikum
eng	Eoarchean	Proper noun	tr	era 4,000-3,600 Ma	fin	esiarkeeinen maailmankausi
eng	Eoarchean	Proper noun	tr	era 4,000-3,600 Ma	rus	эоархе́й	m
eng	Eocene	Adjective	tr	of the Eocene epoch	cat	eocè
eng	Eocene	Adjective	tr	of the Eocene epoch	cat	eocènic
eng	Eocene	Adjective	tr	of the Eocene epoch	hbs	eocenski	m
eng	Eocene	Adjective	tr	of the Eocene epoch	pol	eoceński
eng	Eocene	Proper noun	tr	Eocene epoch	cat	Eocè	m
eng	Eocene	Proper noun	tr	Eocene epoch	ces	eocén	m
eng	Eocene	Proper noun	tr	Eocene epoch	deu	Eozän	n
eng	Eocene	Proper noun	tr	Eocene epoch	ell	Ηώκαινος	f
eng	Eocene	Proper noun	tr	Eocene epoch	est	eotseen
eng	Eocene	Proper noun	tr	Eocene epoch	fin	eoseenikausi
eng	Eocene	Proper noun	tr	Eocene epoch	hbs	eocen	m
eng	Eocene	Proper noun	tr	Eocene epoch	pol	eocen	m-in
eng	Eocene	Proper noun	tr	Eocene epoch	spa	Eoceno	m
eng	Eocene	Proper noun	tr	Eocene epoch	swe	eocen	n
eng	Eogene	Adjective	tr	former name of Paleogene	fra	éogène
eng	Eogene	Proper noun	tr	former name of the Paleogene	fra	Éogène
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	dadurch
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	darum
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	deshalb
eng	eo ipso	Adverb	tr	Through or by that very act or quality; thereby	deu	deswegen
eng	eolic	Adjective	tr	referring to the action or power of wind	fin	eolinen
eng	eolithic	Adjective	tr	of or relating to the early period of the Stone Age marked by the use of eoliths	gle	eoiliteach
eng	Eonavian	Proper noun	tr		cat	eonavienc	m
eng	Eonavian	Proper noun	tr		fra	éonavien	m
eng	Eonavian	Proper noun	tr		ita	eonaviegano
eng	Eonavian	Proper noun	tr		ita	eonaviego
eng	Eonavian	Proper noun	tr		spa	eonaviego	m
eng	eonism	Noun	tr		fra	éonisme	m
eng	eonism	Noun	tr		ita	eonismo	m
eng	eon	Noun	tr	a being emanating from the Godhead	ces	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	ita	eone	m
eng	eon	Noun	tr	a being emanating from the Godhead	jpn	アイオーン	tr=aiōn
eng	eon	Noun	tr	a being emanating from the Godhead	nor	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	pol	eon	m
eng	eon	Noun	tr	a being emanating from the Godhead	por	éon	m
eng	eon	Noun	tr	a being emanating from the Godhead	rus	эо́н	m
eng	eon	Noun	tr	eternity	bul	вечност
eng	eon	Noun	tr	eternity	ces	věčnost	f
eng	eon	Noun	tr	eternity	fin	iäisyys
eng	eon	Noun	tr	eternity	fin	iänkaikkisuus
eng	eon	Noun	tr	eternity	fin	ikuisuus
eng	eon	Noun	tr	eternity	fra	éternité	f
eng	eon	Noun	tr	eternity	hbs	eon	m
eng	eon	Noun	tr	eternity	hbs	vječnost	f
eng	eon	Noun	tr	eternity	nld	eeuwigheid	f
eng	eon	Noun	tr	eternity	nld	eterniteit	f
eng	eon	Noun	tr	eternity	nld	sempiterniteit	f
eng	eon	Noun	tr	eternity	nor	eon	m
eng	eon	Noun	tr	eternity	pol	wieczność	f
eng	eon	Noun	tr	eternity	por	eternidade	f
eng	eon	Noun	tr	eternity	rus	ве́чность	f
eng	eon	Noun	tr	eternity	spa	eón	m
eng	eon	Noun	tr	eternity	spa	eternidad	f
eng	eon	Noun	tr	eternity	swe	evighet	c
eng	eon	Noun	tr	eternity	tur	sonsuzluk
eng	eon	Noun	tr	geological time period	ces	věk	m
eng	eon	Noun	tr	geological time period	cmn	宙	tr=zhòu
eng	eon	Noun	tr	geological time period	deu	Äon	m
eng	eon	Noun	tr	geological time period	fin	aioni
eng	eon	Noun	tr	geological time period	fra	éon	m
eng	eon	Noun	tr	geological time period	hbs	eon	m
eng	eon	Noun	tr	geological time period	heb	עידן	m	tr=idán	alt=עִדָּן
eng	eon	Noun	tr	geological time period	ita	eone	m
eng	eon	Noun	tr	geological time period	jpn	累代	tr=るいだい, ruidai
eng	eon	Noun	tr	geological time period	kaz	эон
eng	eon	Noun	tr	geological time period	kor	누대	sc=Kore
eng	eon	Noun	tr	geological time period	kor	이언	sc=Kore
eng	eon	Noun	tr	geological time period	kor	累代	sc=Hani
eng	eon	Noun	tr	geological time period	nld	eon	n
eng	eon	Noun	tr	geological time period	nor	eon	m
eng	eon	Noun	tr	geological time period	pol	eon	m
eng	eon	Noun	tr	geological time period	por	éon	m
eng	eon	Noun	tr	geological time period	rus	эо́н	m
eng	eon	Noun	tr	geological time period	spa	eón
eng	eon	Noun	tr	geological time period	spa	evo	m
eng	eon	Noun	tr	geological time period	swe	eon	c
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	bul	вечност
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	ces	celá věčnost
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	fin	ikuisuus
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	fin	maailmankausi
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	fra	bail	m
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	hbs	eon	m
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	heb	עידן	m	tr=idán	alt=עִדָּן
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	ita	eone	m
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	mri	manomano tau
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	mri	pōpōroa
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	mri	pōpōroroa
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	nor	eon	m
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	por	eternidade	f
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	rus	ты́сяча лет	f
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	rus	целая ве́чность	n
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	spa	añales	m-p
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	spa	añares	p
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	swe	eon	c
eng	eon	Noun	tr	informal, hyperbolic: a long period of time	swe	evighet	c
eng	eon	Noun	tr	period of 1,000,000,000 years	ces	eon	m
eng	eon	Noun	tr	period of 1,000,000,000 years	fra	éon
eng	eon	Noun	tr	period of 1,000,000,000 years	hbs	eon	m
eng	eon	Noun	tr	period of 1,000,000,000 years	nld	eon	n
eng	eon	Noun	tr	period of 1,000,000,000 years	nor	eon	m
eng	eon	Noun	tr	period of 1,000,000,000 years	por	éon
eng	eon	Noun	tr	period of 1,000,000,000 years	spa	eón	m
eng	eo-	Prefix	tr		fra	éo-
eng	EO	Proper noun	tr	ethylene oxide	fra	EO
eng	eosin	Noun	tr	red, acidic dye	deu	Eosin	n
eng	eosin	Noun	tr	red, acidic dye	fin	eosiini
eng	eosin	Noun	tr	red, acidic dye	ita	eosina	f
eng	eosin	Noun	tr	red, acidic dye	nld	eosine	f
eng	eosin	Noun	tr	red, acidic dye	nld	roodsel	n
eng	eosin	Noun	tr	red, acidic dye	spa	eosina	f
eng	eosinophilic	Adjective	tr	readily stained with eosin	hun	eozinofil
eng	eosinophilic	Adjective	tr	readily stained with eosin	ina	eosinophilic
eng	eosinophilic	Adjective	tr	readily stained with eosin	spa	eosinofílico
eng	eosinophil	Noun	tr	type of white blood cell	ces	eosinofil	m
eng	eosinophil	Noun	tr	type of white blood cell	ell	ηωσινόφιλα	n-p	sc=Grek
eng	eosinophil	Noun	tr	type of white blood cell	fin	eosinofiili
eng	eosinophil	Noun	tr	type of white blood cell	fra	éosinophile	m
eng	eosinophil	Noun	tr	type of white blood cell	ita	eosinofilo	m
eng	eosinophil	Noun	tr	type of white blood cell	kmr	êzonofîl	f
eng	eosinophil	Noun	tr	type of white blood cell	nld	eosinofiel	m
eng	eosinophil	Noun	tr	type of white blood cell	por	eosinófilo	m
eng	eosinophil	Noun	tr	type of white blood cell	por	granulócito eosinófilo	m
eng	eosinophil	Noun	tr	type of white blood cell	rus	эозинофи́л	m	sc=Cyrl
eng	eosinophil	Noun	tr	type of white blood cell	rus	эозинофи́льный гранулоци́т	m	sc=Cyrl
eng	eosinophil	Noun	tr	type of white blood cell	spa	eosinófilo	m
eng	eosinophil	Noun	tr	type of white blood cell	swe	eosinofil	c
eng	Eos	Proper noun	tr	Greek goddess	cat	Eos	f
eng	Eos	Proper noun	tr	Greek goddess	ell	Ηώς
eng	Eos	Proper noun	tr	Greek goddess	grc	Ἠώς
eng	Eos	Proper noun	tr	Greek goddess	por	Éos	f
eng	Eos	Proper noun	tr	Greek goddess	rus	Э́ос	f
eng	Eos	Proper noun	tr	Greek goddess	spa	Eos	f
