	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	epact	Noun	tr	the time by which a solar year exceeds twelve lunar months	gle	éapacht	f
eng	epact	Noun	tr	the time by which a solar year exceeds twelve lunar months	ido	epakto
eng	epact	Noun	tr	the time by which a solar year exceeds twelve lunar months	ita	epatta	f
eng	epagomenic	Adjective	tr	all senses	fra	épagomène
eng	epagomenic	Adjective	tr	all senses	ita	epagomeno
eng	epanadiplosis	Noun	tr		fra	épanadiplose	f
eng	epanalepsis	Noun	tr		ell	επανάληψη	f
eng	epanalepsis	Noun	tr		fra	épanalepse	f
eng	epanastrophe	Noun	tr		fin	anadiploosi
eng	epanastrophe	Noun	tr		fra	épanastrophe	f
eng	eparchial	Adjective	tr	of or pertaining to an eparchy	fra	éparchique
eng	eparchial	Adjective	tr	of or pertaining to an eparchy	hbs	epàrhījskī
eng	eparchial	Adjective	tr	of or pertaining to an eparchy	hbs	епа̀рхӣјскӣ	sc=Cyrl
eng	eparchy	Noun	tr	diocese of a bishop	ell	επαρχία	f
eng	eparchy	Noun	tr	diocese of a bishop	fra	éparchie
eng	eparchy	Noun	tr	diocese of a bishop	ron	eparhie	f
eng	eparchy	Noun	tr	diocese of a bishop	rus	епа́рхия	f
eng	eparchy	Noun	tr	district of the Roman Empire	fra	éparchie
eng	epaulette	Noun	tr	ornamentation	bul	еполет	m
eng	epaulette	Noun	tr	ornamentation	ces	nárameník	m
eng	epaulette	Noun	tr	ornamentation	cmn	肩章	tr=jiānzhāng
eng	epaulette	Noun	tr	ornamentation	deu	Achselklappe	f
eng	epaulette	Noun	tr	ornamentation	deu	Epaulette	f
eng	epaulette	Noun	tr	ornamentation	deu	Schulterklappe	f
eng	epaulette	Noun	tr	ornamentation	deu	Schulterstück	n
eng	epaulette	Noun	tr	ornamentation	ell	επωμίδα	f
eng	epaulette	Noun	tr	ornamentation	epo	epoleto
eng	epaulette	Noun	tr	ornamentation	fas	پاگون	tr=pâgon
eng	epaulette	Noun	tr	ornamentation	fas	سردوشی	tr=sarduši
eng	epaulette	Noun	tr	ornamentation	fin	epoletti
eng	epaulette	Noun	tr	ornamentation	fin	olkain
eng	epaulette	Noun	tr	ornamentation	fra	épaulette	f
eng	epaulette	Noun	tr	ornamentation	gle	guailleog	f
eng	epaulette	Noun	tr	ornamentation	ido	epoleto
eng	epaulette	Noun	tr	ornamentation	ita	mostrina	f
eng	epaulette	Noun	tr	ornamentation	ita	spallina	f
eng	epaulette	Noun	tr	ornamentation	jpn	肩章	tr=けんしょう, kenshō
eng	epaulette	Noun	tr	ornamentation	kor	견장
eng	epaulette	Noun	tr	ornamentation	mon	мөрдэс
eng	epaulette	Noun	tr	ornamentation	pdt	Schullastekj	n
eng	epaulette	Noun	tr	ornamentation	pol	naramiennik	m
eng	epaulette	Noun	tr	ornamentation	por	dragona	f
eng	epaulette	Noun	tr	ornamentation	rus	пого́н	m
eng	epaulette	Noun	tr	ornamentation	rus	эполе́т	m
eng	epaulette	Noun	tr	ornamentation	spa	charretera	f
eng	epaulette	Noun	tr	ornamentation	spa	hombrera	f
eng	epaulette	Noun	tr	ornamentation	swe	epålett
eng	epaulette	Noun	tr	ornamentation	tha	อินทรธนู
eng	epazote	Noun	tr	herb	azz	epaso̱t
eng	epazote	Noun	tr	herb	fin	sitruunasavikka
eng	epazote	Noun	tr	herb	fra	épazote	m
eng	epazote	Noun	tr	herb	fra	fausse ambroisie	f
eng	epazote	Noun	tr	herb	fra	thé du Mexique	m
eng	epazote	Noun	tr	herb	nch	apasotl
eng	epazote	Noun	tr	herb	nci	epazotl
eng	epazote	Noun	tr	herb	ncj	yepasotl
eng	epazote	Noun	tr	herb	ncl	epasol
eng	epazote	Noun	tr	herb	ngu	yepajsotl
eng	epazote	Noun	tr	herb	nhe	apasotl
eng	epazote	Noun	tr	herb	nhg	yepasojtli̱
