	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	equability	Noun	tr	condition of being equable	nld	gelijkmatigheid
eng	equability	Noun	tr	condition of being equable	nld	uniformiteit
eng	equable	Adjective	tr	calm and steady	bul	спокоен
eng	equable	Adjective	tr	calm and steady	bul	уравновесен
eng	equable	Adjective	tr	calm and steady	nld	gelijkmatig
eng	equable	Adjective	tr	calm and steady	rus	равноме́рный
eng	equable	Adjective	tr	calm and steady	rus	ро́вный
eng	equable	Adjective	tr	free from extremes of heat or cold	bul	равномерен
eng	equable	Adjective	tr	free from extremes of heat or cold	bul	умерен
eng	equable	Adjective	tr	not easily disturbed; tranquil	bul	спокоен
eng	equable	Adjective	tr	not easily disturbed; tranquil	rus	уравнове́шенный
eng	equal	Adjective	tr	adequate; sufficiently capable	fin	riittävä
eng	equal	Adjective	tr	adequate; sufficiently capable	fin	riittävän hyvä
eng	equal	Adjective	tr	adequate; sufficiently capable	hun	alkalmas
eng	equal	Adjective	tr	adequate; sufficiently capable	hun	megfelelő
eng	equal	Adjective	tr	mathematics: exactly identical	afr	gelyk
eng	equal	Adjective	tr	mathematics: exactly identical	ara	الْمُسَاوِي
eng	equal	Adjective	tr	mathematics: exactly identical	ara	مُسَاوٍ
eng	equal	Adjective	tr	mathematics: exactly identical	bel	ро́ўны
eng	equal	Adjective	tr	mathematics: exactly identical	bul	ра́вен
eng	equal	Adjective	tr	mathematics: exactly identical	cat	igual
eng	equal	Adjective	tr	mathematics: exactly identical	ces	rovný
eng	equal	Adjective	tr	mathematics: exactly identical	ces	stejný
eng	equal	Adjective	tr	mathematics: exactly identical	cmn	等于	tr=děngyú	sc=Hani
eng	equal	Adjective	tr	mathematics: exactly identical	cmn	等於	sc=Hani
eng	equal	Adjective	tr	mathematics: exactly identical	cmn	等量	tr=děngliàng
eng	equal	Adjective	tr	mathematics: exactly identical	deu	gleich
eng	equal	Adjective	tr	mathematics: exactly identical	ell	ίσος
eng	equal	Adjective	tr	mathematics: exactly identical	epo	sama
eng	equal	Adjective	tr	mathematics: exactly identical	fas	برابر	tr=barâbar	sc=fa-Arab
eng	equal	Adjective	tr	mathematics: exactly identical	fin	identtinen
eng	equal	Adjective	tr	mathematics: exactly identical	fin	samansuuruinen
eng	equal	Adjective	tr	mathematics: exactly identical	fra	égal
eng	equal	Adjective	tr	mathematics: exactly identical	glg	igual
eng	equal	Adjective	tr	mathematics: exactly identical	grc	ἴσος
eng	equal	Adjective	tr	mathematics: exactly identical	hin	बराबर
eng	equal	Adjective	tr	mathematics: exactly identical	hun	egyenlő
eng	equal	Adjective	tr	mathematics: exactly identical	ita	uguale
eng	equal	Adjective	tr	mathematics: exactly identical	lav	līdzīgs
eng	equal	Adjective	tr	mathematics: exactly identical	lav	vienlīdzīgs
eng	equal	Adjective	tr	mathematics: exactly identical	lit	lygus
eng	equal	Adjective	tr	mathematics: exactly identical	mrw	repeng
eng	equal	Adjective	tr	mathematics: exactly identical	nld	gelijk
eng	equal	Adjective	tr	mathematics: exactly identical	nld	gelijke
eng	equal	Adjective	tr	mathematics: exactly identical	nld	identiek
eng	equal	Adjective	tr	mathematics: exactly identical	nld	identieke
eng	equal	Adjective	tr	mathematics: exactly identical	nor	er lik
eng	equal	Adjective	tr	mathematics: exactly identical	pol	równy
eng	equal	Adjective	tr	mathematics: exactly identical	por	igual
eng	equal	Adjective	tr	mathematics: exactly identical	ron	egal
eng	equal	Adjective	tr	mathematics: exactly identical	rus	ра́вный
eng	equal	Adjective	tr	mathematics: exactly identical	slk	rovný
eng	equal	Adjective	tr	mathematics: exactly identical	spa	igual
eng	equal	Adjective	tr	mathematics: exactly identical	swe	lik
eng	equal	Adjective	tr	mathematics: exactly identical	tgk	баробар
eng	equal	Adjective	tr	mathematics: exactly identical	tgl	parehas
eng	equal	Adjective	tr	mathematics: exactly identical	uig	باراۋەر
eng	equal	Adjective	tr	mathematics: exactly identical	uig	تەڭ
eng	equal	Adjective	tr	mathematics: exactly identical	uig	تەڭلىك
eng	equal	Adjective	tr	mathematics: exactly identical	ukr	рі́вний
eng	equal	Adjective	tr	mathematics: exactly identical	urd	برابر	tr=barābar
eng	equal	Adjective	tr	music: intended for voices of one kind only, either all male or all female	fin	mies	alt=mies-
eng	equal	Adjective	tr	music: intended for voices of one kind only, either all male or all female	fin	nais-
eng	equal	Adjective	tr	music: intended for voices of one kind only, either all male or all female	ita	uguale
eng	equal	Adjective	tr	''(obsolete in English)'' fair, impartial	fin	tasapuolinen
eng	equal	Adjective	tr	''(obsolete in English)'' not variable	fin	tasainen
eng	equal	Adjective	tr	the same in all respects	afr	dieselfde
eng	equal	Adjective	tr	the same in all respects	afr	gelyk
eng	equal	Adjective	tr	the same in all respects	afr	identies
eng	equal	Adjective	tr	the same in all respects	ara	عِدْل
eng	equal	Adjective	tr	the same in all respects	arg	igual
eng	equal	Adjective	tr	the same in all respects	asm	সমান
eng	equal	Adjective	tr	the same in all respects	ast	igual
eng	equal	Adjective	tr	the same in all respects	aze	bərabər
eng	equal	Adjective	tr	the same in all respects	aze	eyni
eng	equal	Adjective	tr	the same in all respects	bel	адна́кі
eng	equal	Adjective	tr	the same in all respects	bel	адно́лькавы
eng	equal	Adjective	tr	the same in all respects	bel	ро́ўны
eng	equal	Adjective	tr	the same in all respects	bel	то́й жа
eng	equal	Adjective	tr	the same in all respects	bul	една́къв
eng	equal	Adjective	tr	the same in all respects	bul	ра́вен
eng	equal	Adjective	tr	the same in all respects	bul	същ
eng	equal	Adjective	tr	the same in all respects	cat	igual
eng	equal	Adjective	tr	the same in all respects	ces	rovný
eng	equal	Adjective	tr	the same in all respects	ces	stejný
eng	equal	Adjective	tr	the same in all respects	cmn	平等	tr=píngděng	sc=Hani
