	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	ces	exabajt	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	ces	exabyte	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	ell	εξαδυφιοσυλλαβή
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	ell	εξαμπάιτ
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	epo	eksabajto
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	epo	eksabitoko
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	fin	eksatavu
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	hun	exabyte
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	kat	ექსაბაიტი
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	mkd	ексабајт	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	msa	eksabait
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	nav	tsʼiiłtsohʼííłké
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	por	exabyte	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	rus	эксаба́йт	m
eng	exabyte	Noun	tr	2<sup>60</sup> or 10<sup>18</sup> bytes	uig	ئېكسابايت
eng	exacerbate	Verb	tr	make worse	bul	влошавам	sc=Cyrl
eng	exacerbate	Verb	tr	make worse	cat	agreujar
eng	exacerbate	Verb	tr	make worse	cat	exacerbar
eng	exacerbate	Verb	tr	make worse	cmn	使恶化	tr=shǐ èhuà
eng	exacerbate	Verb	tr	make worse	cmn	使惡化
eng	exacerbate	Verb	tr	make worse	cmn	加剧	tr=jiājù
