	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ebbw Vale	Proper noun	tr	river valley	cym	Cwm Ebwy
eng	Ebbw Vale	Proper noun	tr	town in Wales	cym	Glynebwy
eng	Ebenezer	Proper noun	tr	male given name	ell	Εμπενίζερ
eng	Ebisu	Noun	tr	god	fra	Ebisu	m
eng	Ebisu	Noun	tr	god	ita	Ebisu	m
eng	Ebisu	Noun	tr	god	pol	Ebisu	m
eng	Ebisu	Noun	tr	god	spa	Ebisu	m
eng	Eblaite	Proper noun	tr	extinct Semitic language	deu	Eblaitisch	n
eng	Eblaite	Proper noun	tr	extinct Semitic language	fin	ebla
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	ara	حُمَّى اَلْإِيبُولَا	f	tr=ḥummā l-ʾibūlā
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	cmn	埃博拉出血热	tr=Āibólā chūxiěrè	sc=Hani
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	cmn	埃博拉出血熱	sc=Hani
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	cmn	埃博拉病	tr=Āibólā bìng	sc=Hani
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	dan	ebola
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	dan	ebolafeber
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	deu	Ebolafieber	n
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	ell	αιμορραγικός πυρετός του Έμπολα	m	sc=Grek
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	fra	fièvre Ebola	f
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	jpn	エボラ出血熱	tr=エボラしゅっけつねつ, Ebora shukketsunetsu	sc=Jpan
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	rus	лихора́дка Эбо́ла	f
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	swa	Maradhi ya virusi ya ebola
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	swe	ebola	c
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	swe	ebolafeber	c
eng	Ebola fever	Noun	tr	illness caused by the Ebola virus	tam	புலைக்காய்ச்சல்
eng	Ebola	Noun	tr	shortening for Ebola virus and Ebola fever	cat	ebola	m
eng	Ebola	Noun	tr	shortening for Ebola virus and Ebola fever	ces	ebola	f
eng	Ebola	Noun	tr	shortening for Ebola virus and Ebola fever	deu	Ebola	n
eng	Ebola	Noun	tr	shortening for Ebola virus and Ebola fever	fra	Ebola	f
eng	Ebola	Noun	tr	shortening for Ebola virus and Ebola fever	glg	ébola	m
