	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Eeyore	Noun	tr	negative or pessimistic person	ces	Iáček
eng	Eeyore	Noun	tr	negative or pessimistic person	deu	I-Ah
eng	Eeyore	Noun	tr	negative or pessimistic person	fin	pahanilmanlintu
eng	Eeyore	Noun	tr	negative or pessimistic person	heb	איה	m	tr=iya
eng	Eeyore	Noun	tr	negative or pessimistic person	pol	Kłapouchy	m
eng	Eeyore	Noun	tr	negative or pessimistic person	por	Bisonho	m
eng	Eeyore	Noun	tr	negative or pessimistic person	por	Igor	m
eng	Eeyore	Noun	tr	negative or pessimistic person	por	Ió	m
eng	Eeyore	Noun	tr	negative or pessimistic person	rus	Иа-Иа
eng	Eeyore	Noun	tr	negative or pessimistic person	slv	Sivček
eng	Eeyore	Noun	tr	negative or pessimistic person	spa	Igor
eng	Eeyore	Noun	tr	negative or pessimistic person	swe	I-or
eng	Eeyore	Noun	tr	negative or pessimistic person	swe	Ior
