	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egus	Proper noun	tr	town in Yengisar, Kashgar, Xinjiang	cmn	艾古斯	tr=Àigǔsī	sc=Hani
eng	Egus	Proper noun	tr	town in Yengisar, Kashgar, Xinjiang	uig	ئەگۈس	sc=ug-Arab
eng	Egyptiac	Adjective	tr	of or relating to Ancient Egypt	fra	Egyptiaque
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	afr	Egipties
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ang	Egyptisċ
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ara	مِصْرِيّ
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ary	مصري	tr=miṣri
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	arz	مَصْرِي	tr=maṣri
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	aze	misir
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	bel	егі́пецкі
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ben	মিশরী
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	bul	египетски	sc=Cyrl
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	cat	egipci
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ces	egyptský	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	cmn	埃及	tr=Āijí de	alt=埃及的	sc=Hani
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	cym	Eifftaidd
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	dan	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	deu	ägyptisch
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	dsb	egyptojski
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ell	αιγυπτιακός
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	epo	egipta
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	est	egiptuse
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	fas	مصری	tr=mesri
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	fin	egyptiläinen
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	fra	égyptien	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	fra	égyptienne	f
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	gle	Éigipteach
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	glg	exipcia
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	glg	exipcio	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	grc	Αἰγύπτιος
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	haw	ʻAikupika
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hbs	ègipatskī
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hbs	ѐгипатскӣ	sc=Cyrl
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	heb	מִצְרִי	tr=mitsrí
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hin	मिसरी
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hun	egyiptomi
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hye	եգիպտական
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	hye	եգիպտոսյան
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	afr	Egipties
